HospitalType,Condition,original_index,unique_index
acute care hospitals,surgical infection prevention,0,0
acute care hospitals,surgical infection prevention,1,0
acute care hospitals,surgical infection prevention,2,0
acute care hospitals,surgical infection prevention,3,0
acute care hospitals,surgical infection prevention,4,0
acute care hospitals,surgical infection prevention,5,0
acute care hospitals,surgical infection prevention,6,0
acute care hospitals,surgical infection prevention,7,0
acute care hospitals,heart attack,8,1
acute care hospitals,heart attack,9,1
acute care hospitals,heart attack,10,1
acute care hospitals,heart attack,11,1
acute care hospitals,heart attack,12,1
acute care hospitals,heart attack,13,1
acute care hospitals,heart attack,14,1
acute care hospitals,heart failure,15,2
acuxe care hospixals,heart failure,16,3
acute care hospitals,heart failure,17,2
acute care hospitals,heart failure,18,2
acute care hospitals,heart attack,19,1
acute care hospitals,heart attack,20,1
acute care hospitals,heart attaxk,21,4
acute care hospitals,hearx axxack,22,5
acute care hospitals,heart attack,23,1
acute care hospitals,heart attack,24,1
acute care hospitals,heart attack,25,1
acute care hospitals,heart failure,26,2
acute care hospitals,heart failure,27,2
acute care hospitals,heart failure,28,2
acute care hospitals,heart failure,29,2
acute care hospitals,pneumonia,30,6
acute care hospitals,pneumonia,31,6
acute care hospitals,pneumonia,32,6
acute care hospitals,pneumonia,33,6
acute care hospitals,pneumonia,34,6
acute care hospitals,pneumonia,35,6
acute care hospitals,surgical infection prevention,36,0
acute care hospitals,surgical infection prevention,37,0
acute care hospitals,surgical infection prevention,38,0
acxte care hospitals,surgical infection prevention,39,7
acute care hospitals,surgical infection prevention,40,0
acute care hospitals,surgical infection prevention,41,0
acute care hospitals,surgical infection prevention,42,0
acute care hospitals,surgical infection prevention,43,0
acute care hospitals,heart attack,44,1
acute care hospitals,heart attack,45,1
acute care hospitals,heart attack,46,1
acute care hospitals,heart attack,47,1
acute care hospitals,heart attack,48,1
acute care hospitals,heart attack,49,1
acute care hospitals,heart attack,50,1
acute care hospitals,heart failure,51,2
acute care hospitals,heart failure,52,2
acute care hospitals,heart failure,53,2
acute care hospitals,heart failure,54,2
acute care hospitals,pneumonia,55,6
acute care hospitals,pneumonia,56,6
acute care hospitals,pneumonia,57,6
acute care hospitals,pneumonia,58,6
acute care hospitals,pneumonia,59,6
acute care hospitals,pneumonia,60,6
acute care hospitals,surgical infection prevention,61,0
acute care hospitals,surgical infection prevention,62,0
acute care hospitals,surgical infection prevention,63,0
acute care hospitals,surgical infection prevention,64,0
acute care hospitals,surgical infection prevention,65,0
acute care hospitals,surgical infection prevention,66,0
acute care hospitals,surgical infection prevention,67,0
acute care hospitals,surgical infection prevention,68,0
acute care hospitals,heart attack,69,1
acute care hospitals,heart attack,70,1
acute care hospitals,heart attack,71,1
acute care hospitals,heart attack,72,1
acute care hospitals,hearx axxack,73,5
acute care hospitals,heart attack,74,1
acute care hospitals,heart attack,75,1
acute care hospitals,heart failure,76,2
acute care hospitals,heart failure,77,2
acute care hospitals,heart failure,78,2
acute care hospitals,heart failure,79,2
acute care hospitals,pneumonia,80,6
acute care hospitals,pneumonia,81,6
acute care hospitals,pneumonia,82,6
acute care hospitals,pneumonia,83,6
acute care hospitals,pneumonia,84,6
acute care hospitals,pneumonia,85,6
acute care hospitals,surgical infection prevention,86,0
acute care hospitals,surgical infection prevention,87,0
acute care hospitals,surgical infection prevention,88,0
acute care hospitals,surgical infection prevention,89,0
acute care hospitals,surgical infection prevention,90,0
acute care hospitals,surgical infection prevention,91,0
acute care hospitals,surgical infection prevention,92,0
acute care hospitals,surgical infection prevention,93,0
acute care hospitals,heart attack,94,1
acute care hospitals,heart attack,95,1
acute care hospitals,heart attack,96,1
acute care hospitals,heart attack,97,1
acute care hosxitals,heart attack,98,8
acute care hospitals,heart attack,99,1
acute care hospitals,heart attack,100,1
acute care hospitals,heart failure,101,2
acute care hospitals,heart failure,102,2
acute care hospitals,heart failure,103,2
acute care hospitals,heart failure,104,2
acute care hospitals,pneumonia,105,6
acute care hospitals,pneumonia,106,6
acute care hospitals,pneumonia,107,6
acute care hospitals,pneumonia,108,6
acute care hospitals,pneumonia,109,6
acute care hospitals,pneumonia,110,6
acute care hospitals,surgical infection prevention,111,0
acute care hospitals,surgical infection prevention,112,0
acute care hospitals,surgical infection prevention,113,0
acute care hospitals,surgical infection prevention,114,0
acute care hospitals,surgical infection prevention,115,0
acute care hospitals,surgical infection prevention,116,0
acute care hospitals,surgical infection prevention,117,0
acute care hospitals,surgical infection prevention,118,0
acute care hospitals,heart attack,119,1
acute care hospitals,heart attack,120,1
acute care hospitals,heart attack,121,1
acute care hospitals,heart attack,122,1
acute care hospitals,heart attack,123,1
acute care hospitals,heart attack,124,1
acute care hospitals,heart attack,125,1
acute care hospitals,heart failure,126,2
acute care hospitals,heaxt failuxe,127,9
acute care hospitals,heart failure,128,2
acute care hospitals,heart failure,129,2
acute care hospitals,pneumonia,130,6
acute care hospitals,pneumonia,131,6
acute care hospitals,pneumonia,132,6
acute care hospitals,pneumonia,133,6
acute care hospitals,pneumonia,134,6
acute care hospitals,pneumonia,135,6
acute care hospitals,surgical infection prevention,136,0
acute care hospitals,surgical infection prevention,137,0
acute care hospitals,surgical infection prevention,138,0
acute care hospitals,surgical infection prevention,139,0
acute care hospitals,surgical infection prevention,140,0
acute care hospitals,surgical infection prevention,141,0
acute care hospitals,surgical infection prevention,142,0
acute care hospitals,surgical infection prevention,143,0
acute care hospitals,heart attack,144,1
acute care hospitals,heart attack,145,1
acute care hospitals,heart attack,146,1
acute care hospitals,heart attack,147,1
