MeasureCode,Score,original_index,unique_index
scip-card-2,empty,0,0
scip-inf-1,empty,1,1
scip-inf-2,empty,2,2
scip-inf-3,empty,3,3
scip-inf-4,empty,4,4
scip-inf-6,empty,5,5
scip-vte-1,empty,6,6
scip-vte-2,empty,7,7
ami-1,97%,8,8
ami-2,92%,9,9
ami-3,75%,10,10
ami-4,100%,11,11
ami-5,86%,12,12
ami-7a,empty,13,13
ami-8a,empty,14,14
hf-1,80%,15,15
hf-2,99%,16,16
hf-3,92%,17,17
hf-4,100%,18,18
ami-1,98%,19,19
ami-2,99%,20,20
ami-3,96%,21,21
ami-4,100%,22,11
ami-5,99%,23,22
ami-7a,empty,24,13
ami-8a,72%,25,23
hf-1,78%,26,24
hf-2,99%,27,16
hf-3,91%,28,25
hf-4,100%,29,18
pn-2,93%,30,26
pn-3b,89%,31,27
pn-4,99%,32,28
pn-5c,92%,33,29
pn-6,80%,34,30
pn-7,84%,35,31
scip-card-2,72%,36,32
scip-inf-1,94%,37,33
scip-inf-2,98%,38,34
scip-inf-3,88%,39,35
scip-inf-4,96%,40,36
scip-inf-6,90%,41,37
scip-vte-1,86%,42,38
scip-vte-2,83%,43,39
ami-1,80%,44,40
ami-2,60%,45,41
ami-3,100%,46,42
ami-4,empty,47,43
ami-5,100%,48,44
ami-7a,empty,49,13
ami-8a,empty,50,14
hf-1,78%,51,24
hf-2,99%,52,16
hf-3,90%,53,45
hf-4,94%,54,46
pn-2,97%,55,47
pn-3b,97%,56,48
pn-4,97%,57,49
pn-5c,96%,58,50
pn-6,92%,59,51
pn-7,81%,60,52
scip-card-2,36%,61,53
scip-inf-1,96%,62,54
scip-inf-2,93%,63,55
scip-inf-3,95%,64,56
scip-inf-4,empty,65,4
scip-inf-6,100%,66,57
scip-vte-1,78%,67,58
scip-vte-2,74%,68,59
ami-1,97%,69,8
ami-2,96%,70,60
ami-3,93%,71,61
ami-4,100%,72,11
ami-5,96%,73,62
ami-7a,empty,74,13
ami-8a,98%,75,63
hf-1,79%,76,64
hf-2,97%,77,65
