MeasureName,Stateavg,original_index,unique_index
surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,al_scip-card-2,0,0
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,1,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,2,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,3,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,4,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,5,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,6,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,7,7
heart attack patients given aspirin at arrival,al_ami-1,8,8
heart attack patients given aspirin at discharge,al_ami-2,9,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,10,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,11,11
heart attack patients given beta blocker at discharge,al_ami-5,12,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,13,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,14,14
heart failure patients given discharge instructions,al_hf-1,15,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,16,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,17,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,18,18
heart attack patients given aspirin at arrival,al_ami-1,19,8
heart attack patients given aspirin at discharge,al_ami-2,20,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,21,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,22,11
heart attack patients given beta blocker at discharge,al_ami-5,23,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,24,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,25,14
heart failure patients given discharge instructions,al_hf-1,26,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,27,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,28,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,29,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,30,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,31,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,32,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,33,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,34,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,35,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,36,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,37,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,38,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,39,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,40,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,41,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,42,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,43,7
heart attack patients given aspirin at arrival,al_ami-1,44,8
heart attack patients given aspirin at discharge,al_ami-2,45,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,46,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,47,11
heart attack patients given beta blocker at discharge,al_ami-5,48,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,49,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,50,14
heart failure patients given discharge instructions,al_hf-1,51,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,52,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,53,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,54,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,55,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-xb,56,26
pneumonia patients given smoking cessation advice/counseling,al_pn-4,57,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,58,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,59,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,60,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,61,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,62,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,63,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,64,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,65,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,66,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,67,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,68,7
heart attack patients given aspirin at arrival,al_amx-1,69,27
heart attack patients given aspirin at discharge,al_ami-2,70,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,71,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,72,11
heart attack patients given beta blocker at discharge,al_ami-5,73,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,74,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,75,14
heart failure patients given discharge instructions,al_hf-1,76,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,77,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,78,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,79,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,80,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,81,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,82,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,83,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,84,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,85,24
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,86,25
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,87,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,88,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,89,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,90,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,91,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,92,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,93,7
xeart attack patients given aspirin at arrival,al_ami-1,94,28
heart attack patients given aspirin at discharge,al_ami-2,95,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,96,10
heart attack patients given smoking cessation advice/counseling,al_ami-4,97,11
heart attack patients given beta blocker at discharge,al_ami-5,98,12
heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,99,13
heart attack patients given pci within 90 minutes of arrival,al_ami-8a,100,14
heart failure patients given discharge instructions,al_hf-1,101,15
heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,102,16
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,103,17
heart failure patients given smoking cessation advice/counseling,al_hf-4,104,18
pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,105,19
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,106,20
pneumonia patients given smoking cessation advice/counseling,al_pn-4,107,21
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,108,22
pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,109,23
pneumonia patients assessed and given influenza vaccination,al_pn-7,110,24
surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,al_scip-card-2,111,29
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,112,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,113,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,114,3
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,115,4
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,116,5
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,117,6
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,118,7
heart attack patients given aspirin at arrivax,al_ami-1,119,30
heart attack patients given aspirin at discharge,al_ami-2,120,9
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,121,10
