PhoneNumber,HospitalType,original_index,unique_index
2053258100,acute care hospitals,0,0
2053258100,acute care hospitals,1,0
2053258100,acute care hospitals,2,0
2053258100,acute care hospitals,3,0
2053258100,acute care hospitals,4,0
2053258100,acute care hospitals,5,0
2053258100,acute care hospitals,6,0
2053258100,acute care hospitals,7,0
2563864556,acute care hospitals,8,1
2563864556,acute care hospitals,9,1
2563864556,acute care hospitals,10,1
2563864556,acute care hospitals,11,1
2563864556,acute care hospitals,12,1
2563864556,acute care hospitals,13,1
2563864556,acute care hospitals,14,1
2563864556,acute care hospitals,15,1
2563864556,acuxe care hospixals,16,2
2563864556,acute care hospitals,17,1
2563864556,acute care hospitals,18,1
3347938701,acute care hospitals,19,3
3347938701,acute care hospitals,20,3
3347938701,acute care hospitals,21,3
3347938701,acute care hospitals,22,3
3347938701,acute care hospitals,23,3
334793870x,acute care hospitals,24,4
3347938701,acute care hospitals,25,3
3347938701,acute care hospitals,26,3
3347938701,acute care hospitals,27,3
3347938701,acute care hospitals,28,3
3347938701,acute care hospitals,29,3
3347938701,acute care hospitals,30,3
3347938701,acute care hospitals,31,3
3347938701,acute care hospitals,32,3
3347938701,acute care hospitals,33,3
3347938701,acute care hospitals,34,3
3347938701,acute care hospitals,35,3
xx479x8701,acute care hospitals,36,5
3347938701,acute care hospitals,37,3
3347938701,acute care hospitals,38,3
3347938701,acxte care hospitals,39,6
3347938701,acute care hospitals,40,3
3347938701,acute care hospitals,41,3
3347938701,acute care hospitals,42,3
3347938701,acute care hospitals,43,3
2565938310,acute care hospitals,44,7
2565938310,acute care hospitals,45,7
2565938310,acute care hospitals,46,7
2565938310,acute care hospitals,47,7
2565938310,acute care hospitals,48,7
2565938310,acute care hospitals,49,7
2565938310,acute care hospitals,50,7
2565938310,acute care hospitals,51,7
2565938310,acute care hospitals,52,7
2565938310,acute care hospitals,53,7
2565938310,acute care hospitals,54,7
2565938310,acute care hospitals,55,7
2565938310,acute care hospitals,56,7
2x6x938310,acute care hospitals,57,8
2565938310,acute care hospitals,58,7
2565938310,acute care hospitals,59,7
2x6x938310,acute care hospitals,60,8
2565938310,acute care hospitals,61,7
2565938310,acute care hospitals,62,7
2565938310,acute care hospitals,63,7
2565938310,acute care hospitals,64,7
2565x38310,acute care hospitals,65,9
2565938310,acute care hospitals,66,7
2565938310,acute care hospitals,67,7
2565938310,acute care hospitals,68,7
2567688400,acute care hospitals,69,10
2567688400,acute care hospitals,70,10
2567688400,acute care hospitals,71,10
2567688400,acute care hospitals,72,10
2567688400,acute care hospitals,73,10
2567688400,acute care hospitals,74,10
2567688400,acute care hospitals,75,10
2567688400,acute care hospitals,76,10
2567688400,acute care hospitals,77,10
2567688400,acute care hospitals,78,10
2567688400,acute care hospitals,79,10
2567688400,acute care hospitals,80,10
2567688400,acute care hospitals,81,10
2567688400,acute care hospitals,82,10
2567688400,acute care hospitals,83,10
2567688400,acute care hospitals,84,10
2567688400,acute care hospitals,85,10
2567688400,acute care hospitals,86,10
2567688400,acute care hospitals,87,10
2567688400,acute care hospitals,88,10
2567688400,acute care hospitals,89,10
2567688400,acute care hospitals,90,10
2567688400,acute care hospitals,91,10
2567688400,acute care hospitals,92,10
2567688400,acute care hospitals,93,10
3344933541,acute care hospitals,94,11
3344933541,acute care hospitals,95,11
3344933541,acute care hospitals,96,11
3344933541,acute care hospitals,97,11
3344933541,acute care hosxitals,98,12
3344933541,acute care hospitals,99,11
3344933541,acute care hospitals,100,11
3344x33541,acute care hospitals,101,13
3344933541,acute care hospitals,102,11
3344933541,acute care hospitals,103,11
3344933541,acute care hospitals,104,11
3344933541,acute care hospitals,105,11
3344933541,acute care hospitals,106,11
3344933541,acute care hospitals,107,11
3344933541,acute care hospitals,108,11
3344933541,acute care hospitals,109,11
3344933541,acute care hospitals,110,11
3344933541,acute care hospitals,111,11
3344933541,acute care hospitals,112,11
3344933541,acute care hospitals,113,11
3344933541,acute care hospitals,114,11
3344933541,acute care hospitals,115,11
3344933541,acute care hospitals,116,11
3344933541,acute care hospitals,117,11
3344933541,acute care hospitals,118,11
3343353374,acute care hospitals,119,14
3343353374,acute care hospitals,120,14
3343353374,acute care hospitals,121,14
3343353374,acute care hospitals,122,14
3343353374,acute care hospitals,123,14
3343353374,acute care hospitals,124,14
3343353374,acute care hospitals,125,14
3343353374,acute care hospitals,126,14
3343353374,acute care hospitals,127,14
3343353374,acute care hospitals,128,14
3343353374,acute care hospitals,129,14
3343353374,acute care hospitals,130,14
3343353374,acute care hospitals,131,14
3343353374,acute care hospitals,132,14
3343353374,acute care hospitals,133,14
3343353374,acute care hospitals,134,14
3343353374,acute care hospitals,135,14
3343353374,acute care hospitals,136,14
3343353374,acute care hospitals,137,14
3343353374,acute care hospitals,138,14
3343353374,acute care hospitals,139,14
3343353374,acute care hospitals,140,14
3343353374,acute care hospitals,141,14
3343353374,acute care hospitals,142,14
3343353374,acute care hospitals,143,14
2567736511,acute care hospitals,144,15
2567736511,acute care hospitals,145,15
2567736511,acute care hospitals,146,15
2567736511,acute care hospitals,147,15
2567736511,acute care hospitals,148,15
2567736511,acute care hospitals,149,15
2567736511,acute care hospitals,150,15
2567736511,acute care hospitals,151,15
2567736511,acute care hospitals,152,15
2567736511,acute care hospitals,153,15
2567736511,acute care hospitals,154,15
2567736511,acute care hospitals,155,15
2567736511,acute care hospitals,156,15
2567736511,acute care hospitals,157,15
2567736511,acute care hospitals,158,15
2567736511,acute care hospitals,159,15
2567736511,acute care hospitals,160,15
2567736511,acute care hospitals,161,15
2567736511,acute care hospitals,162,15
2567736511,acute care hospitals,163,15
2567736511,acute care hospitals,164,15
2567736511,acute care hospitals,165,15
2567736511,acute care hospitals,166,15
2567736511,acute care hospitals,167,15
2567736511,acute care hospitals,168,15
2565718000,acute care hospitals,169,16
2565718000,acute care hospitals,170,16
2565718000,acute care hospitals,171,16
2565718000,acute care hospitals,172,16
2565718000,acute care hospitals,173,16
2565718000,acute care hospitals,174,16
2565718000,acute care hospitals,175,16
2565718000,acute care hospitals,176,16
2565718000,acute care hospitals,177,16
2565718000,acute care hospitals,178,16
2565718000,acute care hospitals,179,16
2565718000,acute care hospitals,180,16
2565718000,acute care hospitals,181,16
2565718000,acute care hospitals,182,16
2565718000,acute care hospitals,183,16
2565718000,acute care hospitals,184,16
2565718000,acute care hospitals,185,16
2565718000,acute care hospitals,186,16
2565718000,acute care hospitals,187,16
2565718000,acute care hospitals,188,16
2565718000,acute care hospitals,189,16
2565718000,acute care hospitals,190,16
2565718000,acute care hospitals,191,16
2565718000,acute care hospitals,192,16
2565718000,acute care hospitals,193,16
2058383122,acute care hospitals,194,17
2058383122,acute care hospitals,195,17
2058383122,acute care hospitals,196,17
2058383122,acute care hospitals,197,17
2058383122,acute care hospitals,198,17
2058383122,acute care hosxitals,199,18
2058383122,acute care hospitals,200,17
2058383122,acute care hospitals,201,17
2058383122,acute care hospitals,202,17
2058383122,acute care hospitals,203,17
2058383122,acute care hospitals,204,17
2058383122,acute care hospitals,205,17
2058383122,acute care hospitals,206,17
2058383122,acute care hospitals,207,17
2058383122,acute care hospitals,208,17
2058383122,acute care hospitals,209,17
2058383122,acute care hospitals,210,17
2058383122,acute care hospitals,211,17
2058383122,acute care hospitals,212,17
2058383122,acutx carx hospitals,213,19
2058383122,acute care hospitals,214,17
2058383122,acute care hospitals,215,17
2058383122,acute care hospitals,216,17
2058x8x122,acute care hospitals,217,20
2058383122,acute care hospitals,218,17
2568453150,acute care hospitals,219,21
2568453150,acute care hospitals,220,21
2568453150,acute care hospitals,221,21
2568453150,acute care hospitals,222,21
2568453150,acute care hospitals,223,21
2568453150,acute care hospitals,224,21
2568453150,acute care hospitals,225,21
2568453150,acute care hospitals,226,21
2568453150,acute care hospitals,227,21
