ProviderNumber,Address3,original_index,unique_index
10018,empty,0,0
10018,empty,1,0
10018,empty,2,0
10018,empty,3,0
10018,empty,4,0
10018,empty,5,0
10018,empty,6,0
10018,empty,7,0
10019,empty,8,1
10019,empty,9,1
10019,empty,10,1
10019,empty,11,1
10019,empty,12,1
1xx19,empty,13,2
10019,empty,14,1
10019,empty,15,1
10019,empty,16,1
10019,empty,17,1
10019,empty,18,1
10001,empty,19,3
10001,empty,20,3
10001,empty,21,3
10001,empty,22,3
10001,empty,23,3
10001,empty,24,3
10001,empty,25,3
10001,empty,26,3
10001,empty,27,3
10001,empty,28,3
10001,empty,29,3
10001,empty,30,3
10001,empty,31,3
10001,empty,32,3
10001,empty,33,3
10001,empty,34,3
10001,empty,35,3
10001,empty,36,3
10001,empty,37,3
10001,empty,38,3
10001,empty,39,3
10001,empty,40,3
10001,empty,41,3
10001,empty,42,3
10001,empty,43,3
10005,empty,44,4
x0005,empty,45,5
10005,empty,46,4
10005,empty,47,4
10005,empty,48,4
10005,empty,49,4
10005,empty,50,4
10005,empty,51,4
10005,empty,52,4
10005,empty,53,4
10005,empty,54,4
10005,empty,55,4
10005,empty,56,4
10005,empty,57,4
10005,empty,58,4
10005,empty,59,4
10005,empty,60,4
10005,empty,61,4
10005,empty,62,4
10005,empty,63,4
10005,empty,64,4
10005,empty,65,4
10005,empty,66,4
10005,empty,67,4
10005,empty,68,4
10006,empty,69,6
10006,empty,70,6
10006,empty,71,6
10006,empty,72,6
10006,empty,73,6
10006,empty,74,6
10006,empty,75,6
10006,empty,76,6
10006,empty,77,6
10006,empty,78,6
10006,empty,79,6
10006,empty,80,6
1000x,empty,81,7
10006,empty,82,6
10006,empty,83,6
10006,empty,84,6
10006,empty,85,6
10006,empty,86,6
10006,empty,87,6
10006,empty,88,6
10006,empty,89,6
10006,empty,90,6
10006,empty,91,6
10006,empty,92,6
10006,empty,93,6
10007,empty,94,8
10007,empty,95,8
10007,empty,96,8
10007,empty,97,8
10007,empty,98,8
10007,empty,99,8
10007,empty,100,8
10007,empty,101,8
10007,empty,102,8
10007,empty,103,8
10007,empty,104,8
10007,empty,105,8
10007,empty,106,8
10007,empty,107,8
10007,empty,108,8
10007,empty,109,8
10007,empty,110,8
10007,empty,111,8
10007,empty,112,8
10007,empty,113,8
10007,empty,114,8
10007,empty,115,8
10007,empty,116,8
10007,empty,117,8
10007,empty,118,8
10008,empty,119,9
10008,empty,120,9
10008,empty,121,9
10008,empty,122,9
10008,empty,123,9
