ProviderNumber,HospitalOwner,original_index,unique_index
10018,voluntary non-profit - private,0,0
10018,voluntary non-profit - private,1,0
10018,voluntary non-profit - private,2,0
10018,voluntary non-profit - private,3,0
10018,voluntary non-profit - private,4,0
10018,voluntary non-profit - private,5,0
10018,voluntary non-profit - private,6,0
10018,voluntary non-profit - private,7,0
10019,government - hospital district or authority,8,1
10019,government - hospital district or authority,9,1
10019,government - hospital district or authority,10,1
10019,government - hospital district or authority,11,1
10019,government - hospital district or authority,12,1
1xx19,government - hospital district or authority,13,2
10019,government - hospital district or authority,14,1
10019,government - hospital district or authority,15,1
10019,government - hospital district or authority,16,1
10019,government - hospital district or authority,17,1
10019,government - hospital district or authority,18,1
10001,government - hospital district or authority,19,3
10001,government - hospital district or authority,20,3
10001,government - hospital district or authority,21,3
10001,government - hospxtal dxstrxct or authorxty,22,4
10001,government - hospital district or authority,23,3
10001,government - hospital district or authority,24,3
10001,government - hospital district or authority,25,3
10001,government - hospital district or authority,26,3
10001,government - hospital xistrict or authority,27,5
10001,government - hospital district or authority,28,3
10001,government - hospital district or authority,29,3
10001,government - hospital district or authority,30,3
10001,governmenx - hospixal disxricx or auxhorixy,31,6
10001,government - hospital district or authority,32,3
10001,government - hospital district or authority,33,3
10001,government - hospital district or authority,34,3
10001,government - hospital district or authority,35,3
10001,government - hospital district or authority,36,3
10001,government - hospital district or authority,37,3
10001,government - hospital district or authority,38,3
10001,government - hospital district or authority,39,3
10001,government - hospital district or authority,40,3
10001,government - hospital district or authority,41,3
10001,gxvernment - hxspital district xr authxrity,42,7
10001,government - hospital district or authority,43,3
10005,government - hospital district or authority,44,8
x0005,government - hospital district or authority,45,9
10005,government - hospital district or authority,46,8
10005,government - hospital district or authority,47,8
10005,government - hospital district or authority,48,8
10005,government - hospital district or authority,49,8
10005,government - hospital district or authority,50,8
10005,government - hospital district or authority,51,8
10005,government - hospital district or authority,52,8
10005,government - hospital district or authority,53,8
10005,government - hospital district or authority,54,8
10005,government - hospital district or authority,55,8
10005,government - hospital district or authority,56,8
10005,government - hospital district or authority,57,8
10005,government - hospital district or authority,58,8
10005,government - hospital district or authority,59,8
10005,government - hospital district or authority,60,8
10005,government - hospital district or authority,61,8
10005,government - hospital district or authority,62,8
10005,government - hospital district or authority,63,8
10005,government - hospital district or authority,64,8
10005,government - hospital district or authority,65,8
10005,government - hospital district or authority,66,8
10005,government - hospital district or authority,67,8
10005,government - hospital district or authority,68,8
10006,voluntary non-profit - other,69,10
10006,voluntary non-profit - other,70,10
10006,voluntary non-profit - other,71,10
10006,voluntary non-profit - other,72,10
10006,voluntary non-profit - other,73,10
10006,voluntary non-profit - other,74,10
10006,voluntary non-profit - other,75,10
10006,voluntary non-profit - other,76,10
10006,voluntary non-profit - other,77,10
10006,voluntary non-profit - other,78,10
10006,voluntary non-profit - other,79,10
10006,voluntary non-profit - other,80,10
1000x,voluntary non-profit - other,81,11
10006,voluntary non-profit - other,82,10
10006,voluntary non-profit - other,83,10
10006,voluntary non-profit - other,84,10
10006,voluntary non-profit - other,85,10
10006,voluntary non-profit - other,86,10
10006,voluntary non-profit - other,87,10
10006,voluntary non-profit - other,88,10
10006,voluntary non-profit - other,89,10
10006,voluntary non-profit - other,90,10
10006,voluntary non-profit - other,91,10
10006,voluntary non-profit - other,92,10
10006,voluntary non-profit - other,93,10
10007,voluntary non-profit - private,94,12
10007,voluntary non-profit - private,95,12
10007,voluntary non-profit - private,96,12
10007,voluntary non-profit - private,97,12
10007,voluntary non-profit - private,98,12
10007,voluntary non-profit - private,99,12
10007,voluntary non-profit - private,100,12
10007,voluntary non-profit - private,101,12
10007,voluntary non-profit - private,102,12
10007,voluntary non-profit - private,103,12
10007,voluntary non-profit - private,104,12
10007,voluntary non-profit - private,105,12
10007,voluntary non-profit - private,106,12
10007,voluntary non-profit - private,107,12
10007,voluntary non-profit - private,108,12
10007,voluntary non-profit - private,109,12
10007,voluntary non-profit - private,110,12
10007,voluntary non-profit - private,111,12
10007,voluntary non-profit - private,112,12
10007,volunxary non-profix - privaxe,113,13
10007,voluntary non-profit - private,114,12
10007,voluntary non-profit - private,115,12
10007,voluntary non-profit - private,116,12
10007,voluntary non-profit - private,117,12
10007,voluntary non-profit - private,118,12
10008,government - federal,119,14
10008,government - federal,120,14
10008,government - federal,121,14
10008,government - federal,122,14
10008,government - federal,123,14
10008,government - federal,124,14
10008,government - federal,125,14
10008,government - federal,126,14
10008,government - federal,127,14
10008,government - federal,128,14
10008,government - federal,129,14
10008,government - federal,130,14
10008,government - federal,131,14
10008,government - federal,132,14
10008,government - federal,133,14
10008,government - federal,134,14
10008,government - federal,135,14
10008,government - federal,136,14
10008,government - federal,137,14
10008,government - federal,138,14
10008,government - federal,139,14
10008,government - federal,140,14
10008,government - federal,141,14
10008,government - federal,142,14
10008,government - federal,143,14
10009,proprietary,144,15
10009,proprietary,145,15
10009,proprietary,146,15
10009,proprietary,147,15
10009,proprietary,148,15
10009,proprietary,149,15
10009,proprietary,150,15
10009,proprietary,151,15
10009,proprietary,152,15
10009,proprietary,153,15
10009,proprietary,154,15
10009,proprietary,155,15
10009,proprietary,156,15
10009,pxopxietaxy,157,16
10009,proprietary,158,15
10009,proxrietary,159,17
10009,proprietary,160,15
10009,proprietary,161,15
10009,xroprietary,162,18
10009,proprietary,163,15
10009,pxopxietaxy,164,16
10009,proprietary,165,15
10009,proprietary,166,15
10009,proprietary,167,15
10009,proprietary,168,15
10010,government - hospital district or authority,169,19
10010,government - hospital district or authority,170,19
10010,government - hospital district or authority,171,19
10010,government - hospital district or authority,172,19
10010,government - hospital district or authority,173,19
10010,government - hospital district or authority,174,19
10010,government - hospital district or authority,175,19
10010,government - hospital district or authority,176,19
10010,government - hospital district or authority,177,19
10010,government - hospital district or authority,178,19
10010,government - hospital district or authority,179,19
10010,government - hospital district or authority,180,19
10010,government - hospital district or authority,181,19
10010,government - hospital district or authority,182,19
10010,government - hospital district or authority,183,19
10010,government - hospital district or authority,184,19
10010,government - hospital district or authority,185,19
10010,government - hospital district or authority,186,19
10010,government - hospital district or authority,187,19
10010,government - hospital district or authority,188,19
10010,government - hospital district or authority,189,19
10010,government - hospital district or authority,190,19
10010,government - hospital district or authority,191,19
10010,government - hospital district or authority,192,19
10010,government - hospital district or authority,193,19
10011,voluntary non-profit - private,194,20
10011,voluntary non-profit - private,195,20
10011,voluntary non-profit - private,196,20
10011,voluntary non-profit - private,197,20
10011,voluntary non-profit - private,198,20
10011,voluntary non-profit - private,199,20
10011,voluntary non-profit - private,200,20
