ProviderNumber,ZipCode,original_index,unique_index
10018,35233,0,0
10018,35233,1,0
10018,35233,2,0
10018,35233,3,0
10018,35233,4,0
10018,35233,5,0
10018,35233,6,0
10018,35233,7,0
10019,35660,8,1
10019,35660,9,1
10019,35660,10,1
10019,35660,11,1
10019,35660,12,1
1xx19,35660,13,2
10019,35660,14,1
10019,35660,15,1
10019,35660,16,1
10019,35660,17,1
10019,35660,18,1
10001,36302,19,3
10001,36302,20,3
10001,36302,21,3
10001,36302,22,3
10001,36302,23,3
10001,36302,24,3
10001,36302,25,3
10001,36302,26,3
10001,36302,27,3
10001,36302,28,3
10001,36302,29,3
10001,36302,30,3
10001,36302,31,3
10001,36302,32,3
10001,36302,33,3
10001,36302,34,3
10001,36302,35,3
10001,36302,36,3
10001,36302,37,3
10001,36302,38,3
10001,36302,39,3
10001,36302,40,3
10001,36302,41,3
10001,36302,42,3
10001,36302,43,3
10005,x5957,44,4
x0005,35957,45,5
10005,35957,46,6
10005,35957,47,6
10005,35957,48,6
10005,35957,49,6
10005,35957,50,6
10005,35957,51,6
10005,35957,52,6
10005,35957,53,6
10005,35957,54,6
10005,35957,55,6
10005,35957,56,6
10005,35957,57,6
10005,35957,58,6
10005,35957,59,6
10005,35957,60,6
10005,35957,61,6
10005,35957,62,6
10005,3595x,63,7
10005,35957,64,6
10005,35957,65,6
10005,35957,66,6
10005,35957,67,6
10005,35957,68,6
10006,35631,69,8
10006,3563x,70,9
10006,35631,71,8
10006,35631,72,8
10006,35631,73,8
10006,35631,74,8
10006,35631,75,8
10006,35631,76,8
10006,35631,77,8
10006,35631,78,8
10006,35631,79,8
10006,35631,80,8
1000x,35631,81,10
10006,35631,82,8
10006,35631,83,8
10006,35631,84,8
10006,35631,85,8
10006,35631,86,8
10006,35631,87,8
10006,35631,88,8
10006,35631,89,8
10006,35631,90,8
10006,35631,91,8
10006,35631,92,8
10006,3563x,93,9
10007,36467,94,11
10007,36467,95,11
10007,36467,96,11
10007,36467,97,11
10007,36467,98,11
10007,36467,99,11
10007,36467,100,11
10007,36467,101,11
10007,36467,102,11
10007,36467,103,11
10007,36467,104,11
10007,36467,105,11
10007,36467,106,11
10007,36467,107,11
10007,36467,108,11
10007,36467,109,11
10007,36467,110,11
10007,36467,111,11
10007,36467,112,11
10007,36467,113,11
10007,36467,114,11
10007,36467,115,11
10007,36467,116,11
10007,36467,117,11
10007,36467,118,11
10008,36049,119,12
10008,36049,120,12
10008,36049,121,12
10008,36049,122,12
10008,36049,123,12
10008,36049,124,12
10008,36049,125,12
10008,36049,126,12
10008,36049,127,12
10008,36049,128,12
10008,36049,129,12
10008,36049,130,12
10008,36049,131,12
10008,36049,132,12
10008,36049,133,12
10008,36049,134,12
10008,36049,135,12
10008,36049,136,12
10008,36x49,137,13
10008,36049,138,12
10008,360x9,139,14
10008,36049,140,12
10008,36049,141,12
10008,36049,142,12
10008,36049,143,12
10009,35640,144,15
10009,35640,145,15
10009,35640,146,15
10009,35640,147,15
10009,35640,148,15
10009,3x640,149,16
10009,35640,150,15
10009,35640,151,15
10009,35640,152,15
10009,35640,153,15
10009,35640,154,15
10009,35640,155,15
10009,35640,156,15
10009,3x640,157,16
10009,35640,158,15
10009,35640,159,15
10009,35640,160,15
10009,35640,161,15
10009,35640,162,15
10009,35640,163,15
10009,35640,164,15
10009,35640,165,15
10009,35640,166,15
10009,35640,167,15
10009,35640,168,15
10010,35976,169,17
10010,35976,170,17
10010,35976,171,17
10010,35976,172,17
10010,35976,173,17
10010,35976,174,17
10010,35976,175,17
10010,35976,176,17
10010,35976,177,17
10010,35976,178,17
10010,35976,179,17
10010,35976,180,17
10010,35976,181,17
10010,35976,182,17
10010,35976,183,17
10010,35976,184,17
10010,35976,185,17
10010,35976,186,17
10010,35976,187,17
10010,35976,188,17
10010,35976,189,17
10010,35976,190,17
10010,35976,191,17
10010,35976,192,17
10010,35976,193,17
10011,35235,194,18
10011,35235,195,18
10011,3x23x,196,19
10011,35235,197,18
10011,35235,198,18
10011,35235,199,18
10011,35235,200,18
10011,35235,201,18
10011,35235,202,18
10011,35235,203,18
10011,35235,204,18
10011,35235,205,18
10011,35235,206,18
10011,35235,207,18
10011,35235,208,18
10011,35235,209,18
10011,35235,210,18
10011,35235,211,18
10011,35235,212,18
x00xx,35235,213,20
10011,35235,214,18
10011,35235,215,18
10011,35235,216,18
10011,35235,217,18
10011,35235,218,18
10012,35968,219,21
10012,35968,220,21
10012,35968,221,21
10012,35968,222,21
10012,35968,223,21
10012,35968,224,21
10012,35968,225,21
10012,35968,226,21
10012,35968,227,21
10012,35968,228,21
10012,35968,229,21
10012,35968,230,21
10012,35968,231,21
10012,359x8,232,22
10012,35968,233,21
10012,35968,234,21
10012,35968,235,21
10012,35968,236,21
10012,35968,237,21
10012,35968,238,21
10012,35968,239,21
10012,35968,240,21
10012,35968,241,21
10012,35968,242,21
10012,35968,243,21
x00x5,36784,244,23
10015,36784,245,24
10015,36784,246,24
10015,36784,247,24
10015,36784,248,24
10015,36784,249,24
10015,36784,250,24
10015,36784,251,24
10015,36784,252,24
1xx15,36784,253,25
10015,36784,254,24
10015,36784,255,24
10015,36784,256,24
10015,36784,257,24
10015,36784,258,24
10015,36784,259,24
10015,36784,260,24
10015,36784,261,24
10015,36784,262,24
10015,36784,263,24
10015,36784,264,24
10015,36784,265,24
10015,36784,266,24
10015,x6784,267,26
10015,36784,268,24
10016,35007,269,27
10016,35007,270,27
10016,35007,271,27
10016,35007,272,27
1xx16,35007,273,28
10016,35007,274,27
10016,35007,275,27
10016,35007,276,27
10016,35007,277,27
10016,35007,278,27
10016,35007,279,27
10016,35007,280,27
10016,35007,281,27
10016,35007,282,27
10016,3x007,283,29
10016,35007,284,27
10016,35007,285,27
10016,35007,286,27
10016,35007,287,27
10016,35007,288,27
10016,35007,289,27
10016,x5007,290,30
10016,35007,291,27
10016,35007,292,27
10016,35007,293,27
10018,35233,294,0
10018,35233,295,0
10018,35233,296,0
10018,35233,297,0
10018,35233,298,0
10018,35233,299,0
10018,35233,300,0
10018,35233,301,0
10018,35233,302,0
10018,35233,303,0
10018,35233,304,0
10018,35233,305,0
10018,35233,306,0
10018,35233,307,0
10018,35233,308,0
10018,35233,309,0
10018,35233,310,0
10038,36201,311,31
10038,36201,312,31
10038,36201,313,31
100x8,36201,314,32
10038,36201,315,31
10038,36201,316,31
10038,36201,317,31
10038,36201,318,31
10038,36201,319,31
10038,36201,320,31
10038,36201,321,31
10038,36201,322,31
10038,36201,323,31
10038,36201,324,31
10038,36x01,325,33
10038,36201,326,31
10038,36201,327,31
10038,36201,328,31
10038,36201,329,31
10038,36201,330,31
10055,36305,331,34
10055,3x305,332,35
10055,36305,333,34
10055,36305,334,34
10055,36305,335,34
10055,36305,336,34
10055,36305,337,34
10055,36305,338,34
10055,36305,339,34
10055,x6x05,340,36
10055,36305,341,34
10055,36305,342,34
10055,36305,343,34
10055,36305,344,34
10055,36305,345,34
10055,36305,346,34
10055,36305,347,34
10056,35205,348,37
10056,35205,349,37
10056,35205,350,37
10056,35205,351,37
10056,35205,352,37
10085,35609,353,38
10086,35594,354,39
10086,35594,355,39
10086,35594,356,39
10086,35594,357,39
10086,35594,358,39
10086,35594,359,39
100x6,35594,360,40
10086,35594,361,39
10086,35594,362,39
10086,35594,363,39
10086,35594,364,39
10086,35594,365,39
10086,3xx94,366,41
10086,35594,367,39
10086,35594,368,39
10086,35594,369,39
10086,35594,370,39
10086,35594,371,39
10086,35594,372,39
10086,35594,373,39
10086,35594,374,39
10086,3xx94,375,41
10086,35594,376,39
10086,35594,377,39
10086,35594,378,39
10087,36617,379,42
10087,36617,380,42
10087,36617,381,42
10087,36617,382,42
10087,36617,383,42
10087,36617,384,42
10087,36617,385,42
10087,36617,386,42
10087,36617,387,42
10087,36617,388,42
10087,36617,389,42
10087,36617,390,42
10087,36617,391,42
10108,36067,392,43
10108,36067,393,43
10108,36067,394,43
10108,36067,395,43
10108,36067,396,43
10108,36067,397,43
10108,36067,398,43
10108,36067,399,43
10108,36067,400,43
10108,36067,401,43
10108,36067,402,43
10108,36067,403,43
10108,36067,404,43
10108,36067,405,43
10108,3x0x7,406,44
10108,36067,407,43
x0x08,36067,408,45
10108,36067,409,43
10108,36067,410,43
10108,36067,411,43
10158,35653,412,46
10158,35653,413,46
10164,35150,414,47
10164,35150,415,47
10164,35150,416,47
10164,35150,417,47
10164,35150,418,47
10164,35150,419,47
10164,x5150,420,48
10164,35150,421,47
10164,35150,422,47
10164,35150,423,47
10164,35150,424,47
10164,35150,425,47
10164,35150,426,47
10164,35150,427,47
10164,3x1x0,428,49
10164,35150,429,47
10164,35150,430,47
10164,35150,431,47
20017,99508,432,50
20017,99508,433,50
20017,99508,434,50
20017,99508,435,50
20017,99508,436,50
20017,99508,437,50
20017,99508,438,50
20017,99508,439,50
20017,99508,440,50
20017,99508,441,50
20017,99508,442,50
20017,99508,443,50
20017,99508,444,50
20017,99508,445,50
20017,99508,446,50
20017,99508,447,50
20017,99508,448,50
20017,99508,449,50
20018,99559,450,51
20018,99559,451,51
10019,35660,452,1
10019,35660,453,1
10019,35660,454,1
10019,35660,455,1
10019,35660,456,1
10019,35660,457,1
10019,35660,458,1
10019,35660,459,1
10019,35660,460,1
10019,35660,461,1
10019,35660,462,1
10019,35660,463,1
10019,35660,464,1
10019,35660,465,1
10021,36360,466,52
10021,36360,467,52
10021,36360,468,52
10021,36360,469,52
10021,36360,470,52
10021,36360,471,52
10021,36360,472,52
10021,36360,473,52
10021,36360,474,52
10021,36360,475,52
10021,36360,476,52
10021,36360,477,52
10021,36360,478,52
10021,36360,479,52
10021,36360,480,52
10021,36360,481,52
10021,36360,482,52
10021,36360,483,52
10021,36360,484,52
10021,36360,485,52
10021,36360,486,52
10021,36360,487,52
10021,36360,488,52
10021,36360,489,52
10021,x6x60,490,53
10022,35960,491,54
10022,35960,492,54
10022,35960,493,54
10022,35960,494,54
10022,35960,495,54
10022,35960,496,54
10022,35960,497,54
10022,35960,498,54
10022,x5960,499,55
10022,35960,500,54
10022,35960,501,54
10022,35960,502,54
10022,35960,503,54
10022,35960,504,54
10022,35960,505,54
10022,35960,506,54
10022,35960,507,54
10022,35960,508,54
10022,35960,509,54
10022,35960,510,54
10022,35960,511,54
10022,35960,512,54
10022,35960,513,54
10022,35960,514,54
10022,35960,515,54
10023,36116,516,56
10023,36116,517,56
10023,36116,518,56
10023,36116,519,56
10023,36116,520,56
10023,36116,521,56
10023,36116,522,56
10023,36116,523,56
10023,36116,524,56
10023,36116,525,56
10023,36116,526,56
10023,36116,527,56
10023,36116,528,56
10023,36116,529,56
10023,36116,530,56
10023,36116,531,56
10023,36116,532,56
10023,36116,533,56
10023,36116,534,56
10023,36116,535,56
10023,36116,536,56
10023,36116,537,56
10023,36116,538,56
10023,36116,539,56
10023,36116,540,56
10024,36106,541,57
10024,36106,542,57
10024,36106,543,57
10024,3x10x,544,58
10024,36106,545,57
10024,36106,546,57
10024,36106,547,57
10024,36106,548,57
10024,36106,549,57
10024,36106,550,57
10024,36106,551,57
10024,36106,552,57
10024,36106,553,57
10024,36106,554,57
10024,36106,555,57
10024,36106,556,57
10024,36106,557,57
10024,36106,558,57
1xx24,36106,559,59
10024,36106,560,57
10024,36106,561,57
10024,36106,562,57
10024,36106,563,57
10024,36106,564,57
10024,36106,565,57
10025,36854,566,60
10025,36854,567,60
10025,36854,568,60
10025,36854,569,60
10025,36854,570,60
10025,36854,571,60
10025,36854,572,60
10025,36854,573,60
10025,36854,574,60
10025,36854,575,60
10025,36854,576,60
10025,36854,577,60
10025,36854,578,60
10025,36854,579,60
10025,36854,580,60
10025,36854,581,60
10025,36854,582,60
10025,36854,583,60
10025,36854,584,60
10025,36854,585,60
10025,36854,586,60
10025,36854,587,60
10025,36854,588,60
10025,36854,589,60
10025,36854,590,60
10027,36323,591,61
10027,36323,592,61
10027,36323,593,61
10027,36323,594,61
10027,36323,595,61
10027,36323,596,61
10027,36323,597,61
10027,36323,598,61
10027,36323,599,61
10027,36323,600,61
10027,36323,601,61
10027,36323,602,61
10027,36323,603,61
10027,36323,604,61
10027,36323,605,61
10027,36323,606,61
10027,36323,607,61
x0027,36323,608,62
10027,36323,609,61
10027,36323,610,61
10027,36323,611,61
10027,36323,612,61
10027,36323,613,61
10027,36323,614,61
10027,36323,615,61
10029,36801,616,63
10029,36801,617,63
10029,36801,618,63
10029,36801,619,63
10029,36801,620,63
10029,36801,621,63
10029,36801,622,63
10029,36801,623,63
10029,36801,624,63
10029,36801,625,63
10029,36801,626,63
x0029,36801,627,64
10029,36801,628,63
10029,36801,629,63
10029,36801,630,63
10029,36801,631,63
10029,36801,632,63
10029,36801,633,63
10029,36801,634,63
10029,36801,635,63
10029,36801,636,63
10029,36801,637,63
10029,36801,638,63
1xx29,36801,639,65
10029,36801,640,63
10032,36278,641,66
10032,36278,642,66
10032,36278,643,66
10032,36278,644,66
1xx32,36278,645,67
10032,36278,646,66
10032,36278,647,66
10032,36278,648,66
10032,36278,649,66
10032,36278,650,66
10032,36278,651,66
10032,36278,652,66
10032,36278,653,66
10032,36278,654,66
1xx32,36278,655,67
10032,36278,656,66
10032,36278,657,66
10032,36278,658,66
10032,36278,659,66
