ZipCode,Stateavg,original_index,unique_index
35233,al_scip-card-2,0,0
35233,al_scip-inf-1,1,1
35233,al_scip-inf-2,2,2
35233,al_scip-inf-3,3,3
35233,al_scip-inf-4,4,4
35233,al_scip-inf-6,5,5
35233,al_scip-vte-1,6,6
35233,al_scip-vte-2,7,7
35660,al_ami-1,8,8
35660,al_ami-2,9,9
35660,al_ami-3,10,10
35660,al_ami-4,11,11
35660,al_ami-5,12,12
35660,al_ami-7a,13,13
35660,al_ami-8a,14,14
35660,al_hf-1,15,15
35660,al_hf-2,16,16
35660,al_hf-3,17,17
35660,al_hf-4,18,18
36302,al_ami-1,19,19
36302,al_ami-2,20,20
36302,al_ami-3,21,21
36302,al_ami-4,22,22
36302,al_ami-5,23,23
36302,al_ami-7a,24,24
36302,al_ami-8a,25,25
36302,al_hf-1,26,26
36302,al_hf-2,27,27
36302,al_hf-3,28,28
36302,al_hf-4,29,29
36302,al_pn-2,30,30
36302,al_pn-3b,31,31
36302,al_pn-4,32,32
36302,al_pn-5c,33,33
36302,al_pn-6,34,34
36302,al_pn-7,35,35
36302,al_scip-card-2,36,36
36302,al_scip-inf-1,37,37
36302,al_scip-inf-2,38,38
36302,al_scip-inf-3,39,39
36302,al_scip-inf-4,40,40
36302,al_scip-inf-6,41,41
36302,al_scip-vte-1,42,42
36302,al_scip-vte-2,43,43
x5957,al_ami-1,44,44
35957,al_ami-2,45,45
35957,al_ami-3,46,46
35957,al_ami-4,47,47
35957,al_ami-5,48,48
35957,al_ami-7a,49,49
35957,al_ami-8a,50,50
35957,al_hf-1,51,51
35957,al_hf-2,52,52
35957,al_hf-3,53,53
35957,al_hf-4,54,54
35957,al_pn-2,55,55
35957,al_pn-xb,56,56
35957,al_pn-4,57,57
35957,al_pn-5c,58,58
35957,al_pn-6,59,59
35957,al_pn-7,60,60
35957,al_scip-card-2,61,61
35957,al_scip-inf-1,62,62
3595x,al_scip-inf-2,63,63
35957,al_scip-inf-3,64,64
35957,al_scip-inf-4,65,65
35957,al_scip-inf-6,66,66
35957,al_scip-vte-1,67,67
35957,al_scip-vte-2,68,68
35631,al_amx-1,69,69
3563x,al_ami-2,70,70
35631,al_ami-3,71,71
35631,al_ami-4,72,72
35631,al_ami-5,73,73
35631,al_ami-7a,74,74
35631,al_ami-8a,75,75
35631,al_hf-1,76,76
35631,al_hf-2,77,77
35631,al_hf-3,78,78
35631,al_hf-4,79,79
35631,al_pn-2,80,80
35631,al_pn-3b,81,81
35631,al_pn-4,82,82
35631,al_pn-5c,83,83
35631,al_pn-6,84,84
