completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
4,135,139,00:01.477,1,index
1841,1722,3563,00:12.672,1,ProviderNumber
1306,1920,3226,00:09.413,1,HospitalName
2067,2039,4106,00:13.634,1,Address1
22,769,791,00:00.814,1,Address2
22,769,791,00:00.723,1,Address3
1804,1760,3564,00:12.003,1,City
73,805,878,00:01.046,1,State
1696,1715,3411,00:11.654,1,ZipCode
1795,1648,3443,00:11.550,1,CountyName
1809,1893,3702,00:11.541,1,PhoneNumber
385,965,1350,00:02.929,1,HospitalType
1040,1244,2284,00:07.102,1,HospitalOwner
204,831,1035,00:02.363,1,EmergencyService
1020,1197,2217,00:07.269,1,Condition
942,1553,2495,00:06.343,1,MeasureCode
590,2800,3390,00:04.087,1,MeasureName
1727,1597,3324,00:11.064,1,Score
6128,7428,13556,00:39.822,4,Sample
1815,1979,3794,00:11.169,1,Stateavg
