City,State,original_index,unique_index
birmingham,al,0,0
birmingham,al,1,0
birmingham,al,2,0
birminghxm,al,3,1
birmingham,al,4,0
birmingham,al,5,0
birmingham,al,6,0
birmingxam,al,7,2
sheffield,al,8,3
sheffield,al,9,3
sheffxeld,al,10,4
sheffield,al,11,3
sheffield,al,12,3
sheffield,al,13,3
sheffield,al,14,3
sheffield,al,15,3
sheffield,al,16,3
sheffield,al,17,3
sheffield,al,18,3
dothan,al,19,5
dothan,al,20,5
dothan,al,21,5
dothan,al,22,5
dothan,al,23,5
dothan,al,24,5
dothan,al,25,5
dothan,al,26,5
dothan,al,27,5
dothan,al,28,5
dothan,al,29,5
dothan,al,30,5
dothan,al,31,5
dothan,al,32,5
dothan,al,33,5
dothan,al,34,5
dothan,al,35,5
dothan,al,36,5
dothan,al,37,5
dothan,al,38,5
dothan,al,39,5
dothan,al,40,5
dothan,al,41,5
dothan,xl,42,6
dothan,al,43,5
boaz,al,44,7
boaz,al,45,7
boaz,xl,46,8
boaz,al,47,7
boaz,al,48,7
boaz,al,49,7
boaz,xl,50,8
boaz,al,51,7
boaz,al,52,7
boaz,al,53,7
boaz,al,54,7
boaz,al,55,7
boxz,al,56,9
boaz,al,57,7
boaz,al,58,7
boaz,al,59,7
boaz,al,60,7
boaz,al,61,7
boaz,al,62,7
boaz,al,63,7
boaz,al,64,7
boaz,al,65,7
boaz,al,66,7
boaz,al,67,7
boaz,al,68,7
florence,al,69,10
florence,al,70,10
florence,al,71,10
florence,al,72,10
florence,al,73,10
florence,al,74,10
florence,al,75,10
florence,al,76,10
florence,al,77,10
florence,al,78,10
fxorence,al,79,11
florence,al,80,10
florence,al,81,10
florence,al,82,10
florence,xl,83,12
florence,al,84,10
florence,al,85,10
florence,al,86,10
florence,al,87,10
florxncx,al,88,13
florence,al,89,10
florence,al,90,10
florence,al,91,10
florence,al,92,10
flxrence,al,93,14
opp,al,94,15
opp,al,95,15
opp,al,96,15
opp,al,97,15
opp,xl,98,16
opp,al,99,15
opp,al,100,15
opp,al,101,15
opp,al,102,15
opp,al,103,15
opp,al,104,15
opp,al,105,15
opp,al,106,15
opp,al,107,15
opp,al,108,15
opp,al,109,15
opp,al,110,15
opp,al,111,15
opp,al,112,15
opp,al,113,15
opp,al,114,15
opp,al,115,15
opp,al,116,15
opp,al,117,15
opp,al,118,15
luverne,ax,119,17
luverne,al,120,18
luverne,al,121,18
luverne,al,122,18
luverne,al,123,18
luverne,al,124,18
luverne,al,125,18
luverne,al,126,18
luverne,al,127,18
luverne,al,128,18
luverne,al,129,18
luverne,al,130,18
luverne,al,131,18
luverne,al,132,18
luverne,al,133,18
luverne,al,134,18
luverne,al,135,18
luverne,al,136,18
luverne,al,137,18
luverne,al,138,18
luverne,al,139,18
luverne,ax,140,17
luverne,al,141,18
luverne,al,142,18
luverne,al,143,18
hartselle,al,144,19
hartselle,al,145,19
hartselle,al,146,19
hartselle,al,147,19
hartselle,al,148,19
hartselle,al,149,19
hartselle,al,150,19
hartselle,al,151,19
hartselle,al,152,19
hartselle,al,153,19
hartselle,al,154,19
hartselle,al,155,19
hartselle,al,156,19
hartselle,al,157,19
hartselle,al,158,19
