Condition,Sample,original_index,unique_index
surgical infection prevention,empty,0,0
surgical infection prevention,empty,1,0
surgical infection prevention,empty,2,0
surgical infection prevention,empty,3,0
surgical infection prevention,empty,4,0
surgical infection prevention,empty,5,0
surgical infection prevention,empty,6,0
surgical infection prevention,empty,7,0
heart attack,33 patients,8,1
heart attack,13 patients,9,2
heart attack,4 patients,10,3
heart attack,4 patients,11,3
heart attack,14 patients,12,4
heart attack,0 patients,13,5
heart attack,0 patients,14,5
heart failure,114 patients,15,6
heart failure,149 patients,16,7
heart failure,3x patients,17,8
heart failure,41 patients,18,9
heart attack,270 patients,19,10
heart attack,516 patients,20,11
heart attaxk,71 patients,21,12
hearx axxack,244 patients,22,13
heart attack,441 patients,23,14
heart attack,0 patients,24,5
heart attack,40 patients,25,15
heart failure,455 patients,26,16
heart failure,514 patients,27,17
heart failure,165 patients,28,18
heart failure,110 patients,29,19
pneumonia,191 patients,30,20
pneumonia,125 patients,31,21
pneumonia,107 patients,32,22
pneumonia,196 patients,33,23
pneumonia,147 patients,34,24
pneumonia,160 patients,35,25
surgical infection prevention,79 patients,36,26
surgical infection prevention,399 patients,37,27
surgical infection prevention,405 patients,38,28
surgical infection prevention,385 patients,39,29
surgical infection prevention,136 patients,40,30
surgical infection prevention,537 patients,41,31
surgical infection prevention,185 patients,42,32
surgical infection prevention,184 patients,43,33
heart attack,20 patients,44,34
heart attack,5 patients,45,35
heart attack,2 patients,46,36
heart attack,0 patients,47,5
heart attack,5 patients,48,35
heart attack,0 patients,49,5
heart attack,0 patients,50,5
heart failure,110 patients,51,19
heart failure,160 patients,52,37
heart failure,69 patients,53,38
heart failure,34 patients,54,39
pneumonia,172 patients,55,40
pneumonia,120 patients,56,41
pneumonia,98 patients,57,42
pneumonia,211 patients,58,43
pneumonia,175 patients,59,44
pneumonia,118 patients,60,45
surgical infection prevention,14 patients,61,46
surgical infection prevention,168 patients,62,47
surgical infection prevention,167 patients,63,48
surgical infection prevention,158 patients,64,49
surgical infection prevention,0 patients,65,50
surgical infection prevention,237 patients,66,51
surgical infection prevention,76 patients,67,52
surgical infection prevention,76 patients,68,52
heart attack,159 patients,69,53
heart attack,247 patients,70,54
heart attack,43 patients,71,55
heart attack,103 patients,72,56
hearx axxack,227 patients,73,57
heart attack,0 patients,74,5
heart attack,61 patients,75,58
heart failure,217 patients,76,59
heart failure,259 patients,77,60
heart failure,84 patients,78,61
heart failure,53 patients,79,62
pneumonia,174 patients,80,63
pneumonia,137 patients,81,64
pneumonia,65 patients,82,65
pneumonia,200 patients,83,66
pneumonia,138 patients,84,67
pneumonia,85 patients,85,68
surgical infection prevention,107 patients,86,69
surgical infection prevention,457 patients,87,70
surgical infection prevention,462 patients,88,71
surgical infection prevention,439 patients,89,72
surgical infection prevention,130 patients,90,73
surgical infection prevention,619 paxienxs,91,74
surgical infection prevention,242 patients,92,75
surgical infection prevention,242 patients,93,75
heart attack,5 patients,94,35
heart attack,2 patients,95,36
heart attack,0 patients,96,5
heart attack,0 patients,97,5
heart attack,2 patients,98,36
heart attack,0 patients,99,5
heart attack,0 patients,100,5
heart failure,59 patients,101,76
heart failure,76 patients,102,77
heart failure,14 patients,103,78
heart failure,8 patients,104,79
pneumonia,85 patients,105,68
pneumonia,64 patients,106,80
pneumonia,28 patients,107,81
pneumonia,87 patients,108,82
pneumonia,57 patients,109,83
pneumonia,63 patients,110,84
surgical infection prevention,11 patients,111,85
surgical infection prevention,101 patients,112,86
surgical infection prevention,101 patients,113,86
surgical infection prevention,100 patients,114,87
surgical infection prevention,0 patixnts,115,88
surgical infection prevention,123 patients,116,89
surgical infection prevention,77 patients,117,90
surgical infection prevention,76 patients,118,52
heart attack,1 patients,119,91
heart attack,1 patients,120,91
heart attack,0 patients,121,5
heart attack,0 patients,122,5
heart attack,1 patients,123,91
heart attack,0 patients,124,5
heart attack,0 patients,125,5
heart failure,26 patients,126,92
heaxt failuxe,39 patients,127,93
heart failure,8 patients,128,79
heart failure,5 patients,129,94
pneumonia,16 patients,130,95
pneumonia,15 patients,131,96
pneumonia,9 patients,132,97
pneumonia,21 pxtients,133,98
pneumonia,21 patients,134,99
pneumonia,15 patients,135,96
surgical infection prevention,1 patients,136,100
surgical infection prevention,2 patients,137,101
surgical infection prevention,2 patients,138,101
surgical infection prevention,2 patients,139,101
surgical infection prevention,0 patients,140,50
surgical infection prevention,4 patients,141,102
surgical infection prevention,4 patients,142,102
surgical infection prevention,4 patients,143,102
heart attack,6 patients,144,103
heart attack,1 patients,145,91
heart attack,1 patients,146,91
heart attack,2 patients,147,36
heart attack,3 patients,148,104
heart attack,0 patients,149,5
heart attack,0 patients,150,5
heart failure,35 patients,151,105
heart failure,42 patients,152,106
heart failure,10 patients,153,107
heart failure,12 patients,154,108
pneumonia,44 patients,155,109
pneumonia,30 patients,156,110
pneumonia,25 patients,157,111
pneumonia,51 patients,158,112
pneumonia,45 patients,159,113
pneumonia,30 patients,160,110
surgical infection prevention,3 patients,161,114
surgical infection prevention,6 patients,162,115
surgical infection prevention,7 patients,163,116
surgical infection prevention,5 patients,164,117
surgical infection prevention,0 patients,165,50
surgical infection prevention,xx patients,166,118
surgical infection prevention,9 patients,167,119
surgical infection prevention,9 patients,168,119
heart attack,8 patients,169,120
heart attack,6xpatients,170,121
heart attack,2 patients,171,36
heart attack,2 patients,172,36
heart attack,6 patients,173,103
heart attack,0 patients,174,5
heart attack,0 patients,175,5
heart failure,55 patients,176,122
heart failure,80 patients,177,123
heart failure,27 patients,178,124
heart failure,10 patients,179,107
pneumonia,128 patients,180,125
pneumonia,115 patients,181,126
pneumonia,65 patients,182,65
pneumonia,158 patients,183,127
pneumonia,133 patients,184,128
pneumonia,101 patients,185,129
surgical infection prevention,14 patients,186,46
surgical infection prevention,66 patients,187,130
surgical infection prevention,64 patients,188,131
surgical infection prevention,63 patients,189,132
surgical infection prevention,0 patients,190,50
surgical infection prevention,155 patients,191,133
surgical infection prevention,56 patients,192,134
surgical infection prevention,56 patients,193,134
heart attack,240 patients,194,135
heart attack,295 patients,195,136
heart attack,70 patients,196,137
heart attack,131 patients,197,138
heart attack,288 patients,198,139
heaxt attack,0 patients,199,140
heart attack,48 patients,200,141
heart failure,316 patients,201,142
heart failure,372 patients,202,143
heart failure,130 patients,203,144
heart failure,69 patients,204,38
pneumonia,125 patients,205,21
pneumonia,131 patients,206,145
pneumonia,69 patients,207,146
pneumonia,135 patients,208,147
pneumonia,112 patients,209,148
pneumonia,89 patients,210,149
surgical infection prevention,125 patients,211,150
surgical infection prevention,461 patients,212,151
surgical infection prevention,473 patients,213,152
surgical infection prevention,442 patients,214,153
surgical infection prevention,127 patients,215,154
surgical infection prevention,601 patients,216,155
surgical infection prevention,229 patients,217,156
surgical infection prevention,224 patients,218,157
heart attack,46 patients,219,158
heart attack,39 patients,220,159
heart attack,11 patients,221,160
heart attack,14 patients,222,4
heart attack,41 patients,223,161
heart attack,1 patiexts,224,162
hexrt attxck,5 patients,225,163
heart failure,76 patients,226,77
heart failure,94 patients,227,164
heart failure,36 patients,228,165
heart faxlure,15 patients,229,166
pneumonia,69 patients,230,146
pneumonia,91 patients,231,167
pneumonia,37 patients,232,168
pneumonia,88 patients,233,169
pneumonia,82 patientx,234,170
pneumonia,56 patients,235,171
suxgical infection pxevention,16 patients,236,172
surgical infection prevention,139 patients,237,173
surgical infection prevention,147 patients,238,174
surgxcal infectxon preventxon,136 patients,239,175
surgical infection prevention,0 patients,240,50
surgical infection prevention,179 patients,241,176
surgical infection prevention,90 patients,242,177
surgical infection prevention,90 patients,243,177
heart attack,0 patients,244,5
heart attack,0 patients,245,5
heart attack,0 patients,246,5
heart attack,0 patients,247,5
heart attack,0 patients,248,5
heart attack,0 patients,249,5
heart attack,0 patients,250,5
heart failure,79 patients,251,178
heart failure,91 patients,252,179
heart failure,25 patients,253,180
heart failure,17 patients,254,181
pneumonia,25 patients,255,111
xneumonia,24 patients,256,182
pneumonia,6 patients,257,183
pneumonia,24 patients,258,184
pneumonia,26 patients,259,185
pneumonia,24 patients,260,184
surgical infection prevention,empty,261,0
surgical infection prevention,14 patients,262,46
surgical infection prevention,14 patients,263,46
surgical infection prevention,14 patients,264,46
surgical infection prevention,0 patients,265,50
surgical infection prevention,15 patients,266,186
