Condition,Stateavg,original_index,unique_index
surgical infection prevention,al_scip-card-2,0,0
surgical infection prevention,al_scip-inf-1,1,1
surgical infection prevention,al_scip-inf-2,2,2
surgical infection prevention,al_scip-inf-3,3,3
surgical infection prevention,al_scip-inf-4,4,4
surgical infection prevention,al_scip-inf-6,5,5
surgical infection prevention,al_scip-vte-1,6,6
surgical infection prevention,al_scip-vte-2,7,7
heart attack,al_ami-1,8,8
heart attack,al_ami-2,9,9
heart attack,al_ami-3,10,10
heart attack,al_ami-4,11,11
heart attack,al_ami-5,12,12
heart attack,al_ami-7a,13,13
heart attack,al_ami-8a,14,14
heart failure,al_hf-1,15,15
heart failure,al_hf-2,16,16
heart failure,al_hf-3,17,17
heart failure,al_hf-4,18,18
heart attack,al_ami-1,19,8
heart attack,al_ami-2,20,9
heart attaxk,al_ami-3,21,19
hearx axxack,al_ami-4,22,20
heart attack,al_ami-5,23,12
heart attack,al_ami-7a,24,13
heart attack,al_ami-8a,25,14
heart failure,al_hf-1,26,15
heart failure,al_hf-2,27,16
heart failure,al_hf-3,28,17
heart failure,al_hf-4,29,18
pneumonia,al_pn-2,30,21
pneumonia,al_pn-3b,31,22
pneumonia,al_pn-4,32,23
pneumonia,al_pn-5c,33,24
pneumonia,al_pn-6,34,25
pneumonia,al_pn-7,35,26
surgical infection prevention,al_scip-card-2,36,0
surgical infection prevention,al_scip-inf-1,37,1
surgical infection prevention,al_scip-inf-2,38,2
surgical infection prevention,al_scip-inf-3,39,3
surgical infection prevention,al_scip-inf-4,40,4
surgical infection prevention,al_scip-inf-6,41,5
surgical infection prevention,al_scip-vte-1,42,6
surgical infection prevention,al_scip-vte-2,43,7
heart attack,al_ami-1,44,8
heart attack,al_ami-2,45,9
heart attack,al_ami-3,46,10
heart attack,al_ami-4,47,11
heart attack,al_ami-5,48,12
heart attack,al_ami-7a,49,13
heart attack,al_ami-8a,50,14
heart failure,al_hf-1,51,15
heart failure,al_hf-2,52,16
heart failure,al_hf-3,53,17
heart failure,al_hf-4,54,18
pneumonia,al_pn-2,55,21
pneumonia,al_pn-xb,56,27
pneumonia,al_pn-4,57,23
pneumonia,al_pn-5c,58,24
pneumonia,al_pn-6,59,25
pneumonia,al_pn-7,60,26
surgical infection prevention,al_scip-card-2,61,0
surgical infection prevention,al_scip-inf-1,62,1
surgical infection prevention,al_scip-inf-2,63,2
surgical infection prevention,al_scip-inf-3,64,3
surgical infection prevention,al_scip-inf-4,65,4
surgical infection prevention,al_scip-inf-6,66,5
surgical infection prevention,al_scip-vte-1,67,6
surgical infection prevention,al_scip-vte-2,68,7
heart attack,al_amx-1,69,28
heart attack,al_ami-2,70,9
heart attack,al_ami-3,71,10
heart attack,al_ami-4,72,11
hearx axxack,al_ami-5,73,29
heart attack,al_ami-7a,74,13
heart attack,al_ami-8a,75,14
heart failure,al_hf-1,76,15
heart failure,al_hf-2,77,16
heart failure,al_hf-3,78,17
heart failure,al_hf-4,79,18
pneumonia,al_pn-2,80,21
pneumonia,al_pn-3b,81,22
pneumonia,al_pn-4,82,23
pneumonia,al_pn-5c,83,24
pneumonia,al_pn-6,84,25
pneumonia,al_pn-7,85,26
surgical infection prevention,al_scip-card-2,86,0
surgical infection prevention,al_scip-inf-1,87,1
surgical infection prevention,al_scip-inf-2,88,2
surgical infection prevention,al_scip-inf-3,89,3
surgical infection prevention,al_scip-inf-4,90,4
surgical infection prevention,al_scip-inf-6,91,5
surgical infection prevention,al_scip-vte-1,92,6
surgical infection prevention,al_scip-vte-2,93,7
heart attack,al_ami-1,94,8
heart attack,al_ami-2,95,9
heart attack,al_ami-3,96,10
heart attack,al_ami-4,97,11
heart attack,al_ami-5,98,12
heart attack,al_ami-7a,99,13
heart attack,al_ami-8a,100,14
heart failure,al_hf-1,101,15
heart failure,al_hf-2,102,16
heart failure,al_hf-3,103,17
heart failure,al_hf-4,104,18
pneumonia,al_pn-2,105,21
pneumonia,al_pn-3b,106,22
pneumonia,al_pn-4,107,23
pneumonia,al_pn-5c,108,24
pneumonia,al_pn-6,109,25
pneumonia,al_pn-7,110,26
surgical infection prevention,al_scip-card-2,111,0
surgical infection prevention,al_scip-inf-1,112,1
surgical infection prevention,al_scip-inf-2,113,2
surgical infection prevention,al_scip-inf-3,114,3
surgical infection prevention,al_scip-inf-4,115,4
surgical infection prevention,al_scip-inf-6,116,5
surgical infection prevention,al_scip-vte-1,117,6
surgical infection prevention,al_scip-vte-2,118,7
heart attack,al_ami-1,119,8
heart attack,al_ami-2,120,9
heart attack,al_ami-3,121,10
heart attack,al_ami-4,122,11
heart attack,al_ami-5,123,12
heart attack,al_ami-7a,124,13
heart attack,al_ami-8a,125,14
heart failure,al_hf-1,126,15
heaxt failuxe,al_hf-2,127,30
heart failure,al_hf-3,128,17
heart failure,al_hf-4,129,18
pneumonia,al_pn-2,130,21
pneumonia,al_pn-3b,131,22
pneumonia,al_pn-4,132,23
pneumonia,al_pn-5c,133,24
pneumonia,al_pn-6,134,25
pneumonia,al_pn-7,135,26
surgical infection prevention,al_scip-card-2,136,0
surgical infection prevention,al_scip-inf-1,137,1
surgical infection prevention,al_scip-inf-2,138,2
surgical infection prevention,al_scip-inf-3,139,3
surgical infection prevention,al_scip-inf-4,140,4
surgical infection prevention,al_scip-inf-6,141,5
surgical infection prevention,al_scip-vte-1,142,6
surgical infection prevention,al_scip-vte-2,143,7
heart attack,al_ami-1,144,8
heart attack,al_ami-2,145,9
heart attack,al_ami-3,146,10
heart attack,al_ami-4,147,11
heart attack,al_ami-5,148,12
heart attack,al_ami-7a,149,13
heart attack,al_ami-8a,150,14
heart failure,al_hf-1,151,15
heart failure,al_hf-2,152,16
heart failure,al_hf-3,153,17
heart failure,al_hf-4,154,18
pneumonia,al_pn-2,155,21
pneumonia,al_pn-3b,156,22
pneumonia,al_pn-4,157,23
pneumonia,al_pn-5c,158,24
pneumonia,al_pn-6,159,25
pneumonia,al_pn-7,160,26
surgical infection prevention,al_scip-card-2,161,0
surgical infection prevention,al_scip-inf-1,162,1
surgical infection prevention,al_scip-inf-2,163,2
surgical infection prevention,al_scip-inf-3,164,3
surgical infection prevention,al_scip-inf-4,165,4
surgical infection prevention,al_scip-inf-6,166,5
surgical infection prevention,al_scip-vte-1,167,6
surgical infection prevention,al_scip-vte-2,168,7
heart attack,al_ami-1,169,8
heart attack,al_ami-2,170,9
heart attack,al_ami-3,171,10
heart attack,al_ami-4,172,11
heart attack,al_ami-5,173,12
heart attack,al_ami-7a,174,13
heart attack,al_ami-8a,175,14
heart failure,al_hf-1,176,15
heart failure,al_hf-2,177,16
heart failure,al_hf-3,178,17
heart failure,al_hf-4,179,18
pneumonia,al_pn-2,180,21
