HospitalName,Address1,original_index,unique_index
callahan eye foundation hospital,1720 university blvd,0,0
callahan eye foundation hospital,1720 university blvd,1,0
callahan eye foundation hospital,1720 university blvd,2,0
callahan eye foundation hospital,1720 university blvd,3,0
callahan eye foundation hospital,1720 university blvd,4,0
callahan eye foundation hospital,1720 university blvd,5,0
callahan eye foundation hospital,1720 university blvd,6,0
callahan eye foundation hospital,1720 university blvd,7,0
helen keller memorial hospital,1300 south montgomery avenue,8,1
helen keller memorial hospital,1300 south montgomery avenue,9,1
helen keller memorial hospital,1300 south montgomery avenue,10,1
helen keller memorial hospital,1300 south montgomery avenue,11,1
helen keller memorial hospital,1300 south montgomery avenue,12,1
helen keller memorial hospital,1300 south montgomery avenue,13,1
helen keller memorial hospital,1300 south montgomery avenue,14,1
helen keller memorial hospital,1300 south montgomery avenue,15,1
helen keller memorial hospital,1300 south montgomery avenue,16,1
helen keller memorial hospital,1300 south montgomery avenue,17,1
helen keller memorial hospital,1300 south montgomery avenue,18,1
southeast alabama medical center,1108 ross clark circle,19,2
southeast alabama medical center,1108 ross clark circle,20,2
southeast alabama medical center,1108 ross clark circle,21,2
southeast alabama medical center,1108 ross clark circle,22,2
southeast alabama medical center,1108 ross clark circle,23,2
southeast alabama medical center,1108 ross clark circle,24,2
southeast alabama medical center,1108 ross clark circle,25,2
southeast alabama medxcal center,1108 ross clark circle,26,3
southeast alabama medical center,1108 ross clark circle,27,2
southeast alabama medical center,1108 ross clark circle,28,2
southeast alabama medical center,1108 ross clark circle,29,2
southeast alabama medical center,1108 ross clark circle,30,2
southeast alabama medical center,1108 ross clark circle,31,2
southeast alabama medical center,1108 ross clark circle,32,2
southeast alabama medical center,1108 ross clark circle,33,2
southeast alabama medical center,1108 ross clark circle,34,2
southeast alabama medical center,1108 ross clark circle,35,2
southeast alabama medical center,1108 ross clark circle,36,2
southeast alabama medical center,1108 ross clark circle,37,2
southeast alabama medical center,1108 ross clark circle,38,2
southeast alabama medical center,1108 ross clark circle,39,2
southeast alabama medical center,1108 ross clark circle,40,2
southeast alabama medical center,1108 ross clark circle,41,2
southeast alabama medical center,1108 ross clark circle,42,2
southeast alabama medical center,1108 ross clark circle,43,2
marshall medical center south,2505 u s highway 431 north,44,4
marshall medical center south,2505 u s highway 431 north,45,4
marshall medical center south,2505 u s highway 431 north,46,4
marshall medical center south,2505 u s highway 431 north,47,4
marshall medical center south,2505 u s highway 431 north,48,4
marshall medical center south,2505 u s highway 431 north,49,4
marshall medical center south,2505 u s highway 431 north,50,4
marshall medical center south,2505 u s highway 431 north,51,4
marshall medical center south,2505 u s highway 431 north,52,4
marshall medical center south,2505 u s highway 431 north,53,4
marshall medical center south,2505 u s highway 431 north,54,4
marshall medical center south,2505 u s highway 431 north,55,4
marshall medical center south,2505 u s highway 431 north,56,4
