HospitalType,HospitalOwner,original_index,unique_index
acute care hospitals,voluntary non-profit - private,0,0
acute care hospitals,voluntary non-profit - private,1,0
acute care hospitals,voluntary non-profit - private,2,0
acute care hospitals,voluntary non-profit - private,3,0
acute care hospitals,voluntary non-profit - private,4,0
acute care hospitals,voluntary non-profit - private,5,0
acute care hospitals,voluntary non-profit - private,6,0
acute care hospitals,voluntary non-profit - private,7,0
acute care hospitals,government - hospital district or authority,8,1
acute care hospitals,government - hospital district or authority,9,1
acute care hospitals,government - hospital district or authority,10,1
acute care hospitals,government - hospital district or authority,11,1
acute care hospitals,government - hospital district or authority,12,1
acute care hospitals,government - hospital district or authority,13,1
acute care hospitals,government - hospital district or authority,14,1
acute care hospitals,government - hospital district or authority,15,1
acuxe care hospixals,government - hospital district or authority,16,2
acute care hospitals,government - hospital district or authority,17,1
acute care hospitals,government - hospital district or authority,18,1
acute care hospitals,government - hospital district or authority,19,1
acute care hospitals,government - hospital district or authority,20,1
acute care hospitals,government - hospital district or authority,21,1
acute care hospitals,government - hospxtal dxstrxct or authorxty,22,3
acute care hospitals,government - hospital district or authority,23,1
acute care hospitals,government - hospital district or authority,24,1
acute care hospitals,government - hospital district or authority,25,1
acute care hospitals,government - hospital district or authority,26,1
acute care hospitals,government - hospital xistrict or authority,27,4
acute care hospitals,government - hospital district or authority,28,1
acute care hospitals,government - hospital district or authority,29,1
acute care hospitals,government - hospital district or authority,30,1
acute care hospitals,governmenx - hospixal disxricx or auxhorixy,31,5
acute care hospitals,government - hospital district or authority,32,1
acute care hospitals,government - hospital district or authority,33,1
acute care hospitals,government - hospital district or authority,34,1
acute care hospitals,government - hospital district or authority,35,1
acute care hospitals,government - hospital district or authority,36,1
acute care hospitals,government - hospital district or authority,37,1
acute care hospitals,government - hospital district or authority,38,1
acxte care hospitals,government - hospital district or authority,39,6
acute care hospitals,government - hospital district or authority,40,1
acute care hospitals,government - hospital district or authority,41,1
acute care hospitals,gxvernment - hxspital district xr authxrity,42,7
acute care hospitals,government - hospital district or authority,43,1
acute care hospitals,government - hospital district or authority,44,1
acute care hospitals,government - hospital district or authority,45,1
acute care hospitals,government - hospital district or authority,46,1
acute care hospitals,government - hospital district or authority,47,1
acute care hospitals,government - hospital district or authority,48,1
acute care hospitals,government - hospital district or authority,49,1
acute care hospitals,government - hospital district or authority,50,1
acute care hospitals,government - hospital district or authority,51,1
acute care hospitals,government - hospital district or authority,52,1
acute care hospitals,government - hospital district or authority,53,1
acute care hospitals,government - hospital district or authority,54,1
acute care hospitals,government - hospital district or authority,55,1
acute care hospitals,government - hospital district or authority,56,1
acute care hospitals,government - hospital district or authority,57,1
acute care hospitals,government - hospital district or authority,58,1
acute care hospitals,government - hospital district or authority,59,1
acute care hospitals,government - hospital district or authority,60,1
acute care hospitals,government - hospital district or authority,61,1
acute care hospitals,government - hospital district or authority,62,1
acute care hospitals,government - hospital district or authority,63,1
acute care hospitals,government - hospital district or authority,64,1
acute care hospitals,government - hospital district or authority,65,1
acute care hospitals,government - hospital district or authority,66,1
acute care hospitals,government - hospital district or authority,67,1
acute care hospitals,government - hospital district or authority,68,1
acute care hospitals,voluntary non-profit - other,69,8
acute care hospitals,voluntary non-profit - other,70,8
acute care hospitals,voluntary non-profit - other,71,8
acute care hospitals,voluntary non-profit - other,72,8
acute care hospitals,voluntary non-profit - other,73,8
acute care hospitals,voluntary non-profit - other,74,8
acute care hospitals,voluntary non-profit - other,75,8
acute care hospitals,voluntary non-profit - other,76,8
acute care hospitals,voluntary non-profit - other,77,8
acute care hospitals,voluntary non-profit - other,78,8
acute care hospitals,voluntary non-profit - other,79,8
acute care hospitals,voluntary non-profit - other,80,8
acute care hospitals,voluntary non-profit - other,81,8
acute care hospitals,voluntary non-profit - other,82,8
acute care hospitals,voluntary non-profit - other,83,8
acute care hospitals,voluntary non-profit - other,84,8
