HospitalType,MeasureCode,original_index,unique_index
acute care hospitals,scip-card-2,0,0
acute care hospitals,scip-inf-1,1,1
acute care hospitals,scip-inf-2,2,2
acute care hospitals,scip-inf-3,3,3
acute care hospitals,scip-inf-4,4,4
acute care hospitals,scip-inf-6,5,5
acute care hospitals,scip-vte-1,6,6
acute care hospitals,scip-vte-2,7,7
acute care hospitals,ami-1,8,8
acute care hospitals,ami-2,9,9
acute care hospitals,ami-3,10,10
acute care hospitals,ami-4,11,11
acute care hospitals,ami-5,12,12
acute care hospitals,ami-7a,13,13
acute care hospitals,ami-8a,14,14
acute care hospitals,hf-1,15,15
acuxe care hospixals,hf-2,16,16
acute care hospitals,hf-3,17,17
acute care hospitals,hf-4,18,18
acute care hospitals,ami-1,19,8
acute care hospitals,ami-2,20,9
acute care hospitals,ami-3,21,10
acute care hospitals,ami-4,22,11
acute care hospitals,ami-5,23,12
acute care hospitals,ami-7a,24,13
acute care hospitals,ami-8a,25,14
acute care hospitals,hf-1,26,15
acute care hospitals,hf-2,27,19
acute care hospitals,hf-3,28,17
acute care hospitals,hf-4,29,18
acute care hospitals,pn-2,30,20
acute care hospitals,pn-3b,31,21
acute care hospitals,pn-4,32,22
acute care hospitals,pn-5c,33,23
acute care hospitals,pn-6,34,24
acute care hospitals,pn-7,35,25
acute care hospitals,scip-card-2,36,0
acute care hospitals,scip-inf-1,37,1
acute care hospitals,scip-inf-2,38,2
acxte care hospitals,scip-inf-3,39,26
acute care hospitals,scip-inf-4,40,4
acute care hospitals,scip-inf-6,41,5
acute care hospitals,scip-vte-1,42,6
acute care hospitals,scip-vte-2,43,7
acute care hospitals,ami-1,44,8
acute care hospitals,ami-2,45,9
acute care hospitals,ami-3,46,10
acute care hospitals,ami-4,47,11
acute care hospitals,ami-5,48,12
acute care hospitals,ami-7a,49,13
acute care hospitals,ami-8a,50,14
acute care hospitals,hf-1,51,15
acute care hospitals,hf-2,52,19
acute care hospitals,hf-3,53,17
acute care hospitals,hf-4,54,18
acute care hospitals,pn-2,55,20
acute care hospitals,pn-3b,56,21
acute care hospitals,pn-4,57,22
acute care hospitals,pn-5c,58,23
acute care hospitals,pn-6,59,24
acute care hospitals,pn-7,60,25
acute care hospitals,scip-card-2,61,0
acute care hospitals,scip-inf-1,62,1
acute care hospitals,scip-inf-2,63,2
acute care hospitals,scip-inf-3,64,3
acute care hospitals,scip-inf-4,65,4
acute care hospitals,scip-inf-6,66,5
acute care hospitals,scip-vte-1,67,6
acute care hospitals,scip-vte-2,68,7
acute care hospitals,ami-1,69,8
acute care hospitals,ami-2,70,9
acute care hospitals,ami-3,71,10
acute care hospitals,ami-4,72,11
acute care hospitals,ami-5,73,12
acute care hospitals,ami-7a,74,13
acute care hospitals,ami-8a,75,14
acute care hospitals,hf-1,76,15
acute care hospitals,hf-2,77,19
acute care hospitals,hf-3,78,17
acute care hospitals,hf-4,79,18
acute care hospitals,pn-2,80,20
acute care hospitals,pn-3b,81,21
acute care hospitals,pn-4,82,22
acute care hospitals,pn-5c,83,23
