ProviderNumber,City,original_index,unique_index
10018,birmingham,0,0
10018,birmingham,1,0
10018,birmingham,2,0
10018,birminghxm,3,1
10018,birmingham,4,0
10018,birmingham,5,0
10018,birmingham,6,0
10018,birmingxam,7,2
10019,sheffield,8,3
10019,sheffield,9,3
10019,sheffxeld,10,4
10019,sheffield,11,3
10019,sheffield,12,3
1xx19,sheffield,13,5
10019,sheffield,14,3
10019,sheffield,15,3
10019,sheffield,16,3
10019,sheffield,17,3
10019,sheffield,18,3
10001,dothan,19,6
10001,dothan,20,6
10001,dothan,21,6
10001,dothan,22,6
10001,dothan,23,6
10001,dothan,24,6
10001,dothan,25,6
10001,dothan,26,6
10001,dothan,27,6
10001,dothan,28,6
10001,dothan,29,6
10001,dothan,30,6
10001,dothan,31,6
10001,dothan,32,6
10001,dothan,33,6
10001,dothan,34,6
10001,dothan,35,6
10001,dothan,36,6
10001,dothan,37,6
10001,dothan,38,6
10001,dothan,39,6
10001,dothan,40,6
10001,dothan,41,6
10001,dothan,42,6
10001,dothan,43,6
10005,boaz,44,7
x0005,boaz,45,8
10005,boaz,46,7
10005,boaz,47,7
10005,boaz,48,7
10005,boaz,49,7
10005,boaz,50,7
10005,boaz,51,7
10005,boaz,52,7
10005,boaz,53,7
10005,boaz,54,7
10005,boaz,55,7
10005,boxz,56,9
10005,boaz,57,7
10005,boaz,58,7
10005,boaz,59,7
10005,boaz,60,7
10005,boaz,61,7
10005,boaz,62,7
10005,boaz,63,7
10005,boaz,64,7
10005,boaz,65,7
10005,boaz,66,7
10005,boaz,67,7
10005,boaz,68,7
10006,florence,69,10
10006,florence,70,10
10006,florence,71,10
10006,florence,72,10
10006,florence,73,10
10006,florence,74,10
10006,florence,75,10
10006,florence,76,10
10006,florence,77,10
10006,florence,78,10
10006,fxorence,79,11
10006,florence,80,10
1000x,florence,81,12
10006,florence,82,10
10006,florence,83,10
10006,florence,84,10
10006,florence,85,10
10006,florence,86,10
10006,florence,87,10
10006,florxncx,88,13
10006,florence,89,10
10006,florence,90,10
10006,florence,91,10
10006,florence,92,10
10006,flxrence,93,14
10007,opp,94,15
10007,opp,95,15
10007,opp,96,15
10007,opp,97,15
10007,opp,98,15
10007,opp,99,15
10007,opp,100,15
10007,opp,101,15
10007,opp,102,15
10007,opp,103,15
10007,opp,104,15
10007,opp,105,15
10007,opp,106,15
10007,opp,107,15
10007,opp,108,15
10007,opp,109,15
10007,opp,110,15
10007,opp,111,15
10007,opp,112,15
10007,opp,113,15
10007,opp,114,15
10007,opp,115,15
10007,opp,116,15
10007,opp,117,15
10007,opp,118,15
10008,luverne,119,16
10008,luverne,120,16
10008,luverne,121,16
10008,luverne,122,16
10008,luverne,123,16
10008,luverne,124,16
10008,luverne,125,16
10008,luverne,126,16
10008,luverne,127,16
10008,luverne,128,16
10008,luverne,129,16
10008,luverne,130,16
10008,luverne,131,16
10008,luverne,132,16
10008,luverne,133,16
10008,luverne,134,16
10008,luverne,135,16
10008,luverne,136,16
10008,luverne,137,16
10008,luverne,138,16
10008,luverne,139,16
10008,luverne,140,16
10008,luverne,141,16
10008,luverne,142,16
10008,luverne,143,16
10009,hartselle,144,17
10009,hartselle,145,17
10009,hartselle,146,17
10009,hartselle,147,17
10009,hartselle,148,17
10009,hartselle,149,17
10009,hartselle,150,17
10009,hartselle,151,17
10009,hartselle,152,17
10009,hartselle,153,17
10009,hartselle,154,17
10009,hartselle,155,17
10009,hartselle,156,17
10009,hartselle,157,17
10009,hartselle,158,17
10009,hartselle,159,17
10009,hartselle,160,17
10009,hartselle,161,17
10009,hartselle,162,17
10009,hartselle,163,17
10009,hartselle,164,17
10009,hartselle,165,17
10009,hartselle,166,17
10009,hartselle,167,17
10009,hartselle,168,17
10010,guntersville,169,18
10010,guntersville,170,18
10010,guntersville,171,18
10010,guntersville,172,18
10010,guntersville,173,18
10010,guntersville,174,18
10010,guntersville,175,18
10010,guntersville,176,18
10010,guntersville,177,18
10010,guntersville,178,18
10010,guntersville,179,18
10010,guntxrsvillx,180,19
10010,guntersville,181,18
10010,guntersville,182,18
10010,guntersville,183,18
10010,guntersville,184,18
10010,guntersville,185,18
10010,guntersville,186,18
10010,guntersville,187,18
10010,guntersville,188,18
10010,guntersville,189,18
10010,guntersville,190,18
10010,guntersville,191,18
10010,guntersville,192,18
10010,guntersville,193,18
10011,birmingham,194,20
10011,birmingham,195,20
10011,birmingham,196,20
10011,birmingham,197,20
10011,birmingham,198,20
10011,birmingham,199,20
10011,birmingham,200,20
10011,birmingham,201,20
10011,birmingham,202,20
10011,birmingham,203,20
10011,birmingham,204,20
10011,birmingham,205,20
10011,birmingham,206,20
10011,birmixgham,207,21
10011,birmingham,208,20
10011,birmingham,209,20
10011,birmingham,210,20
10011,birmingham,211,20
10011,bxrmxngham,212,22
x00xx,birmingham,213,23
10011,birmingham,214,20
10011,birmingham,215,20
10011,birmingham,216,20
10011,birmingham,217,20
10011,birmingham,218,20
10012,fort payne,219,24
10012,fort payne,220,24
10012,fort payne,221,24
10012,fort payne,222,24
10012,fort payne,223,24
10012,fort payne,224,24
10012,fort payne,225,24
10012,fort payne,226,24
10012,fort payne,227,24
10012,fort payxe,228,25
10012,fort payne,229,24
10012,fort payne,230,24
10012,fort payne,231,24
10012,fort payne,232,24
10012,fort payne,233,24
10012,fort payne,234,24
10012,fort payne,235,24
10012,fort payne,236,24
10012,fort payne,237,24
10012,fort payne,238,24
10012,fort payne,239,24
10012,fort payne,240,24
10012,fort payne,241,24
10012,fort payne,242,24
10012,fort payne,243,24
x00x5,thomasville,244,26
10015,thomasville,245,27
10015,thomasville,246,27
10015,thomasville,247,27
10015,thomasville,248,27
10015,thomasville,249,27
10015,thomasville,250,27
10015,thomasville,251,27
10015,thomasville,252,27
1xx15,thomasville,253,28
10015,thomasville,254,27
10015,thomasville,255,27
10015,thomasville,256,27
10015,thomasville,257,27
10015,thomasville,258,27
10015,thomasville,259,27
10015,thomasville,260,27
10015,thomasville,261,27
10015,thomasville,262,27
10015,thomasville,263,27
10015,thomasville,264,27
10015,thomasville,265,27
10015,thomasville,266,27
10015,thomasville,267,27
10015,thomasville,268,27
10016,alabaster,269,29
10016,alabaster,270,29
10016,alabaster,271,29
10016,alabaster,272,29
1xx16,alabaster,273,30
10016,alabaster,274,29
10016,alabaster,275,29
10016,alabaster,276,29
10016,alabaster,277,29
10016,alabaster,278,29
10016,alabaster,279,29
10016,alabaster,280,29
10016,alabaster,281,29
10016,alabaster,282,29
10016,alabaster,283,29
10016,alabaster,284,29
10016,alabaster,285,29
10016,alabaster,286,29
10016,alabaster,287,29
10016,alabaster,288,29
10016,alabaster,289,29
10016,alabaster,290,29
10016,alabaster,291,29
10016,alabaster,292,29
10016,alabaster,293,29
10018,birmingham,294,0
10018,birmingham,295,0
10018,birmingham,296,0
10018,birmingham,297,0
10018,birmingham,298,0
10018,birmingham,299,0
10018,birmingham,300,0
10018,birmingham,301,0
10018,birmingham,302,0
10018,birmingham,303,0
10018,birmingham,304,0
10018,birmingham,305,0
10018,birmingham,306,0
10018,birmingham,307,0
10018,birmingham,308,0
10018,birmingham,309,0
10018,birmingham,310,0
10038,axxistox,311,31
10038,anniston,312,32
10038,anniston,313,32
100x8,anniston,314,33
10038,anniston,315,32
10038,anniston,316,32
10038,anniston,317,32
10038,anniston,318,32
10038,anniston,319,32
10038,anniston,320,32
10038,anniston,321,32
10038,anniston,322,32
10038,anniston,323,32
10038,anniston,324,32
10038,anniston,325,32
10038,anniston,326,32
10038,anniston,327,32
10038,anniston,328,32
10038,anniston,329,32
10038,anniston,330,32
10055,dothan,331,34
10055,dothan,332,34
10055,dothan,333,34
10055,dothan,334,34
10055,dothan,335,34
10055,dothan,336,34
10055,dothan,337,34
10055,dothan,338,34
10055,dothan,339,34
10055,dothan,340,34
10055,dothan,341,34
10055,dothan,342,34
10055,dothan,343,34
10055,dothan,344,34
10055,dothan,345,34
10055,dothan,346,34
10055,dothan,347,34
10056,birmingham,348,35
10056,birmingham,349,35
10056,birmingham,350,35
10056,birmingham,351,35
10056,birmingham,352,35
10085,decatur,353,36
10086,winfield,354,37
10086,winfield,355,37
10086,winfield,356,37
10086,winfield,357,37
10086,winfield,358,37
10086,winfield,359,37
100x6,winfield,360,38
10086,winfield,361,37
10086,winfield,362,37
10086,winfield,363,37
10086,winfield,364,37
10086,winfield,365,37
10086,winfield,366,37
10086,winfielx,367,39
10086,winfield,368,37
10086,winfield,369,37
10086,winfield,370,37
10086,winfield,371,37
10086,winfield,372,37
10086,winfield,373,37
10086,winfield,374,37
10086,winfield,375,37
10086,winfield,376,37
10086,winfield,377,37
10086,winfield,378,37
10087,mobile,379,40
10087,mobile,380,40
10087,mobile,381,40
10087,mobile,382,40
10087,mobile,383,40
10087,mobile,384,40
10087,mobile,385,40
10087,mobile,386,40
10087,mobile,387,40
10087,mobile,388,40
10087,mobile,389,40
10087,mobile,390,40
10087,mobile,391,40
10108,prattville,392,41
10108,prattville,393,41
10108,prattville,394,41
10108,prattville,395,41
10108,prattville,396,41
10108,prattville,397,41
10108,prattville,398,41
10108,prattville,399,41
10108,prattville,400,41
10108,prattville,401,41
10108,prattville,402,41
10108,prattville,403,41
10108,prattville,404,41
10108,prattville,405,41
10108,prattville,406,41
10108,prattville,407,41
x0x08,prattville,408,42
10108,prattville,409,41
10108,prattville,410,41
10108,prattville,411,41
10158,russellville,412,43
10158,russellville,413,43
10164,sylacauga,414,44
10164,sylacauga,415,44
10164,sylacauga,416,44
10164,sylacauga,417,44
10164,sylacauga,418,44
10164,sylacauga,419,44
10164,sylacauga,420,44
10164,sylacauga,421,44
10164,sylacauga,422,44
10164,sylacauga,423,44
10164,sylacauga,424,44
10164,sylacauga,425,44
10164,sylacauga,426,44
10164,sylacauga,427,44
10164,sylacauga,428,44
10164,sylacauga,429,44
10164,sylacauga,430,44
10164,sylacauga,431,44
20017,anchorage,432,45
20017,anchorage,433,45
20017,anchorage,434,45
20017,anchorage,435,45
20017,anchorage,436,45
20017,anchoraxe,437,46
20017,anchorage,438,45
20017,anchorage,439,45
20017,anchorage,440,45
20017,anchorage,441,45
20017,anchorage,442,45
20017,anchorage,443,45
20017,anchorage,444,45
20017,anchorage,445,45
20017,anchorage,446,45
20017,anchorage,447,45
20017,anchorage,448,45
20017,anchorage,449,45
20018,bethel,450,47
20018,bethel,451,47
10019,sheffield,452,3
10019,sheffield,453,3
10019,sheffield,454,3
10019,sheffield,455,3
10019,sheffield,456,3
10019,sheffield,457,3
10019,sheffield,458,3
10019,sheffield,459,3
10019,sheffield,460,3
10019,sheffield,461,3
10019,sheffield,462,3
10019,sheffield,463,3
10019,sheffield,464,3
10019,sheffield,465,3
10021,ozark,466,48
10021,ozark,467,48
10021,ozark,468,48
10021,ozark,469,48
10021,ozark,470,48
10021,ozark,471,48
10021,ozark,472,48
10021,ozark,473,48
10021,ozarx,474,49
10021,ozark,475,48
10021,ozark,476,48
10021,ozark,477,48
