ProviderNumber,Condition,original_index,unique_index
10018,surgical infection prevention,0,0
10018,surgical infection prevention,1,0
10018,surgical infection prevention,2,0
10018,surgical infection prevention,3,0
10018,surgical infection prevention,4,0
10018,surgical infection prevention,5,0
10018,surgical infection prevention,6,0
10018,surgical infection prevention,7,0
10019,heart attack,8,1
10019,heart attack,9,1
10019,heart attack,10,1
10019,heart attack,11,1
10019,heart attack,12,1
1xx19,heart attack,13,2
10019,heart attack,14,1
10019,heart failure,15,3
10019,heart failure,16,3
10019,heart failure,17,3
10019,heart failure,18,3
10001,heart attack,19,4
10001,heart attack,20,4
10001,heart attaxk,21,5
10001,hearx axxack,22,6
10001,heart attack,23,4
10001,heart attack,24,4
10001,heart attack,25,4
10001,heart failure,26,7
10001,heart failure,27,7
10001,heart failure,28,7
10001,heart failure,29,7
10001,pneumonia,30,8
10001,pneumonia,31,8
10001,pneumonia,32,8
10001,pneumonia,33,8
10001,pneumonia,34,8
10001,pneumonia,35,8
10001,surgical infection prevention,36,9
10001,surgical infection prevention,37,9
10001,surgical infection prevention,38,9
10001,surgical infection prevention,39,9
10001,surgical infection prevention,40,9
10001,surgical infection prevention,41,9
10001,surgical infection prevention,42,9
10001,surgical infection prevention,43,9
10005,heart attack,44,10
x0005,heart attack,45,11
10005,heart attack,46,10
10005,heart attack,47,10
10005,heart attack,48,10
10005,heart attack,49,10
10005,heart attack,50,10
10005,heart failure,51,12
10005,heart failure,52,12
10005,heart failure,53,12
10005,heart failure,54,12
10005,pneumonia,55,13
10005,pneumonia,56,13
10005,pneumonia,57,13
10005,pneumonia,58,13
10005,pneumonia,59,13
10005,pneumonia,60,13
10005,surgical infection prevention,61,14
10005,surgical infection prevention,62,14
10005,surgical infection prevention,63,14
10005,surgical infection prevention,64,14
10005,surgical infection prevention,65,14
10005,surgical infection prevention,66,14
10005,surgical infection prevention,67,14
10005,surgical infection prevention,68,14
10006,heart attack,69,15
10006,heart attack,70,15
10006,heart attack,71,15
10006,heart attack,72,15
10006,hearx axxack,73,16
10006,heart attack,74,15
10006,heart attack,75,15
10006,heart failure,76,17
10006,heart failure,77,17
10006,heart failure,78,17
10006,heart failure,79,17
10006,pneumonia,80,18
1000x,pneumonia,81,19
10006,pneumonia,82,18
10006,pneumonia,83,18
10006,pneumonia,84,18
10006,pneumonia,85,18
10006,surgical infection prevention,86,20
10006,surgical infection prevention,87,20
10006,surgical infection prevention,88,20
10006,surgical infection prevention,89,20
10006,surgical infection prevention,90,20
10006,surgical infection prevention,91,20
10006,surgical infection prevention,92,20
10006,surgical infection prevention,93,20
10007,heart attack,94,21
10007,heart attack,95,21
10007,heart attack,96,21
10007,heart attack,97,21
10007,heart attack,98,21
10007,heart attack,99,21
10007,heart attack,100,21
10007,heart failure,101,22
10007,heart failure,102,22
10007,heart failure,103,22
10007,heart failure,104,22
10007,pneumonia,105,23
10007,pneumonia,106,23
10007,pneumonia,107,23
10007,pneumonia,108,23
10007,pneumonia,109,23
10007,pneumonia,110,23
10007,surgical infection prevention,111,24
10007,surgical infection prevention,112,24
10007,surgical infection prevention,113,24
10007,surgical infection prevention,114,24
10007,surgical infection prevention,115,24
10007,surgical infection prevention,116,24
10007,surgical infection prevention,117,24
10007,surgical infection prevention,118,24
10008,heart attack,119,25
10008,heart attack,120,25
10008,heart attack,121,25
10008,heart attack,122,25
10008,heart attack,123,25
10008,heart attack,124,25
10008,heart attack,125,25
10008,heart failure,126,26
10008,heaxt failuxe,127,27
10008,heart failure,128,26
10008,heart failure,129,26
10008,pneumonia,130,28
10008,pneumonia,131,28
10008,pneumonia,132,28
10008,pneumonia,133,28
10008,pneumonia,134,28
10008,pneumonia,135,28
10008,surgical infection prevention,136,29
10008,surgical infection prevention,137,29
10008,surgical infection prevention,138,29
10008,surgical infection prevention,139,29
10008,surgical infection prevention,140,29
