ProviderNumber,HospitalName,original_index,unique_index
10018,callahan eye foundation hospital,0,0
10018,callahan eye foundation hospital,1,0
10018,callahan eye foundation hospital,2,0
10018,callahan eye foundation hospital,3,0
10018,callahan eye foundation hospital,4,0
10018,callahan eye foundation hospital,5,0
10018,callahan eye foundation hospital,6,0
10018,callahan eye foundation hospital,7,0
10019,helen keller memorial hospital,8,1
10019,helen keller memorial hospital,9,1
10019,helen keller memorial hospital,10,1
10019,helen keller memorial hospital,11,1
10019,helen keller memorial hospital,12,1
1xx19,helen keller memorial hospital,13,2
10019,helen keller memorial hospital,14,1
10019,helen keller memorial hospital,15,1
10019,helen keller memorial hospital,16,1
10019,helen keller memorial hospital,17,1
10019,helen keller memorial hospital,18,1
10001,southeast alabama medical center,19,3
10001,southeast alabama medical center,20,3
10001,southeast alabama medical center,21,3
10001,southeast alabama medical center,22,3
10001,southeast alabama medical center,23,3
10001,southeast alabama medical center,24,3
10001,southeast alabama medical center,25,3
10001,southeast alabama medxcal center,26,4
10001,southeast alabama medical center,27,3
10001,southeast alabama medical center,28,3
10001,southeast alabama medical center,29,3
10001,southeast alabama medical center,30,3
10001,southeast alabama medical center,31,3
10001,southeast alabama medical center,32,3
10001,southeast alabama medical center,33,3
10001,southeast alabama medical center,34,3
10001,southeast alabama medical center,35,3
10001,southeast alabama medical center,36,3
10001,southeast alabama medical center,37,3
10001,southeast alabama medical center,38,3
10001,southeast alabama medical center,39,3
10001,southeast alabama medical center,40,3
10001,southeast alabama medical center,41,3
10001,southeast alabama medical center,42,3
10001,southeast alabama medical center,43,3
10005,marshall medical center south,44,5
x0005,marshall medical center south,45,6
10005,marshall medical center south,46,5
10005,marshall medical center south,47,5
10005,marshall medical center south,48,5
10005,marshall medical center south,49,5
10005,marshall medical center south,50,5
10005,marshall medical center south,51,5
10005,marshall medical center south,52,5
10005,marshall medical center south,53,5
10005,marshall medical center south,54,5
10005,marshall medical center south,55,5
10005,marshall medical center south,56,5
10005,marshall medical center south,57,5
10005,marshall medical center south,58,5
10005,marshall medical center south,59,5
10005,marshall medical center south,60,5
10005,marshall medical center south,61,5
10005,marshall medical center south,62,5
10005,marshall medical center south,63,5
10005,marshall medical center south,64,5
10005,marshall medical center south,65,5
10005,marshall medical center south,66,5
10005,marshall medical center south,67,5
10005,marshall medical center south,68,5
10006,eliza coffee memorial hospital,69,7
10006,eliza coffee memorial hospital,70,7
10006,eliza coffee memorial hospital,71,7
10006,eliza coffee memorial hospital,72,7
10006,eliza coffee memorial hospital,73,7
10006,eliza coffee memorial hospital,74,7
10006,eliza coffee memorial hospital,75,7
10006,eliza coffee memorial hospital,76,7
10006,eliza coffee memorial hospital,77,7
10006,eliza coffee memorial hospital,78,7
10006,eliza coffee memorial hospital,79,7
10006,eliza coffee memorial hospital,80,7
1000x,eliza coffee memorial hospital,81,8
10006,eliza coffee memorial hospital,82,7
10006,eliza coffee memorial hospital,83,7
10006,eliza coffee memorial hospital,84,7
10006,eliza coffee memorial hospital,85,7
10006,eliza coffee memorial hospital,86,7
10006,eliza coffee memorial hospital,87,7
10006,eliza coffee memorial hospital,88,7
10006,eliza coffee memorial hospital,89,7
10006,eliza coffee memorial hospital,90,7
10006,eliza coffee memorial hospital,91,7
10006,eliza coffee memorial hospital,92,7
10006,eliza coffee memorial hospital,93,7
10007,mizell memorial hospital,94,9
10007,mizell memorial hospital,95,9
10007,mizell memorial hospital,96,9
10007,mizell memorial hospital,97,9
10007,mizell memorial hospital,98,9
10007,mizell memorial hospital,99,9
10007,mizell memorial hospital,100,9
10007,mizell memorial hospital,101,9
10007,mizell memorial hospital,102,9
10007,mizell memorial hospital,103,9
10007,mizell memorial hospital,104,9
10007,mizell memorial hospital,105,9
10007,mizell memorial hospital,106,9
10007,mizell memorial hospital,107,9
10007,mizell memorial hospital,108,9
10007,mizell memorial hospital,109,9
10007,mizell memorial hospital,110,9
10007,mizell memorial hospital,111,9
10007,mizell memorial hospital,112,9
10007,mizell memorial hospital,113,9
10007,mizell memorial hospital,114,9
10007,mizell memorial hospital,115,9
10007,mizell memorial hospital,116,9
10007,mizell memorial hospital,117,9
10007,mizell memorial hospital,118,9
10008,crenshaw community hospital,119,10
10008,crenshaw community hospital,120,10
10008,crenshaw community hospital,121,10
10008,crenshaw community hospital,122,10
10008,crenshaw community hospital,123,10
10008,crenshaw community hospital,124,10
10008,crenshaw community hospital,125,10
10008,crenshaw community hospital,126,10
10008,crenshaw community hospital,127,10
10008,crenshaw community hospital,128,10
10008,crenshaw community hospital,129,10
10008,crenshaw community hospital,130,10
10008,crenshaw cxmmunity hxspital,131,11
10008,crenshaw community hospital,132,10
10008,crenshaw community hospital,133,10
10008,crenshaw community hospital,134,10
10008,crenshaw community hospital,135,10
10008,crenshaw community hospital,136,10
10008,crenshaw community hospital,137,10
10008,crenshaw community hospital,138,10
10008,crenshaw community hospital,139,10
10008,crenshaw community hospital,140,10
10008,crenshaw community hospital,141,10
10008,crenshaw community hospital,142,10
10008,crenshaw community hospital,143,10
10009,hartselle medical center,144,12
10009,hartselle medical center,145,12
10009,hartselle medical center,146,12
10009,hartselle medical center,147,12
10009,hartselle medical center,148,12
10009,hartselle medical center,149,12
10009,hartselle medical center,150,12
10009,hartselle medical center,151,12
10009,hartselle medical center,152,12
10009,hartselle medical center,153,12
10009,hartselle medical center,154,12
10009,hartselle medical center,155,12
10009,hartselle medical center,156,12
10009,hartselle medical center,157,12
10009,hartselle medical center,158,12
10009,hartselle medical center,159,12
10009,hartselle medical center,160,12
10009,hartselle medical center,161,12
10009,hartselle medical center,162,12
10009,hartselle medical center,163,12
10009,hartselle medical center,164,12
10009,hartselle medical center,165,12
10009,hartselle medical center,166,12
10009,hartselle medical center,167,12
10009,hartselle medical center,168,12
10010,marshall medical center north,169,13
10010,marshall medical center north,170,13
10010,marshall medical cenxer norxh,171,14
10010,marshall medical center north,172,13
10010,marshall medical center north,173,13
10010,marshall medical center north,174,13
10010,marshall medical center north,175,13
10010,marshall medical center north,176,13
10010,marshall medical center north,177,13
10010,marshall medical center north,178,13
10010,marshall medical center north,179,13
10010,marshall medical center north,180,13
10010,marshall medical center north,181,13
10010,marshall medical center north,182,13
10010,marshall medical center north,183,13
10010,marshall medical center north,184,13
10010,marshall medical center north,185,13
