Score,Sample,original_index,unique_index
empty,empty,0,0
empty,empty,1,0
empty,empty,2,0
empty,empty,3,0
empty,empty,4,0
empty,empty,5,0
empty,empty,6,0
empty,empty,7,0
97%,33 patients,8,1
92%,13 patients,9,2
75%,4 patients,10,3
100%,4 patients,11,4
86%,14 patients,12,5
empty,0 patients,13,6
empty,0 patients,14,6
80%,114 patients,15,7
99%,149 patients,16,8
92%,3x patients,17,9
100%,41 patients,18,10
98%,270 patients,19,11
99%,516 patients,20,12
96%,71 patients,21,13
100%,244 patients,22,14
99%,441 patients,23,15
empty,0 patients,24,6
72%,40 patients,25,16
78%,455 patients,26,17
99%,514 patients,27,18
91%,165 patients,28,19
100%,110 patients,29,20
93%,191 patients,30,21
89%,125 patients,31,22
99%,107 patients,32,23
92%,196 patients,33,24
80%,147 patients,34,25
84%,160 patients,35,26
72%,79 patients,36,27
94%,399 patients,37,28
98%,405 patients,38,29
88%,385 patients,39,30
96%,136 patients,40,31
90%,537 patients,41,32
86%,185 patients,42,33
83%,184 patients,43,34
80%,20 patients,44,35
60%,5 patients,45,36
100%,2 patients,46,37
empty,0 patients,47,6
100%,5 patients,48,38
empty,0 patients,49,6
empty,0 patients,50,6
78%,110 patients,51,39
99%,160 patients,52,40
90%,69 patients,53,41
94%,34 patients,54,42
97%,172 patients,55,43
97%,120 patients,56,44
97%,98 patients,57,45
96%,211 patients,58,46
92%,175 patients,59,47
81%,118 patients,60,48
36%,14 patients,61,49
96%,168 patients,62,50
93%,167 patients,63,51
95%,158 patients,64,52
empty,0 patients,65,6
100%,237 patients,66,53
78%,76 patients,67,54
74%,76 patients,68,55
97%,159 patients,69,56
96%,247 patients,70,57
93%,43 patients,71,58
100%,103 patients,72,59
96%,227 patients,73,60
empty,0 patients,74,6
98%,61 patients,75,61
79%,217 patients,76,62
97%,259 patients,77,63
82%,84 patients,78,64
100%,53 patients,79,65
90%,174 patients,80,66
95%,137 patients,81,67
100%,65 patients,82,68
96%,200 patients,83,69
91%,138 patients,84,70
88%,85 patients,85,71
96%,107 patients,86,72
99%,457 patients,87,73
99%,462 patients,88,74
94%,439 patients,89,75
89%,130 patients,90,76
100%,619 paxienxs,91,77
95%,242 patients,92,78
92%,242 patients,93,79
60%,5 patients,94,36
50%,2 patients,95,80
empty,0 patients,96,6
empty,0 patients,97,6
100%,2 patients,98,37
empty,0 patients,99,6
empty,0 patients,100,6
98%,59 patients,101,81
87%,76 patients,102,82
64%,14 patients,103,83
100%,8 patients,104,84
87%,85 patients,105,85
78%,64 patients,106,86
100%,28 patients,107,87
95%,87 patients,108,88
88%,57 patients,109,89
90%,63 patients,110,90
91%,11 patients,111,91
88%,101 patients,112,92
91%,101 patients,113,93
93%,100 patients,114,94
empty,0 patixnts,115,95
100%,123 patients,116,96
87%,77 patients,117,97
88%,76 patients,118,98
0%,1 patients,119,99
x00%,1 patients,120,100
empty,0 patients,121,6
empty,0 patients,122,6
0%,1 patients,123,99
empty,0 patients,124,6
empty,0 patients,125,6
4%,26 patients,126,101
