State,ZipCode,original_index,unique_index
al,35233,0,0
al,35233,1,0
al,35233,2,0
al,35233,3,0
al,35233,4,0
al,35233,5,0
al,35233,6,0
al,35233,7,0
al,35660,8,1
al,35660,9,1
al,35660,10,1
al,35660,11,1
al,35660,12,1
al,35660,13,1
al,35660,14,1
al,35660,15,1
al,35660,16,1
al,35660,17,1
al,35660,18,1
al,36302,19,2
al,36302,20,2
al,36302,21,2
al,36302,22,2
al,36302,23,2
al,36302,24,2
al,36302,25,2
al,36302,26,2
al,36302,27,2
al,36302,28,2
al,36302,29,2
al,36302,30,2
al,36302,31,2
al,36302,32,2
al,36302,33,2
al,36302,34,2
al,36302,35,2
al,36302,36,2
al,36302,37,2
al,36302,38,2
al,36302,39,2
al,36302,40,2
al,36302,41,2
xl,36302,42,3
al,36302,43,2
al,x5957,44,4
al,35957,45,5
xl,35957,46,6
al,35957,47,5
al,35957,48,5
al,35957,49,5
xl,35957,50,6
al,35957,51,5
al,35957,52,5
al,35957,53,5
al,35957,54,5
al,35957,55,5
al,35957,56,5
al,35957,57,5
al,35957,58,5
al,35957,59,5
al,35957,60,5
al,35957,61,5
al,35957,62,5
al,3595x,63,7
al,35957,64,5
al,35957,65,5
al,35957,66,5
al,35957,67,5
al,35957,68,5
al,35631,69,8
al,3563x,70,9
al,35631,71,8
al,35631,72,8
al,35631,73,8
al,35631,74,8
al,35631,75,8
al,35631,76,8
al,35631,77,8
al,35631,78,8
al,35631,79,8
al,35631,80,8
al,35631,81,8
al,35631,82,8
xl,35631,83,10
al,35631,84,8
al,35631,85,8
al,35631,86,8
al,35631,87,8
al,35631,88,8
al,35631,89,8
al,35631,90,8
al,35631,91,8
al,35631,92,8
al,3563x,93,9
al,36467,94,11
al,36467,95,11
al,36467,96,11
al,36467,97,11
xl,36467,98,12
al,36467,99,11
al,36467,100,11
al,36467,101,11
al,36467,102,11
al,36467,103,11
al,36467,104,11
al,36467,105,11
al,36467,106,11
al,36467,107,11
al,36467,108,11
al,36467,109,11
al,36467,110,11
al,36467,111,11
al,36467,112,11
al,36467,113,11
al,36467,114,11
al,36467,115,11
al,36467,116,11
al,36467,117,11
al,36467,118,11
ax,36049,119,13
al,36049,120,14
al,36049,121,14
al,36049,122,14
al,36049,123,14
al,36049,124,14
al,36049,125,14
al,36049,126,14
al,36049,127,14
al,36049,128,14
al,36049,129,14
al,36049,130,14
al,36049,131,14
al,36049,132,14
al,36049,133,14
al,36049,134,14
al,36049,135,14
al,36049,136,14
al,36x49,137,15
al,36049,138,14
al,360x9,139,16
ax,36049,140,13
al,36049,141,14
al,36049,142,14
al,36049,143,14
al,35640,144,17
al,35640,145,17
al,35640,146,17
al,35640,147,17
al,35640,148,17
al,3x640,149,18
al,35640,150,17
al,35640,151,17
al,35640,152,17
al,35640,153,17
al,35640,154,17
al,35640,155,17
al,35640,156,17
al,3x640,157,18
al,35640,158,17
al,35640,159,17
al,35640,160,17
al,35640,161,17
al,35640,162,17
al,35640,163,17
al,35640,164,17
ax,35640,165,19
al,35640,166,17
al,35640,167,17
al,35640,168,17
al,35976,169,20
al,35976,170,20
al,35976,171,20
al,35976,172,20
al,35976,173,20
al,35976,174,20
al,35976,175,20
al,35976,176,20
al,35976,177,20
al,35976,178,20
al,35976,179,20
al,35976,180,20
al,35976,181,20
xl,35976,182,21
al,35976,183,20
al,35976,184,20
al,35976,185,20
al,35976,186,20
al,35976,187,20
al,35976,188,20
al,35976,189,20
al,35976,190,20
al,35976,191,20
al,35976,192,20
al,35976,193,20
al,35235,194,22
al,35235,195,22
al,3x23x,196,23
al,35235,197,22
al,35235,198,22
al,35235,199,22
al,35235,200,22
al,35235,201,22
al,35235,202,22
al,35235,203,22
al,35235,204,22
al,35235,205,22
al,35235,206,22
al,35235,207,22
al,35235,208,22
al,35235,209,22
al,35235,210,22
al,35235,211,22
al,35235,212,22
al,35235,213,22
al,35235,214,22
al,35235,215,22
al,35235,216,22
al,35235,217,22
al,35235,218,22
al,35968,219,24
al,35968,220,24
al,35968,221,24
al,35968,222,24
al,35968,223,24
al,35968,224,24
al,35968,225,24
al,35968,226,24
al,35968,227,24
ax,35968,228,25
al,35968,229,24
al,35968,230,24
al,35968,231,24
al,359x8,232,26
al,35968,233,24
al,35968,234,24
al,35968,235,24
al,35968,236,24
al,35968,237,24
al,35968,238,24
al,35968,239,24
al,35968,240,24
al,35968,241,24
al,35968,242,24
al,35968,243,24
al,36784,244,27
al,36784,245,27
al,36784,246,27
al,36784,247,27
al,36784,248,27
al,36784,249,27
al,36784,250,27
al,36784,251,27
al,36784,252,27
al,36784,253,27
al,36784,254,27
al,36784,255,27
al,36784,256,27
al,36784,257,27
al,36784,258,27
al,36784,259,27
al,36784,260,27
al,36784,261,27
al,36784,262,27
al,36784,263,27
al,36784,264,27
al,36784,265,27
al,36784,266,27
al,x6784,267,28
al,36784,268,27
al,35007,269,29
al,35007,270,29
al,35007,271,29
al,35007,272,29
al,35007,273,29
al,35007,274,29
al,35007,275,29
al,35007,276,29
al,35007,277,29
xl,35007,278,30
al,35007,279,29
al,35007,280,29
al,35007,281,29
al,35007,282,29
al,3x007,283,31
al,35007,284,29
al,35007,285,29
al,35007,286,29
al,35007,287,29
al,35007,288,29
al,35007,289,29
al,x5007,290,32
al,35007,291,29
al,35007,292,29
al,35007,293,29
al,35233,294,0
al,35233,295,0
al,35233,296,0
al,35233,297,0
al,35233,298,0
al,35233,299,0
al,35233,300,0
al,35233,301,0
al,35233,302,0
al,35233,303,0
al,35233,304,0
al,35233,305,0
al,35233,306,0
al,35233,307,0
al,35233,308,0
al,35233,309,0
al,35233,310,0
al,36201,311,33
al,36201,312,33
al,36201,313,33
al,36201,314,33
al,36201,315,33
al,36201,316,33
al,36201,317,33
al,36201,318,33
al,36201,319,33
al,36201,320,33
al,36201,321,33
al,36201,322,33
al,36201,323,33
al,36201,324,33
al,36x01,325,34
al,36201,326,33
al,36201,327,33
al,36201,328,33
al,36201,329,33
al,36201,330,33
al,36305,331,35
al,3x305,332,36
al,36305,333,35
al,36305,334,35
al,36305,335,35
al,36305,336,35
al,36305,337,35
al,36305,338,35
al,36305,339,35
al,x6x05,340,37
al,36305,341,35
al,36305,342,35
al,36305,343,35
al,36305,344,35
al,36305,345,35
al,36305,346,35
al,36305,347,35
al,35205,348,38
al,35205,349,38
al,35205,350,38
al,35205,351,38
al,35205,352,38
al,35609,353,39
al,35594,354,40
al,35594,355,40
ax,35594,356,41
al,35594,357,40
al,35594,358,40
al,35594,359,40
al,35594,360,40
al,35594,361,40
al,35594,362,40
al,35594,363,40
al,35594,364,40
al,35594,365,40
al,3xx94,366,42
al,35594,367,40
al,35594,368,40
al,35594,369,40
al,35594,370,40
al,35594,371,40
al,35594,372,40
al,35594,373,40
al,35594,374,40
al,3xx94,375,42
al,35594,376,40
al,35594,377,40
al,35594,378,40
al,36617,379,43
al,36617,380,43
al,36617,381,43
al,36617,382,43
al,36617,383,43
al,36617,384,43
al,36617,385,43
xl,36617,386,44
al,36617,387,43
al,36617,388,43
al,36617,389,43
al,36617,390,43
al,36617,391,43
al,36067,392,45
al,36067,393,45
al,36067,394,45
al,36067,395,45
al,36067,396,45
al,36067,397,45
al,36067,398,45
al,36067,399,45
al,36067,400,45
al,36067,401,45
ax,36067,402,46
al,36067,403,45
al,36067,404,45
al,36067,405,45
al,3x0x7,406,47
al,36067,407,45
al,36067,408,45
al,36067,409,45
al,36067,410,45
al,36067,411,45
al,35653,412,48
al,35653,413,48
al,35150,414,49
al,35150,415,49
al,35150,416,49
al,35150,417,49
al,35150,418,49
al,35150,419,49
al,x5150,420,50
al,35150,421,49
al,35150,422,49
al,35150,423,49
al,35150,424,49
al,35150,425,49
al,35150,426,49
al,35150,427,49
al,3x1x0,428,51
al,35150,429,49
al,35150,430,49
al,35150,431,49
ak,99508,432,52
ak,99508,433,52
ak,99508,434,52
ak,99508,435,52
ak,99508,436,52
ak,99508,437,52
ak,99508,438,52
ak,99508,439,52
ak,99508,440,52
ak,99508,441,52
ak,99508,442,52
ak,99508,443,52
ak,99508,444,52
ak,99508,445,52
ak,99508,446,52
ak,99508,447,52
ak,99508,448,52
ak,99508,449,52
ak,99559,450,53
ak,99559,451,53
al,35660,452,1
al,35660,453,1
al,35660,454,1
al,35660,455,1
al,35660,456,1
al,35660,457,1
al,35660,458,1
al,35660,459,1
al,35660,460,1
al,35660,461,1
al,35660,462,1
al,35660,463,1
al,35660,464,1
al,35660,465,1
al,36360,466,54
al,36360,467,54
al,36360,468,54
al,36360,469,54
al,36360,470,54
al,36360,471,54
al,36360,472,54
al,36360,473,54
al,36360,474,54
al,36360,475,54
al,36360,476,54
xl,36360,477,55
al,36360,478,54
