Creator,original_index,unique_index
"Joseph Stefano,Robert Bloch",0,0
George A. Romero,1,1
"Charles Bennett,Joan Harrison",2,2
"Christopher Trumbo,Christopher Trumbo",3,3
Alexandre O. Philippe,4,4
"Leon Uris,Samuel A. Taylor",5,5
"Ernest Lehman,Victor Canning",6,6
"Stephen King,George A. Romero",7,7
"Stephen King,Stephen King",8,8
Noah Stern,9,9
"Tony Spiridakis,Joseph W. Savino",10,10
"Peter Hanson,Paul Robert Herman",11,11
"Wes Anderson,Owen Wilson",12,12
"Tony Gilroy,Scott Z. Burns",13,13
Joe Eszterhas,14,14
"Claude Chabrol,Alvin Sargent",15,15
"Dean Georgaris,Steven E. de Souza",16,16
"Stephen Sommers,Lloyd Fonvielle",17,17
"Kevin Grevioux,Len Wiseman",18,18
"Danny McBride,Len Wiseman",19,19
"Cinco Paul,Ken Daurio",20,20
"Dan Scanlon,Daniel Gerson",21,21
"John Lasseter,Pete Docter",22,22
"Herbert Golder,Werner Herzog",23,23
"William M. Finkelstein,Victor Argo",24,24
"Neal Purvis,Robert Wade",25,25
David S. Goyer,26,26
Jason Scott Sadofsky,27,27
,28,28
"Lee Child,Marshall Herskovitz",29,29
"John Logan,John Logan",30,30
"Jim Cash,Jack Epps Jr.",31,31
"Richard Matheson,Ronald Bass",32,32
"Michael Stewart,Thornton Wilder",33,33
"Isobel Lennart,Isobel Lennart",34,34
"Julius J. Epstein,Philip G. Epstein",35,35
"Stanley Kubrick,Arthur C. Clarke",36,36
"Hubert Selby Jr.,Hubert Selby Jr.",37,37
David Lynch,38,38
"Stanley Kubrick,Frederic Raphael",39,39
"Vladimir Nabokov,Vladimir Nabokov",40,40
"F.W. Murnau,Robert J. Flaherty",41,41
"Leigh Whannell,Ian Brennan",42,42
Seth Gordon,43,43
Victor Pineiro-Escoriaza,44,44
Chris Higgins,45,45
"Dave Danzara,Sean Newton",46,46
"Luke Meyer,Andrew Neel",47,47
Jeff Von Ward,48,48
,49,28
"Bonnie Nadzam,Ross Partridge",50,49
"Guillermo Amoedo,Eli Roth",51,50
"Gary Ross,Anne Spielberg",52,51
"Michael Pye,Jon Bokenkamp",53,52
"Susanna Kaysen,James Mangold",54,53
"John Orloff,Emil Stern",55,54
"Roald Dahl,Wes Anderson",56,55
"Alan B. McElroy,Tyger Williams",57,56
"Charles Parlapanides,Vlas Parlapanides",58,57
"Matt Duffer,Ross Duffer",59,58
Max Landis,60,59
"Chris Columbus,Charles S. Haas",61,60
"Steven Spielberg,Michael Grais",62,61
"Mitch Glazer,Michael O'Donoghue",63,62
"Bob Kane,Theresa Rebeck",64,63
Greydon Clark,65,64
"Antonio Macia,Antonio Macia",66,65
"Lonne Elder, III",67,66
"Rudyard Kipling,John Lee Mahin",68,67
"Laird Doyle,Laird Doyle",69,68
"John Van Druten,Lenore J. Coffee",70,69
"Kevin Wade,Chris Conrad",71,70
"John Michael Hayes,Harold Robbins",72,71
"Martin Flavin,Beulah Marie Dix",73,72
"Ronald Millar,George Froeschel",74,73
"Maurice Level,J. Walter Ruben",75,74
"Herman J. Mankiewicz,Norman Krasna",76,75
"Arthur T. Horman,John Grant",77,76
"John Grant,Edmund L. Hartmann",78,77
"John Grant,Lee Loeb",79,78
"Harriet Beecher Stowe,Harvey F. Thew",80,79
"Elliott Arnold,Elliott Arnold",81,80
"Elliott Arnold,Elliott Arnold",82,80
"John Byrum,Robin Cook",83,81
"Henry James,Ruth Prawer Jhabvala",84,82
Kurt Luedtke,85,83
"Irving Ravetch,Harriet Frank Jr.",86,84
Preston Sturges,87,85
"Alan Le May,Jesse Lasky Jr.",88,86
Robert Buckner,89,87
"Philip Dunne,Julien Josephson",90,88
"Hal Kanter,Harry Tugend",91,89
"Robert Riskin,Clarence Budington Kelland",92,90
"Harry Chandlee,Douglas W. Churchill",93,91
"Jo Swerling,John Meehan",94,92
"Sarah Y. Mason,Jo Swerling",95,93
"Gene Markey,Kathryn Scola",96,94
"Lucien Hubbard,Kubec Glasmon",97,95
"Anita Loos,Gene Markey",98,96
"Robert Lord,Wilson Mizner",99,97
"S.S. Van Dine,Robert N. Lee",100,98
"Frances Goodrich,Albert Hackett",101,99
"William Ludwig,Charles Lederer",102,100
"Lenore J. Coffee,W.E. Woodward",103,101
"Irving Brecher,Harry Kurnitz",104,102
"Menahem Golan,Coby Recht",105,103
"Scott Bindley,Peter Lepeniotis",106,104
"Jeffrey Boam,Shane Black",107,105
Lem Dobbs,108,106
Steve Barancik,109,107
"Joel Coen,Ethan Coen",110,108
"Samuel W. Taylor,John Hughes",111,109
"Casey Robinson,Olive Higgins Prouty",112,110
"Wendell Mayes,John D. Voelker",113,111
"Alex Kendrick,Stephen Kendrick",114,112
"Gregory Widen,Eric Bernt",115,113
"Nunnally Johnson,John Steinbeck",116,114
"Lew Wallace,Karl Tunberg",117,115
"Michael Wilson,Rod Serling",118,116
"John William Corrington,Joyce Hooper Corrington",119,117
"Deric Washburn,Michael Cimino",120,118
"Lawrence Lasker,Walter F. Parkes",121,119
"Fede Alvarez,Rodo Sayagues",122,120
"Leigh Whannell,James Wan",123,121
"Glen Morgan,James Wong",124,122
"Eric Bress,Jeffrey Reddick",125,123
Ken Wiederhorn,126,124
Fred Dekker,127,125
"H.P. Lovecraft,Brian Yuzna",128,126
Mike Flanagan,129,127
"Jonathan Nolan,Christopher Nolan",130,128
"Frank Herbert,David Lynch",131,129
Christopher Bertolini,132,130
Michael Simmons,133,131
Marc Hyman,134,132
Beverley Cross,135,133
"Sheridan Le Fanu,Harry Fine",136,134
Jimmy Sangster,137,135
"Bram Stoker,Hamilton Deane",138,136
"James Ashmore Creelman,Ruth Rose",139,137
Morgan Spurlock,140,138
"Linda Woolverton,Lewis Carroll",141,139
"J.K. Rowling,Steve Kloves",142,140
"William Steig,Ted Elliott",143,141
"Irene Mecchi,Jonathan Roberts",144,142
"Linda Woolverton,Roger Allers",145,143
"Tab Murphy,Bob Tzudiker",146,144
"Chris Williams,Mark Dindal",147,145
"Tab Murphy,Lorne Cameron",148,146
"Terry Rossio,Ted Elliott",149,147
"Michael J. Wilson,Rob Letterman",150,148
"George Miller,John Collee",151,149
"John Logan,John Logan",152,30
"Phil Lord,Christopher Miller",153,150
"Etan Cohen,Eric Darnell",154,151
"Ernest Lehman,Arthur Laurents",155,152
Paul Mazursky,156,153
"Dan Wakefield,James L. Brooks",157,154
"Walter Bernstein,Dan Jenkins",158,155
"Tracy Keenan Wynn,Albert S. Ruddy",159,156
"Elaine May,Warren Beatty",160,157
James Toback,161,158
David Mamet,162,159
"Friedrich Dürrenmatt,Jerzy Kromolowski",163,160
"Albert Hackett,Frances Goodrich",164,161
Steve Martin,165,162
"Bruce Jay Friedman,Neil Simon",166,163
Dennis Potter,167,164
"Katherine Leslie Moore,William Rankin,Jo Swerling",168,165
"Rex Beach,Lawrence Hazard",169,166
"P.J. Wolfson,Neil H. Swanson",170,167
"Albert Sidney Fleischman,Albert Sidney Fleischman",171,168
"Borden Chase,Æneas MacKenzie",172,169
"William L. White,Frank Wead",173,170
Frank S. Nugent,174,171
"Glendon Swarthout,Miles Hood Swarthout",175,172
"William H. Wright,Allan Weiss",176,173
"John Lee Mahin,Martin Rackin",177,174
"Frank S. Nugent,James Edward Grant",178,175
"Leigh Brackett,Harry Kurnitz",179,176
"Keith R. Clarke,Slavomir Rawicz",180,177
"Olivia Bohnhoff,Katherine Brooks",181,178
Maria Maggenti,182,179
"John Kamps,Gavin Scott,John Camps",183,180
