RatingCount,original_index,unique_index
"379,998",0,0
"46,421",1,1
"12,684",2,2
724,3,3
"3,341",4,4
"11,928",5,5
"14,283",6,6
"14,700",7,7
"15,051",8,8
517,9,9
"1,294",10,10
"1,188",11,11
"194,889",12,12
"444,001",13,13
"124,230",14,14
"59,104",15,15
"95,376",16,16
"296,307",17,17
"194,551",18,18
"145,752",19,19
"345,095",20,20
"208,302",21,21
"349,182",22,22
"7,135",23,23
"62,359",24,24
"463,639",25,25
"176,103",26,26
219,27,27
207,28,28
,29,29
"294,740",30,30
"203,621",31,31
"79,168",32,32
"9,255",33,33
"12,144",34,34
"356,710",35,35
"381,808",36,36
"521,173",37,37
"121,390",38,38
"210,746",39,39
"62,308",40,40
"3,097",41,41
"4,625",42,42
"29,293",43,43
674,44,44
975,45,45
65,46,46
905,47,47
56,48,48
332,49,49
129,50,50
"4,425",51,51
"141,023",52,52
"61,876",53,53
"116,168",54,54
"61,754",55,55
"125,748",56,56
"1,908",57,57
"131,158",58,58
"2,547",59,59
"13,532",60,60
"61,611",61,61
"95,536",62,62
"56,108",63,63
"82,071",64,64
"2,599",65,65
"3,520",66,66
"2,384",67,67
"6,329",68,68
"1,784",69,69
"1,841",70,70
"50,773",71,71
913,72,72
89,73,73
310,74,74
76,75,75
159,76,76
"3,074",77,77
967,78,78
"1,714",79,79
261,80,80
"1,087",81,81
359,82,82
869,83,83
"1,322",84,84
"8,857",85,85
"14,598",86,86
"16,742",87,87
"1,015",88,88
"1,427",89,89
921,90,90
"4,099",91,91
"14,303",92,92
"2,068",93,93
"1,243",94,94
442,95,95
"3,993",96,96
"2,121",97,97
798,98,98
"1,649",99,99
"1,834",100,100
"4,417",101,101
"1,784",102,69
868,103,102
"3,558",104,103
"1,208",105,104
,106,29
"118,639",107,105
"23,331",108,106
"15,029",109,107
"97,439",110,108
"57,873",111,109
"10,548",112,110
"41,907",113,111
"4,440",114,112
"15,509",115,113
"56,983",116,114
"144,604",117,115
"129,025",118,116
"21,171",119,117
"19,248",120,118
"68,036",121,119
"115,051",122,120
"132,048",123,121
"94,966",124,122
"69,551",125,123
"12,925",126,124
"13,361",127,125
"13,470",128,126
"11,654",129,127
"1,020,855",130,128
"92,365",131,129
"149,320",132,130
21,133,131
"23,943",134,132
"31,137",135,133
"3,423",136,134
"4,809",137,135
"30,481",138,136
"61,535",139,137
"79,227",140,138
"278,418",141,139
"343,566",142,140
"425,126",143,141
"564,457",144,142
"274,949",145,143
"126,092",146,144
"114,950",147,145
"62,596",148,146
"50,894",149,147
"122,767",150,148
"119,968",151,149
"167,512",152,150
"137,548",153,151
"129,553",154,152
"66,537",155,153
"3,086",156,154
"1,578",157,155
"1,757",158,156
"12,474",159,157
"13,441",160,158
"20,281",161,159
"16,212",162,160
"40,547",163,161
"24,944",164,162
"24,560",165,163
"4,950",166,164
"4,074",167,165
455,168,166
"1,556",169,167
"1,071",170,168
"1,954",171,169
"2,288",172,170
"5,384",173,171
"11,718",174,172
"16,422",175,173
"9,563",176,174
"4,791",177,175
"5,384",178,171
"8,473",179,176
"82,023",180,177
"8,457",181,178
"3,332",182,179
"15,460",183,180
"3,046",184,181
"1,712",185,182
"7,176",186,183
"15,455",187,184
9,188,185
"3,804",189,186
"181,758",190,187
"3,460",191,188
"1,082",192,189
"122,545",193,190
"51,492",194,191
"72,327",195,192
16,196,193
777,197,194
"3,485",198,195
"10,176",199,196
"11,584",200,197
"44,968",201,198
"86,365",202,199
"33,751",203,200
"57,506",204,201
"45,396",205,202
"40,363",206,203
"77,670",207,204
"256,209",208,205
