Actors,Genre,original_index,unique_index
"Anthony Perkins,Janet Leigh,Vera Miles","Horror,Mystery,Thriller",0,0
"Lori Cardille,Terry Alexander,Joseph Pilato","Action,Drama,Horror",1,1
"Joel McCrea,Laraine Day,Herbert Marshall","Romance,Thriller,War",2,2
"Dalton Trumbo,Joan Allen,Brian Dennehy","Documentary,Biography",3,3
"Joe Nussbaum,Daryl Frazetti,Doug Jones","Documentary,Comedy",4,4
"Frederick Stafford,Dany Robin,John Vernon",Thriller,5,5
"Karen Black,Bruce Dern,Barbara Harris","Comedy,Thriller",6,6
"George Kennedy,Lois Chiles,Domenick John","Comedy,Horror,Thriller",7,7
"Gary Busey,Everett McGill,Corey Haim","Drama,Horror",8,8
"Kevin Bacon,Kyra Sedgwick,Bruce Payne","Comedy,Romance",9,9
"Kevin Bacon,Linda Fiorentino,John Malkovich","Comedy,Drama",10,10
"Allison Anders,Jane Anderson,Doug Atchison",Documentary,11,11
"Gene Hackman,Gwyneth Paltrow,Anjelica Huston","Comedy,Drama",12,12
"Matt Damon,Édgar Ramírez,Joan Allen","Action,Thriller",13,13
"Michael Douglas,Sharon Stone,George Dzundza","Drama,Mystery,Thriller",14,14
"Richard Gere,Diane Lane,Olivier Martinez","Drama,Romance,Thriller",15,15
"Angelina Jolie,Gerard Butler,Chris Barrie","Action,Adventure,Fantasy",16,16
"Brendan Fraser,Rachel Weisz,John Hannah","Action,Adventure,Fantasy",17,17
"Kate Beckinsale,Scott Speedman,Shane Brolly","Action,Fantasy",18,18
"Kate Beckinsale,Scott Speedman,Bill Nighy","Action,Fantasy,Sci-Fi",19,19
"Steve Carell,Jason Segel,Russell Brand","Animation,Comedy,Family",20,20
"Billy Crystal,John Goodman,Steve Buscemi","Animation,Adventure,Comedy",21,21
"Tom Hanks,Tim Allen,Joan Cusack","Animation,Adventure,Comedy",22,22
"Michael Shannon,Willem Dafoe,Chloë Sevigny","Drama,Thriller",23,23
"Nicolas Cage,Eva Mendes,Russell M. Haeuser","Crime,Drama",24,24
"Daniel Craig,Javier Bardem,Naomie Harris","Action,Adventure,Thriller",25,25
