Name,Description,original_index,unique_index
Psycho,"A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",0,0
Day of the Dead,A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,1,1
Foreign Correspondent,"On the eve of WWII, a young American reporter tries to expose enemy agents in London.",2,2
Trumbo,"Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ...",3,3
The People vs. George Lucas,An examination of the widespread fan disenchantment with George Lucas.,4,4
Topaz,"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.",5,5
Family Plot,Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.,6,6
Creepshow 2,"Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die.",7,7
Silver Bullet,"A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story.",8,8
Pyrates,"Ari (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc...",9,9
Queens Logic,"When childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a roller-coaster ride through reality. During one tumultuous, crazy ...",10,10
Tales from the Script,War stories and life lessons from the industry's top writers.,11,11
The Royal Tenenbaums,An estranged family of former child prodigies reunites when their father announces he is terminally ill.,12,12
The Bourne Ultimatum,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,13,13
Basic Instinct,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",14,14
Unfaithful,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,15,15
Lara Croft Tomb Raider: The Cradle of Life,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.,16,16
The Mummy,An American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a Mummy.,17,17
Underworld,"Selene, a beautiful vampire warrior, entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with Michael, a human who is sought by werewolves for unknown reasons.",18,18
Underworld: Evolution,"Picking up directly from the previous film, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.",19,19
Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",20,20
Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,21,21
Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting.",22,22
"My Son, My Son, What Have Ye Done","Inspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword.",23,23
Bad Lieutenant: Port of Call New Orleans,Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,24,24
Skyfall,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",25,25
Blade,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",26,26
Get Lamp,"With limited sound, simple graphics, and tiny amounts of computing power, the first games on home computers would hardly raise an eyebrow in the modern era of photorealism and surround ...",27,27
High Score,"Although technology continues to evolve, a group of die-hard gamers refuses to abandon the classic arcade games of yesteryear. The 80's live on for these enthusiasts, who compete against ...",28,28
Jack Reacher 2,"Jack Reacher returns to the headquarters of his old unit, only to find out he's now accused of a 16-year-old homicide.",29,29
The Last Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,30,30
Top Gun,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",31,31
What Dreams May Come,After dying in a car crash a man searches the afterlife for his wife.,32,32
"Hello, Dolly!","A matchmaker named Dolly Levi takes a trip to Yonkers, New York to see the 'well-known unmarried half-a-millionaire,' Horace Vandergelder. While there, she convinces him, his two stock ...",33,33
Funny Girl,Plain faced Fanny Brice rises to stardom on the New York Vaudeville Stage and maintains a turbulent marriage with suave gambler Nick Arnstein.,34,34
Casablanca,"Set in Casablanca, Morocco during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.",35,35
2001: A Space Odyssey,"Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.",36,36
Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions become stronger.,37,37
Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",38,38
Eyes Wide Shut,"A New York City doctor, who is married to an art curator, pushes himself on a harrowing and dangerous night-long odyssey of sexual and moral discovery after his wife admits that she once almost cheated on him.",39,39
Lolita,A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.,40,40
Tabu: A Story of the South Seas,"In his final film, F.W. Murnau presents the tale of two young lovers on the idyllic island of Bora Bora in the South Pacific. Their life is shattered when the old warrior declares the girl ...",41,41
Cooties,"A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives.",42,42
The King of Kong: A Fistful of Quarters,Die-hard gamers compete to break world records on classic arcade games.,43,43
Second Skin,"An intimate, fascinating look at computer gamers whose lives have been transformed by the emerging, hugely popular genre of computer games.",44,44
Ecstasy of Order: The Tetris Masters,A documentary that captures the greatest world record Tetris players as they prepare for the Classic Tetris World Championship. From the days of Thor Aackerlund and his historic victory at ...,45,45
The Video Craze,"A documentary on classic video arcade collectors across North America. Those who were the first to look into the neon haze of a vector/raster screen and fall in love. The first quarter poppers, the 'vidiots' who never grew up.",46,46
Darkon,"Skip Lipman, a suburban stay at home dad, embarks on an epic quest to topple a mighty empire in a full-contact Live Action Role Playing Game known as Darkon.",47,47
The Space Invaders: In Search of Lost Time,"Beginning with Space Invaders in 1978, arcade games began to appear everywhere. By 1982, there were 13,000 dedicated arcade locations across North America. It was the Golden Age of Arcade ...",48,48
The King of Arcades,Follow the rise and fall of the King of Arcades as one man pursues his dream against all odds.,49,49
Lamb,When a man meets a young girl in a parking lot he attempts to help her avoid a bleak destiny by initiating her into the beauty of the outside world. The journey shakes them in ways neither expects.,50,50
The Green Inferno,"A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.",51,51
Big,"When a boy wishes to be big at a magic wish machine, he wakes up the next morning and finds himself in an adult body.",52,52
Taking Lives,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,53,53
"Girl, Interrupted",Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.,54,54
Legend of the Guardians: The Owls of Ga'Hoole,"When a young owl is abducted by an evil Owl army, he must escape with new-found friends and seek the legendary Guardians to stop the menace.",55,55
Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,56,56
The Perfect Guy,"After breaking up with her boyfriend, a professional woman gets involved with a man who seems almost too good to be true.",57,57
Immortals,"The brutal and bloodthirsty King Hyperion (Mickey Rourke) and his murderous Heraklion army are rampaging across Greece in search of the long lost Bow of Epirus. With the invincible Bow, the king will be able to overthrow the Gods of Olympus and become the undisputed master of his world. With ruthless efficiency, Hyperion and his legions destroy everything in their wake, and it seems nothing will stop the evil king's mission. As village after village is obliterated, a stonemason named Theseus,(Henry Cavill) vows to avenge the death of his mother in one of Hyperion's raids. When Theseus meets the Sybelline Oracle, Phaedra (Freida Pinto), her disturbing visions of the young man's future convince her that he is the key to stopping the destruction. With her help, Theseus assembles a small band of followers and embraces his destiny in a final desperate battle for the future of humanity. -- (C) Relativity Media",58,58
Hidden,A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,59,59
American Ultra,"American Ultra is a fast-paced action comedy about Mike (Eisenberg), a seemingly hapless and unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe (Stewart), is suddenly turned upside down. Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive. (C),Lionsgate",60,60
Gremlins 2: The New Batch,"The Gremlins are back, and this time, they've taken total control over the building of a media mogul.",61,61
Poltergeist,A family's home is haunted by a host of ghosts.,62,62
Scrooged,"A selfish, cynical T.V. executive is haunted by three spirits bearing lessons on Christmas Eve.",63,63
Catwoman,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",64,64
Final Justice,"Homicidal Sheriff Thomas Jefferson Geronimo is tasked with escorting a mobster to Malta; when the prisoner escapes, Geronimo goes rogue to catch him.",65,65
Anne B. Real,"ANNE B. REAL is the coming of age story of a young female rapper, who finds her inspiration by reading the Diary of Anne Frank.",66,66
Sounder,"Set during the 1930s, this film is the tale of a family of Black sharecroppers struggling to survive the Great Depression. After suffering months of poverty, the father steals in order to support his family. He is sent to jail, leaving the mother to care for the family and farm.",67,67
Captains Courageous,Harvey Cheyne is a spoiled brat used to having his own way. When a prank goes wrong onboard an ocean liner Harvey ends up overboard and nearly drowns. Fortunately he's picked up by a ...,68,68
Dangerous,"An alcoholic actress who is considered a dangerous jinx is rehabilitated, but she then shows that she's as dangerous as ever.",69,69
