Name,Year,original_index,unique_index
Psycho,1960,0,0
Day of the Dead,1985,1,1
Foreign Correspondent,1940,2,2
Trumbo,2007,3,3
The People vs. George Lucas,2010,4,4
Topaz,1969,5,5
Family Plot,1976,6,6
Creepshow 2,1987,7,7
Silver Bullet,1985,8,8
Pyrates,1991,9,9
Queens Logic,1991,10,10
Tales from the Script,2009,11,11
The Royal Tenenbaums,2001,12,12
The Bourne Ultimatum,2007,13,13
Basic Instinct,1992,14,14
Unfaithful,2002,15,15
Lara Croft Tomb Raider: The Cradle of Life,2003,16,16
The Mummy,1999,17,17
Underworld,2003,18,18
Underworld: Evolution,2006,19,19
Despicable Me,2010,20,20
Monsters University,2013,21,21
Toy Story 2,1999,22,22
"My Son, My Son, What Have Ye Done",2009,23,23
Bad Lieutenant: Port of Call New Orleans,2009,24,24
Skyfall,2012,25,25
Blade,1998,26,26
Get Lamp,2010,27,27
High Score,2006,28,28
Jack Reacher 2,2016,29,29
The Last Samurai,2003,30,30
Top Gun,1986,31,31
What Dreams May Come,1998,32,32
"Hello, Dolly!",1969,33,33
Funny Girl,1968,34,34
Casablanca,1942,35,35
2001: A Space Odyssey,1968,36,36
Requiem for a Dream,2000,37,37
Blue Velvet,1986,38,38
Eyes Wide Shut,1999,39,39
Lolita,1962,40,40
Tabu: A Story of the South Seas,1931,41,41
Cooties,2014,42,42
The King of Kong: A Fistful of Quarters,2007,43,43
Second Skin,2008,44,44
Ecstasy of Order: The Tetris Masters,2011,45,45
The Video Craze,2013,46,46
Darkon,2006,47,47
The Space Invaders: In Search of Lost Time,2012,48,48
The King of Arcades,2014,49,49
Lamb,2015,50,50
The Green Inferno,2013,51,51
Big,1988,52,52
Taking Lives,2004,53,53
"Girl, Interrupted",1999,54,54
Legend of the Guardians: The Owls of Ga'Hoole,2010,55,55
Fantastic Mr. Fox,2009,56,56
The Perfect Guy,2015,57,57
Immortals,2010 2011 2012,58,58
Hidden,2015,59,59
American Ultra,2014 2015 2016,60,60
Gremlins 2: The New Batch,1990,61,61
Poltergeist,1982,62,62
Scrooged,1988,63,63
Catwoman,2004,64,64
Final Justice,1985,65,65
Anne B. Real,2003,66,66
Sounder,1971 1972 1973,67,67
Captains Courageous,1937,68,68
Dangerous,1935,69,69
Old Acquaintance,1943,70,70
Junior,1994,71,71
Where Love Has Gone,1964,72,72
Three Who Loved,1931,73,73
The Unknown Man,1951,74,74
The Roadhouse Murder,1932,75,75
Meet the Baron,1933,76,76
Buck Privates,1941,77,77
Here Come the Co-eds,1945,78,78
Abbott and Costello Meet the Keystone Kops,1955,79,79
Uncle Tom's Cabin,1927,80,80
Kings of the Sun,1963,81,81
Flight from Ashiya,1964,82,82
Sphinx,1981,83,83
The Bostonians,1984,84,84
Absence of Malice,1981,85,85
Hud,1963,86,86
Sullivan's Travels,1941,87,87
North West Mounted Police,1940,88,88
Virginia City,1940,89,89
Stanley and Livingstone,1939,90,90
Pocketful of Miracles,1961,91,91
Mr. Deeds Goes to Town,1936,92,92
Platinum Blonde,1931,93,93
The Miracle Woman,1931,94,94
Shopworn,1932,95,95
Baby Face,1933,96,96
Three on a Match,1932,97,97
Midnight Mary,1933,98,98
Heroes for Sale,1933,99,99
The Kennel Murder Case,1933,100,100
Another Thin Man,1939,101,101
Love Crazy,1941,102,102
Evelyn Prentice,1934,103,103
Shadow of the Thin Man,1941,104,104
The Apple,1980,105,105
The Nut Job 2,2017,106,106
Lethal Weapon 2,1989,107,107
The Limey,1999,108,108
The Last Seduction,1994,109,109
Miller's Crossing,1990,110,110
Flubber,1997,111,111
"Now, Voyager",1942,112,112
Anatomy of a Murder,1959,113,113
War Room,2015,114,114
Highlander: Endgame,2000,115,115
The Grapes of Wrath,1940,116,116
Ben-Hur,1959,117,117
Planet of the Apes,1968,118,118
The Omega Man,1971,119,119
Silent Running,1972,120,120
WarGames,1983,121,121
Evil Dead,2013,122,122
Saw III,2006,123,123
Final Destination 3,2006,124,124
The Final Destination,2009,125,125
Return of the Living Dead II,1988,126,126
Night of the Creeps,1986,127,127
From Beyond,1986,128,128
Absentia,2011,129,129
The Dark Knight Rises,2012,130,130
Dune,1984,131,131
Battle Los Angeles,2011,132,132
American Fetish,2009,133,133
Osmosis Jones,2001,134,134
Clash of the Titans,1981,135,135
The Vampire Lovers,1970,136,136
The Mummy,1959,137,137
Dracula,1931,138,138
King Kong,1933,139,139
Super Size Me,2004,140,140
Alice in Wonderland,2010,141,141
Harry Potter and the Prisoner of Azkaban,2004,142,142
Shrek,2001,143,143
The Lion King,1994,144,144
Beauty and the Beast,1991,145,145
Tarzan,1999,146,146
The Emperor's New Groove,2000,147,147
Brother Bear,2003,148,148
The Road to El Dorado,2000,149,149
Shark Tale,2004,150,150
Happy Feet,2006,151,151
Rango,2011,152,152
Cloudy with a Chance of Meatballs,2009,153,153
Madagascar: Escape 2 Africa,2008,154,154
West Side Story,1961,155,155
An Unmarried Woman,1978,156,156
Starting Over,1979,157,157
Semi-Tough,1977,158,158
The Longest Yard,1974,159,159
Heaven Can Wait,1977 1978 1979,160,160
Bugsy,1990 1991 1992,161,161
Hoffa,1992,162,162
The Pledge,2001,163,163
Father of the Bride Part II,1995,164,164
L.A. Story,1991,165,165
The Lonely Guy,1984,166,166
Pennies from Heaven,1981,167,167
Pennies From Heaven,1935 1936 1937,168,168
The Spoilers,1942,169,169
Allegheny Uprising,1939,170,170
Blood Alley,1955,171,171
The Fighting Seabees,1944,172,172
They Were Expendable,1945,173,173
Fort Apache,1947 1948 1949,174,174
The Shootist,1976,175,175
The Sons of Katie Elder,1965,176,176
North to Alaska,1960,177,177
Donovan's Reef,1963,178,178
Hatari!,1962,179,179
The Way Back,2010,180,180
Loving Annabelle,2006,181,181
The Incredibly True Adventure of Two Girls in Love,1995,182,182
The Borrowers,1997 1998 1999,183,183
A Walk in the Woods,2015,184,184
Interior. Leather Bar.,2013,185,185
Who's That Girl,1987,186,186
Desperately Seeking Susan,1985,187,187
Hollywood Mouth,2008,188,188
Some Came Running,1958,189,189
RocknRolla,2008,190,190
Vulgar,2000,191,191
Jay and Silent Bob's Super Groovy Cartoon Movie,2013,192,192
Jay and Silent Bob Strike Back,2001,193,193
Jersey Girl,2004,194,194
Cop Out,2010,195,195
Vegasland,2008,196,196
Naomi and Ely's No Kiss List,2015,197,197
Battle Creek Brawl,1980,198,198
Bad Boys,1983,199,199
All the Right Moves,1983,200,200
Far and Away,1992,201,201
The Lost Boys,1987,202,202
Sleeping with the Enemy,1991,203,203
Eat Pray Love,2010,204,204
Larry Crowne,2011,205,205
Duplicity,2009,206,206
The International,2009,207,207
Inside Man,2006,208,208
The Outfit,1973,209,209
Charley Varrick,1973,210,210
Hopscotch,1980,211,211
Man on Fire,2004,212,212
Across 110th Street,1972,213,213
Unstoppable,2010,214,214
Prisoners,2013,215,215
Pi,1998,216,216
Trainwreck,2015,217,217
Monte Walsh,1970,218,218
Bring Me the Head of Alfredo Garcia,1974,219,219
Cockfighter,1974,220,220
Girl on the Run,1953,221,221
Soldier in the Rain,1963,222,222
The Cincinnati Kid,1965,223,223
Le Mans,1971,224,224
Grand Prix,1966,225,225
The Train,1964,226,226
The Young Savages,1960 1961 1962,227,227
The Scalphunters,1968,228,228
Ulzana's Raid,1972,229,229
Hangman's Knot,1952,230,230
Thunder Over the Plains,1953,231,231
The Valley of Decision,1945,232,232
Mommie Dearest,1981,233,233
Strait-Jacket,1964,234,234
The Power of the Press,1928,235,235
The Mating Call,1928,236,236
Infinitely Polar Bear,2014,237,237
Fantastic Four,2015,238,238
Ivansxtc,2000,239,239
Spanking the Monkey,1994,240,240
The Town,2010,241,241
The Heartbreak Kid,2007,242,242
Eastern Promises,2007,243,243
Signs,2002,244,244
Out of Sight,1998,245,245
Maverick,1994,246,246
127 Hours,2010,247,247
Inside Moves,1980,248,248
Stuck on You,2003,249,249
The Talented Mr. Ripley,1999,250,250
Nine,2009,251,251
The Blood of Fu Manchu,1968,252,252
Drums of Fu Manchu,1940,253,253
Radar Men from the Moon,1952,254,254
The Amazing Transparent Man,1960,255,255
Escape Plan,2013,256,256
Rambo,2008,257,257
First Blood,1982,258,258
Cop Land,1997,259,259
Little Women,1994,260,260
God the Father,2014,261,261
The Unbearable Lightness of Being,1988,262,262
Zero Dark Thirty,2012,263,263
The Labyrinth,2015,264,264
L.A. Slasher,2015,265,265
Horse Crazy,2001,266,266
Les Misérables,2012,267,267
Cloverfield,2008,268,268
Stars and Bars,1988,269,269
The Last of the Mohicans,1920,270,270
Trader Horn,1931,271,271
The Last of the Mohicans,1936,272,272
Bloodsucking Bastards,2015,273,273
Brother Orchid,1940,274,274
Leatherstocking,1924,275,275
Last of the Redmen,1947,276,276
Last Shift,2014,277,277
The Quiet,2005,278,278
Alice Doesn't Live Here Anymore,1974,279,279
Kundun,1997,280,280
The Last Temptation of Christ,1988,281,281
Bringing Out the Dead,1999,282,282
The King of Comedy,1982,283,283
"New York, New York",1977,284,284
In Search of a Midnight Kiss,2007,285,285
Dangerous Liaisons,1988,286,286
After Hours,1985,287,287
Stand by Me,1986,288,288
Body of Lies,2008,289,289
Wanted,2008,290,290
Beowulf,2007,291,291
The Man in the Iron Mask,1998,292,292
The TV Set,2006,293,293
Death Proof,2007,294,294
Sin City,2005,295,295
The Sixth Sense,1999,296,296
Robin Hood: Prince of Thieves,1991,297,297
A Walk to Remember,2002,298,298
The Ugly Truth,2009,299,299
27 Dresses,2008,300,300
Sydney White,2007,301,301
Ghosts of Girlfriends Past,2009,302,302
Valentine's Day,2010,303,303
"Definitely, Maybe",2008,304,304
Some Like It Hot,1959,305,305
Singin' in the Rain,1952,306,306
Die Hard: With a Vengeance,1995,307,307
A Good Day to Die Hard,2013,308,308
G.I. Joe: The Rise of Cobra,2009,309,309
Transformers,2007,310,310
Iron Man,2007 2008 2009,311,311
Captain America: The Winter Soldier,2014,312,312
The Amazing Spider-Man 2,2014,313,313
Independence Day: Resurgence,2016,314,314
Autumn in New York,2000,315,315
June,2015,316,316
Shall We Dance,2004,317,317
The Mutilator,1984,318,318
The Dorm That Dripped Blood,1982,319,319
Terror Train,1980,320,320
"Silent Night, Deadly Night",1984,321,321
Pieces,1982,322,322
Final Analysis,1992,323,323
Nights in Rodanthe,2008,324,324
Throw Momma from the Train,1987,325,325
Death Becomes Her,1992,326,326
White Squall,1996,327,327
Los Angeles Plays Itself,2003,328,328
G.I. Jane,1997,329,329
Legend,1985,330,330
Thelma & Louise,1991,331,331
Someone to Watch Over Me,1987,332,332
The Juror,1996,333,333
Up Close & Personal,1996,334,334
The Sentinel,2006,335,335
One Night at McCool's,2001,336,336
The Ides of March,2011,337,337
All Is Lost,2013,338,338
Enron: The Smartest Guys in the Room,2005,339,339
House II: The Second Story,1987,340,340
The Night Flier,1997,341,341
The Mangler,1995,342,342
Mimic,1997,343,343
K-PAX,2001,344,344
Inside Job,2010,345,345
A Most Violent Year,2014,346,346
Killing Season,2013,347,347
The Place Beyond the Pines,2012,348,348
Lawless,2012,349,349
Hick,2011 2012 2013,350,350
Syriana,2005,351,351
The Adjustment Bureau,2011,352,352
The Informant!,2009,353,353
Contagion,2011,354,354
Hereafter,2010,355,355
Invictus,2009,356,356
Red Eye,2005,357,357
Scream of the Bikini,2009,358,358
Mad Cowgirl,2006,359,359
Orphan,2009,360,360
Identity,2003,361,361
Pay It Forward,2000,362,362
Polyester,1981,363,363
A Time to Love and a Time to Die,1958,364,364
The Sea of Trees,2015,365,365
Magnificent Obsession,1954,366,366
All That Heaven Allows,1955,367,367
The Band Wagon,1953,368,368
There's Always Tomorrow,1956,369,369
The Tarnished Angels,1957,370,370
Imitation of Life,1959,371,371
Has Anybody Seen My Gal,1952,372,372
Bigger Than Life,1956,373,373
All I Desire,1953,374,374
Body Heat,1981,375,375
Wild Orchid,1989,376,376
Another Nine & a Half Weeks,1997,377,377
The Craft,1996,378,378
I Know What You Did Last Summer,1997,379,379
Cruel Intentions,1998 1999 2000,380,380
Wild Things: Diamonds in the Rough,2005,381,381
Scream,1996,382,382
Fallen Angel: The Outlaw Larry Norman,2009,383,383
Wheels,2014,384,384
Jack London's Love of Life,2012,385,385
The Lookalike,2014,386,386
The Specialist,1994,387,387
3 Nights in the Desert,2014,388,388
Amateur Porn Star Killer,2006,389,389
Laugh Killer Laugh,2015,390,390
Diabolique,1996,391,391
Sangre y arena,1989,392,392
Tab Hunter Confidential,2015,393,393
Can't Buy Me Love,1987,394,394
Only the Lonely,1991,395,395
Heartbreak Hotel,1988,396,396
Lucas,1986,397,397
License to Drive,1988,398,398
Some Kind of Wonderful,1987,399,399
The Great Outdoors,1988,400,400
Weird Science,1985,401,401
Innerspace,1987,402,402
Don't Tell Mom the Babysitter's Dead,1991,403,403
Mannequin,1987,404,404
Adult World,2013,405,405
That Awkward Moment,2014,406,406
Superbad,2007,407,407
