Release Date,Filming Locations,original_index,unique_index
8 September 1960 (USA),"Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA",0,0
19 July 1985 (USA),"Sanibel Island, Florida, USA",1,1
16 August 1940 (USA),"Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",2,2
27 June 2008 (USA),,3,3
29 August 2011 (USA),"Geneva, Canton de Genève, Switzerland",4,4
19 December 1969 (USA),"Place Gaillon, Paris 2, Paris, France",5,5
9 April 1976 (USA),"4254 Lexington Avenue, Los Angeles, California, USA",6,6
1 May 1987 (USA),"12890 E Main St, Humboldt, Arizona, USA",7,7
11 October 1985 (USA),"Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA",8,8
5 March 1992 (Germany),,9,9
1 February 1991 (USA),"New York City, New York, USA",10,10
10 January 2009 (USA),"Los Angeles, California, USA",11,11
4 January 2002 (USA),"144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",12,12
3 August 2007 (USA),"Berlin, Germany",13,13
20 March 1992 (USA),"1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA",14,14
10 May 2002 (USA),"Dobbs Ferry, New York, USA",15,15
25 July 2003 (USA),"Amboseli National Park, Kenya",16,16
7 May 1999 (USA),"Ait Benhaddou, Morocco",17,17
19 September 2003 (USA),"Budapest, Hungary",18,18
20 January 2006 (USA),"Britannia Beach, British Columbia, Canada",19,19
9 July 2010 (USA),,20,20
21 June 2013 (USA),"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",21,21
24 November 1999 (USA),"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",22,22
8 July 2010 (Portugal),"San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA",23,23
11 December 2009 (USA),USA,24,24
9 November 2012 (USA),"London, England, UK",25,25
21 August 1998 (USA),"Long Beach, California, USA",26,26
26 March 2010 (USA),,27,27
11 March 2006 (USA),"Portland, Oregon, USA",28,28
21 October 2016 (USA),"Louisiana, USA",29,29
5 December 2003 (USA),"Santa Clarita, California, USA",30,30
16 May 1986 (USA),"California, USA",31,31
2 October 1998 (USA),"Alameda, California, USA",32,32
16 December 1969 (USA),"Metro-North Station, Poughkeepsie, New York, USA",33,33
19 September 1968 (USA),"Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34,34
23 January 1943 (USA),"Hotel Monte Vista, Flagstaff, Arizona, USA",35,35
