Release Date,Language,original_index,unique_index
8 September 1960 (USA),English,0,0
19 July 1985 (USA),English,1,1
16 August 1940 (USA),"English,Dutch,Latvian",2,2
27 June 2008 (USA),English,3,3
29 August 2011 (USA),"English,French",4,4
19 December 1969 (USA),"English,Spanish,French,Russian",5,5
9 April 1976 (USA),English,6,6
1 May 1987 (USA),English,7,7
11 October 1985 (USA),English,8,8
5 March 1992 (Germany),English,9,9
1 February 1991 (USA),English,10,10
10 January 2009 (USA),English,11,11
4 January 2002 (USA),"English,Italian",12,12
3 August 2007 (USA),"English,French,Arabic,Russian,Spanish",13,13
20 March 1992 (USA),English,14,14
10 May 2002 (USA),"English,French",15,15
25 July 2003 (USA),"English,Mandarin",16,16
7 May 1999 (USA),"English,Egyptian (Ancient),Arabic",17,17
19 September 2003 (USA),English,18,18
20 January 2006 (USA),"English,French,Hungarian",19,19
9 July 2010 (USA),English,20,20
21 June 2013 (USA),English,21,21
24 November 1999 (USA),"English,Arabic,Spanish",22,22
8 July 2010 (Portugal),English,23,23
11 December 2009 (USA),"English,Spanish",24,24
9 November 2012 (USA),English,25,25
21 August 1998 (USA),"English,Russian",26,26
26 March 2010 (USA),English,27,27
11 March 2006 (USA),English,28,28
21 October 2016 (USA),English,29,29
5 December 2003 (USA),"English,Japanese",30,30
16 May 1986 (USA),English,31,31
2 October 1998 (USA),English,32,32
16 December 1969 (USA),English,33,33
19 September 1968 (USA),English,34,34
23 January 1943 (USA),"English,French,German,Italian",35,35
15 May 1968 (UK),"English,Russian",36,36
15 December 2000 (USA),English,37,37
30 October 1986 (Argentina),English,38,38
16 July 1999 (USA),English,39,39
12 June 1962 (USA),"English,French",40,40
19 March 1931 (USA),English,41,41
18 September 2015 (USA),English,42,42
28 February 2008 (Australia),English,43,43
7 August 2009 (USA),English,44,44
2011 (USA),English,45,45
13 July 2013 (USA),English,46,46
11 March 2006 (USA),English,47,28
,English,48,47
17 June 2014 (USA),English,49,48
14 March 2015 (USA),English,50,49
25 September 2015 (USA),English,51,50
3 June 1988 (USA),English,52,51
19 March 2004 (USA),"English,French",53,52
14 January 2000 (USA),English,54,53
24 September 2010 (USA),English,55,54
25 November 2009 (USA),"English,French",56,55
11 September 2015 (USA),English,57,56
"Nov 11, 2011 Wide","English,Greek",58,57
15 September 2015 (USA),English,59,58
"Aug 21, 2015 Limited",English,60,59
15 June 1990 (USA),English,61,60
4 June 1982 (USA),English,62,61
23 November 1988 (USA),English,63,62
23 July 2004 (USA),"English,Spanish",64,63
May 1985 (USA),English,65,64
14 June 2003 (USA),English,66,65
"Aug 18, 1972 Wide",English,67,66
25 June 1937 (USA),"English,Portuguese",68,67
25 December 1935 (USA),English,69,68
27 November 1943 (USA),English,70,69
23 November 1994 (USA),English,71,70
2 November 1964 (USA),English,72,71
3 July 1931 (USA),English,73,72
16 November 1951 (USA),English,74,73
6 May 1932 (USA),English,75,74
20 October 1933 (USA),English,76,75
31 January 1941 (USA),English,77,76
2 February 1945 (USA),English,78,77
21 February 1955 (Sweden),English,79,78
2 September 1928 (USA),English,80,79
18 December 1963 (USA),English,81,80
25 March 1964 (USA),English,82,81
11 February 1981 (USA),English,83,82
