Year,Release Date,original_index,unique_index
1960,8 September 1960 (USA),0,0
1985,19 July 1985 (USA),1,1
1940,16 August 1940 (USA),2,2
2007,27 June 2008 (USA),3,3
2010,29 August 2011 (USA),4,4
1969,19 December 1969 (USA),5,5
1976,9 April 1976 (USA),6,6
1987,1 May 1987 (USA),7,7
1985,11 October 1985 (USA),8,8
1991,5 March 1992 (Germany),9,9
1991,1 February 1991 (USA),10,10
2009,10 January 2009 (USA),11,11
2001,4 January 2002 (USA),12,12
2007,3 August 2007 (USA),13,13
1992,20 March 1992 (USA),14,14
2002,10 May 2002 (USA),15,15
2003,25 July 2003 (USA),16,16
1999,7 May 1999 (USA),17,17
2003,19 September 2003 (USA),18,18
2006,20 January 2006 (USA),19,19
2010,9 July 2010 (USA),20,20
2013,21 June 2013 (USA),21,21
1999,24 November 1999 (USA),22,22
2009,8 July 2010 (Portugal),23,23
2009,11 December 2009 (USA),24,24
2012,9 November 2012 (USA),25,25
1998,21 August 1998 (USA),26,26
2010,26 March 2010 (USA),27,27
2006,11 March 2006 (USA),28,28
2016,21 October 2016 (USA),29,29
2003,5 December 2003 (USA),30,30
1986,16 May 1986 (USA),31,31
1998,2 October 1998 (USA),32,32
1969,16 December 1969 (USA),33,33
1968,19 September 1968 (USA),34,34
1942,23 January 1943 (USA),35,35
1968,15 May 1968 (UK),36,36
2000,15 December 2000 (USA),37,37
1986,30 October 1986 (Argentina),38,38
1999,16 July 1999 (USA),39,39
1962,12 June 1962 (USA),40,40
1931,19 March 1931 (USA),41,41
2014,18 September 2015 (USA),42,42
2007,28 February 2008 (Australia),43,43
2008,7 August 2009 (USA),44,44
2011,2011 (USA),45,45
2013,13 July 2013 (USA),46,46
2006,11 March 2006 (USA),47,28
2012,,48,47
2014,17 June 2014 (USA),49,48
2015,14 March 2015 (USA),50,49
2013,25 September 2015 (USA),51,50
1988,3 June 1988 (USA),52,51
2004,19 March 2004 (USA),53,52
1999,14 January 2000 (USA),54,53
2010,24 September 2010 (USA),55,54
2009,25 November 2009 (USA),56,55
2015,11 September 2015 (USA),57,56
2010 2011 2012,"Nov 11, 2011 Wide",58,57
2015,15 September 2015 (USA),59,58
2014 2015 2016,"Aug 21, 2015 Limited",60,59
1990,15 June 1990 (USA),61,60
1982,4 June 1982 (USA),62,61
1988,23 November 1988 (USA),63,62
2004,23 July 2004 (USA),64,63
1985,May 1985 (USA),65,64
2003,14 June 2003 (USA),66,65
1971 1972 1973,"Aug 18, 1972 Wide",67,66
1937,25 June 1937 (USA),68,67
1935,25 December 1935 (USA),69,68
1943,27 November 1943 (USA),70,69
1994,23 November 1994 (USA),71,70
1964,2 November 1964 (USA),72,71
1931,3 July 1931 (USA),73,72
1951,16 November 1951 (USA),74,73
1932,6 May 1932 (USA),75,74
1933,20 October 1933 (USA),76,75
1941,31 January 1941 (USA),77,76
1945,2 February 1945 (USA),78,77
1955,21 February 1955 (Sweden),79,78
1927,2 September 1928 (USA),80,79
1963,18 December 1963 (USA),81,80
1964,25 March 1964 (USA),82,81
1981,11 February 1981 (USA),83,82
1984,September 1984 (UK),84,83
1981,18 December 1981 (USA),85,84
1963,29 May 1963 (USA),86,85
1941,December 1941 (USA),87,86
1940,22 October 1940 (USA),88,87
1940,23 March 1940 (USA),89,88
1939,18 August 1939 (USA),90,89
1961,15 February 1962 (Japan),91,90
1936,12 April 1936 (USA),92,91
1931,31 October 1931 (USA),93,92
1931,7 August 1931 (USA),94,93
1932,25 March 1932 (USA),95,94
1933,December 1933 (UK),96,95
1932,29 October 1932 (USA),97,96
1933,30 June 1933 (USA),98,97
1933,17 June 1933 (USA),99,98
1933,28 October 1933 (USA),100,99
1939,17 November 1939 (USA),101,100
1941,23 May 1941 (USA),102,101
1934,9 November 1934 (USA),103,102
1941,November 1941 (USA),104,103
1980,21 November 1980 (USA),105,104
2017,2017 (USA),106,105
1989,7 July 1989 (USA),107,106
1999,4 August 1999 (France),108,107
1994,18 June 1994 (USA),109,108
1990,5 October 1990 (USA),110,109
1997,26 November 1997 (USA),111,110
1942,31 October 1942 (USA),112,111
1959,September 1959 (Austria),113,112
2015,28 August 2015 (USA),114,113
2000,1 September 2000 (USA),115,114
1940,15 March 1940 (USA),116,115
1959,26 December 1959 (UK),117,116
1968,3 April 1968 (USA),118,117
1971,1 August 1971 (USA),119,118
1972,10 March 1972 (USA),120,119
1983,3 June 1983 (USA),121,120
2013,5 April 2013 (USA),122,121
2006,27 October 2006 (USA),123,122
2006,10 February 2006 (USA),124,123
2009,28 August 2009 (USA),125,124
1988,15 January 1988 (USA),126,125
1986,22 August 1986 (USA),127,126
1986,24 October 1986 (USA),128,127
2011,11 April 2013 (Argentina),129,128
2012,20 July 2012 (USA),130,129
1984,14 December 1984 (USA),131,130
2011,11 March 2011 (USA),132,131
2009,12 October 2012 (USA),133,132
2001,10 August 2001 (USA),134,133
1981,12 June 1981 (USA),135,134
1970,22 October 1970 (USA),136,135
1959,16 December 1959 (USA),137,136
1931,14 February 1931 (USA),138,137
1933,7 April 1933 (USA),139,138
2004,11 June 2004 (USA),140,139
2010,5 March 2010 (USA),141,140
2004,4 June 2004 (USA),142,141
2001,18 May 2001 (USA),143,142
1994,24 June 1994 (USA),144,143
1991,22 November 1991 (USA),145,144
1999,18 June 1999 (USA),146,145
2000,15 December 2000 (USA),147,37
2003,1 November 2003 (USA),148,146
2000,31 March 2000 (USA),149,147
2004,1 October 2004 (USA),150,148
2006,17 November 2006 (USA),151,149
2011,4 March 2011 (USA),152,150
2009,18 September 2009 (USA),153,151
2008,7 November 2008 (USA),154,152
1961,23 December 1961 (Japan),155,153
1978,26 May 1978 (France),156,154
1979,5 October 1979 (USA),157,155
1977,June 1978 (Austria),158,156
1974,30 August 1974 (USA),159,157
1977 1978 1979,"Jun 28, 1978 Wide",160,158
1990 1991 1992,"Dec 13, 1991 Wide",161,159
1992,25 December 1992 (USA),162,160
2001,19 January 2001 (USA),163,161
1995,8 December 1995 (USA),164,162
1991,8 February 1991 (USA),165,163
1984,27 January 1984 (USA),166,164
1981,1 January 1982 (USA),167,165
1935 1936 1937,"Nov 25, 1936 Limited",168,166
1942,8 May 1942 (USA),169,167
1939,10 November 1939 (USA),170,168
1955,1 October 1955 (USA),171,169
1944,10 July 1944 (UK),172,170
1945,20 December 1945 (USA),173,171
1947 1948 1949,"Mar 9, 1948 Wide",174,172
1976,20 August 1976 (USA),175,173
1965,1 July 1965 (USA),176,174
1960,7 November 1960 (USA),177,175
1963,12 June 1963 (USA),178,176
1962,19 June 1962 (USA),179,177
2010,21 January 2011 (USA),180,178
2006,24 May 2007 (Germany),181,179
1995,16 June 1995 (USA),182,180
1997 1998 1999,"Feb 13, 1998 Wide",183,181
2015,2 September 2015 (USA),184,182
2013,3 October 2013 (Portugal),185,183
1987,7 August 1987 (USA),186,184
1985,12 April 1985 (USA),187,185
2008,,188,186
1958,18 December 1958 (USA),189,187
2008,31 October 2008 (USA),190,188
2000,26 April 2002 (USA),191,189
2013,20 April 2013 (USA),192,190
2001,24 August 2001 (USA),193,191
2004,26 March 2004 (USA),194,192
2010,26 February 2010 (USA),195,193
2008,2008 (USA),196,194
2015,18 September 2015 (USA),197,195
1980,18 August 1980 (Australia),198,196
1983,25 March 1983 (USA),199,197
1983,21 October 1983 (USA),200,198
1992,22 May 1992 (USA),201,199
1987,31 July 1987 (USA),202,200
1991,8 February 1991 (USA),203,163
2010,13 August 2010 (USA),204,201
2011,1 July 2011 (USA),205,202
2009,20 March 2009 (USA),206,203
2009,13 February 2009 (USA),207,204
2006,24 March 2006 (USA),208,205
1973,October 1973 (USA),209,206
1973,1973 (UK),210,207
1980,10 October 1980 (Finland),211,208
2004,23 April 2004 (USA),212,209
1972,23 March 1973 (Finland),213,210
2010,12 November 2010 (USA),214,211
2013,20 September 2013 (USA),215,212
1998,10 July 1998 (USA),216,213
2015,17 July 2015 (USA),217,214
1970,7 October 1970 (USA),218,215
1974,13 March 1975 (Mexico),219,216
