Actors,original_index,unique_index
"Anthony Perkins,Janet Leigh,Vera Miles",0,0
"Lori Cardille,Terry Alexander,Joseph Pilato",1,1
"Joel McCrea,Laraine Day,Herbert Marshall",2,2
"Dalton Trumbo,Joan Allen,Brian Dennehy",3,3
"Joe Nussbaum,Daryl Frazetti,Doug Jones",4,4
"Frederick Stafford,Dany Robin,John Vernon",5,5
"Karen Black,Bruce Dern,Barbara Harris",6,6
"George Kennedy,Lois Chiles,Domenick John",7,7
"Gary Busey,Everett McGill,Corey Haim",8,8
"Kevin Bacon,Kyra Sedgwick,Bruce Payne",9,9
"Kevin Bacon,Linda Fiorentino,John Malkovich",10,10
"Allison Anders,Jane Anderson,Doug Atchison",11,11
"Gene Hackman,Gwyneth Paltrow,Anjelica Huston",12,12
"Matt Damon,Édgar Ramírez,Joan Allen",13,13
"Michael Douglas,Sharon Stone,George Dzundza",14,14
"Richard Gere,Diane Lane,Olivier Martinez",15,15
"Angelina Jolie,Gerard Butler,Chris Barrie",16,16
"Brendan Fraser,Rachel Weisz,John Hannah",17,17
"Kate Beckinsale,Scott Speedman,Shane Brolly",18,18
"Kate Beckinsale,Scott Speedman,Bill Nighy",19,19
"Steve Carell,Jason Segel,Russell Brand",20,20
"Billy Crystal,John Goodman,Steve Buscemi",21,21
"Tom Hanks,Tim Allen,Joan Cusack",22,22
"Michael Shannon,Willem Dafoe,Chloë Sevigny",23,23
"Nicolas Cage,Eva Mendes,Russell M. Haeuser",24,24
"Daniel Craig,Javier Bardem,Naomie Harris",25,25
"Wesley Snipes,Stephen Dorff,Kris Kristofferson",26,26
"Ernest Adams,Scott Adams,Hollywood Anderson",27,27
"Bill Carlton,Robert Mruczek,Terry Nelson",28,28
"Tom Cruise,Cobie Smulders,Danika Yarosh",29,29
"Tom Cruise,Ken Watanabe,Billy Connolly",30,30
"Tom Cruise,Tim Robbins,Kelly McGillis",31,31
"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra",32,32
"Barbra Streisand,Walter Matthau,Michael Crawford",33,33
"Barbra Streisand,Omar Sharif,Kay Medford",34,34
"Humphrey Bogart,Ingrid Bergman,Paul Henreid",35,35
"Keir Dullea,Gary Lockwood,William Sylvester",36,36
"Ellen Burstyn,Jared Leto,Jennifer Connelly",37,37
"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper",38,38
"Tom Cruise,Nicole Kidman,Todd Field",39,39
"James Mason,Shelley Winters,Sue Lyon",40,40
"Anne Chevalier,Matahi,Hitu",41,41
"Elijah Wood,Rainn Wilson,Alison Pill",42,42
"Steve Wiebe,Billy Mitchell,Mark Alpiger",43,43
"Dan Bustard,Ashley Esqueda,Andrew Monkelban",44,44
"Thor Aackerlund,Pat Contri,Harry Hong",45,45
"Bryan Armitage,Nathan Barnatt,Chris Connally",46,46
