Director,original_index,unique_index
Alfred Hitchcock,0,0
George A. Romero,1,1
Alfred Hitchcock,2,0
Peter Askin,3,2
Alexandre O. Philippe,4,3
Alfred Hitchcock,5,0
Alfred Hitchcock,6,0
Michael Gornick,7,4
Daniel Attias,8,5
Noah Stern,9,6
Steve Rash,10,7
Peter Hanson,11,8
Wes Anderson,12,9
Paul Greengrass,13,10
Paul Verhoeven,14,11
Adrian Lyne,15,12
Jan de Bont,16,13
Stephen Sommers,17,14
Len Wiseman,18,15
Len Wiseman,19,15
"Pierre Coffin,Chris Renaud",20,16
Dan Scanlon,21,17
"John Lasseter,Ash Brannon",22,18
Werner Herzog,23,19
Werner Herzog,24,19
Sam Mendes,25,20
Stephen Norrington,26,21
Jason Scott Sadofsky,27,22
Jeremy Mack,28,23
Edward Zwick,29,24
Edward Zwick,30,24
Tony Scott,31,25
Vincent Ward,32,26
Gene Kelly,33,27
William Wyler,34,28
Michael Curtiz,35,29
Stanley Kubrick,36,30
Darren Aronofsky,37,31
David Lynch,38,32
Stanley Kubrick,39,30
Stanley Kubrick,40,30
F.W. Murnau,41,33
"Jonathan Milott,Cary Murnion",42,34
Seth Gordon,43,35
Juan Carlos Pineiro Escoriaza,44,36
Adam Cornelius,45,37
Dave Danzara,46,38
"Luke Meyer,Andrew Neel",47,39
Jeff Von Ward,48,40
Sean Tiedeman,49,41
Ross Partridge,50,42
Eli Roth,51,43
Penny Marshall,52,44
D.J. Caruso,53,45
James Mangold,54,46
Zack Snyder,55,47
Wes Anderson,56,9
David M. Rosenthal,57,48
"Tarsem Singh,Tarsem Singh Dhandwar",58,49
"Matt Duffer,Ross Duffer",59,50
Nima Nourizadeh,60,51
Joe Dante,61,52
Tobe Hooper,62,53
Richard Donner,63,54
Pitof,64,55
Greydon Clark,65,56
Lisa France,66,57
Martin Ritt,67,58
Victor Fleming,68,59
Alfred E. Green,69,60
Vincent Sherman,70,61
Ivan Reitman,71,62
Edward Dmytryk,72,63
