Genre,original_index,unique_index
"Horror,Mystery,Thriller",0,0
"Action,Drama,Horror",1,1
"Romance,Thriller,War",2,2
"Documentary,Biography",3,3
"Documentary,Comedy",4,4
Thriller,5,5
"Comedy,Thriller",6,6
"Comedy,Horror,Thriller",7,7
"Drama,Horror",8,8
"Comedy,Romance",9,9
"Comedy,Drama",10,10
Documentary,11,11
"Comedy,Drama",12,10
"Action,Thriller",13,12
"Drama,Mystery,Thriller",14,13
"Drama,Romance,Thriller",15,14
"Action,Adventure,Fantasy",16,15
"Action,Adventure,Fantasy",17,15
"Action,Fantasy",18,16
"Action,Fantasy,Sci-Fi",19,17
"Animation,Comedy,Family",20,18
"Animation,Adventure,Comedy",21,19
"Animation,Adventure,Comedy",22,19
"Drama,Thriller",23,20
"Crime,Drama",24,21
"Action,Adventure,Thriller",25,22
"Action,Horror",26,23
Documentary,27,11
Documentary,28,11
"Action,Crime,Drama",29,24
"Action,Drama,History",30,25
"Action,Drama,Romance",31,26
"Drama,Fantasy,Romance",32,27
"Comedy,Musical,Romance",33,28
"Biography,Comedy,Drama",34,29
"Drama,Film-Noir,Romance",35,30
"Mystery,Sci-Fi",36,31
Drama,37,32
"Crime,Drama,Mystery",38,33
"Drama,Mystery,Thriller",39,13
"Drama,Romance",40,34
"Drama,Romance,Adventure",41,35
"Action,Comedy,Horror",42,36
"Documentary,Biography,Sport",43,37
Documentary,44,11
Documentary,45,11
"Documentary,Biography,Sport",46,37
"Documentary,Fantasy",47,38
"Documentary,Biography,History",48,39
Documentary,49,11
Drama,50,32
"Adventure,Horror",51,40
"Comedy,Drama,Fantasy",52,41
"Crime,Mystery,Thriller",53,42
"Biography,Drama",54,43
"Animation,Adventure,Fantasy",55,44
"Animation,Adventure,Comedy",56,19
"Drama,Thriller",57,20
"Classics,Action & Adventure",58,45
"Horror,Thriller",59,46
"Action & Adventure,Comedy",60,47
"Comedy,Horror",61,48
Horror,62,49
"Comedy,Drama,Fantasy",63,41
Action,64,50
"Action,Crime,Drama",65,24
Drama,66,32
"Drama,Kids & Family,Classics",67,51
"Adventure,Drama,Family",68,52
Drama,69,32
"Drama,Romance",70,34
"Comedy,Romance,Sci-Fi",71,53
Drama,72,32
Drama,73,32
"Crime,Drama,Film-Noir",74,54
Thriller,75,5
Comedy,76,55
"Comedy,Musical",77,56
"Comedy,Music,Musical",78,57
Comedy,79,55
"Drama,History",80,58
"Adventure,Drama,History",81,59
"Adventure,Romance,Drama",82,60
"Adventure,Mystery,Thriller",83,61
"Drama,Romance",84,34
"Drama,Romance,Thriller",85,14
Drama,86,32
"Adventure,Comedy,Drama",87,62
"Action,Adventure,Drama",88,63
"Action,Drama,History",89,25
"Adventure,Drama,History",90,59
"Comedy,Drama",91,10
"Comedy,Drama,Romance",92,64
"Comedy,Romance",93,9
"Drama,Romance",94,34
"Drama,Romance",95,34
"Drama,Romance",96,34
"Crime,Drama,Romance",97,65
"Crime,Drama,Romance",98,65
"Drama,War",99,66
Mystery,100,67
"Comedy,Mystery,Drama",101,68
"Comedy,Romance",102,9
"Drama,Mystery,Romance",103,69
"Comedy,Romance,Drama",104,70
"Comedy,Fantasy,Music",105,71
"Animation,Adventure,Comedy",106,19
"Action,Crime,Thriller",107,72
"Crime,Drama,Mystery",108,33
"Crime,Drama,Thriller",109,73
"Crime,Drama,Thriller",110,73
"Comedy,Family,Sci-Fi",111,74
"Drama,Romance",112,34
"Crime,Drama,Mystery",113,33
Drama,114,32
"Action,Adventure,Fantasy",115,15
Drama,116,32
"Adventure,Drama,History",117,59
"Adventure,Sci-Fi",118,75
"Action,Sci-Fi",119,76
"Drama,Sci-Fi",120,77
"Sci-Fi,Thriller",121,78
Horror,122,49
"Horror,Mystery",123,79
"Horror,Thriller",124,46
"Horror,Thriller",125,46
"Comedy,Horror",126,48
"Comedy,Horror,Sci-Fi",127,80
"Comedy,Horror,Sci-Fi",128,80
"Drama,Horror,Mystery",129,81
"Action,Thriller",130,12
"Action,Adventure,Sci-Fi",131,82
"Action,Sci-Fi",132,76
Crime,133,83
"Animation,Action,Adventure",134,84
"Adventure,Family,Fantasy",135,85
Horror,136,49
"Adventure,Horror",137,40
Horror,138,49
"Adventure,Fantasy",139,86
"Documentary,Comedy,Drama",140,87
"Adventure,Family,Fantasy",141,85
