Id,original_index,unique_index
tt0054215,0,0
tt0088993,1,1
tt0032484,2,2
tt0889671,3,3
tt1325014,4,4
tt0065112,5,5
tt0074512,6,6
tt0092796,7,7
tt0090021,8,8
tt0102733,9,9
tt0102741,10,10
tt1045642,11,11
tt0265666,12,12
tt0440963,13,13
tt0103772,14,14
tt0250797,15,15
tt0325703,16,16
tt0120616,17,17
tt0320691,18,18
tt0401855,19,19
tt1323594,20,20
tt1453405,21,21
tt0120363,22,22
tt1233219,23,23
tt1095217,24,24
tt1074638,25,25
tt0120611,26,26
tt1756529,27,27
tt0808299,28,28
tt3393786,29,29
tt0325710,30,30
tt0092099,31,31
tt0120889,32,32
tt0064418,33,33
tt0062994,34,34
tt0034583,35,35
tt0062622,36,36
tt0180093,37,37
tt0090756,38,38
tt0120663,39,39
tt0056193,40,40
tt0022458,41,41
tt2490326,42,42
tt0923752,43,43
tt1183696,44,44
tt1836974,45,45
tt2312464,46,46
tt0462246,47,47
tt2427898,48,48
tt2395228,49,49
tt3908598,50,50
tt2403021,51,51
tt0094737,52,52
tt0364045,53,53
tt0172493,54,54
tt1219342,55,55
tt0432283,56,56
tt3862750,57,57
immortals_2011,58,58
tt2131532,59,59
american_ultra,60,60
tt0099700,61,61
tt0084516,62,62
tt0096061,63,63
tt0327554,64,64
tt0087258,65,65
tt0315775,66,66
sounder,67,67
tt0028691,68,68
tt0026261,69,69
tt0036230,70,70
tt0110216,71,71
tt0058745,72,72
tt0022481,73,73
tt0044166,74,74
tt0023406,75,75
tt0024320,76,76
tt0033436,77,77
tt0037771,78,78
tt0047794,79,79
tt0018524,80,80
tt0057225,81,81
tt0058104,82,82
tt0083113,83,83
tt0086992,84,84
tt0081974,85,85
tt0057163,86,86
tt0034240,87,87
tt0032850,88,88
tt0033226,89,89
tt0031973,90,90
tt0055312,91,91
tt0027996,92,92
tt0022268,93,93
tt0022153,94,94
tt0023464,95,95
tt0023775,96,96
tt0023590,97,97
tt0024334,98,98
tt0024115,99,99
tt0024210,100,100
tt0031047,101,101
tt0033852,102,102
tt0025091,103,103
tt0034172,104,104
tt0080380,105,105
tt3486626,106,106
tt0097733,107,107
tt0165854,108,108
tt0110308,109,109
tt0100150,110,110
tt0119137,111,111
tt0035140,112,112
tt0052561,113,113
tt3832914,114,114
tt0144964,115,115
tt0032551,116,116
tt0052618,117,117
tt0063442,118,118
tt0067525,119,119
tt0067756,120,120
tt0086567,121,121
tt1288558,122,122
tt0489270,123,123
tt0414982,124,124
tt1144884,125,125
tt0095990,126,126
tt0091630,127,127
tt0091083,128,128
tt1610996,129,129
tt1345836,130,130
tt0087182,131,131
tt1217613,132,132
tt2470938,133,133
tt0181739,134,134
tt0082186,135,135
tt0066518,136,136
tt0053085,137,137
tt0021814,138,138
tt0024216,139,139
tt0390521,140,140
tt1014759,141,141
tt0304141,142,142
tt0126029,143,143
tt0110357,144,144
tt0101414,145,145
tt0120855,146,146
tt0120917,147,147
tt0328880,148,148
tt0138749,149,149
tt0307453,150,150
tt0366548,151,151
tt1192628,152,152
tt0844471,153,153
tt0479952,154,154
