ReviewCount,original_index,unique_index
"976 user,290 critic",0,0
"414 user,177 critic",1,1
"124 user,73 critic",2,2
"14 user,33 critic",3,3
"27 user,49 critic",4,4
"86 user,46 critic",5,5
"107 user,64 critic",6,6
"117 user,92 critic",7,7
"121 user,75 critic",8,8
"4 user,1 critic",9,9
"16 user,6 critic",10,10
"8 user,29 critic",11,11
"963 user,215 critic",12,12
"811 user,323 critic",13,13
"290 user,117 critic",14,14
"526 user,152 critic",15,15
"318 user,155 critic",16,16
"964 user,187 critic",17,17
"800 user,225 critic",18,18
"498 user,205 critic",19,19
"284 user,297 critic",20,20
"254 user,371 critic",21,21
"501 user,188 critic",22,22
"46 user,118 critic",23,23
"208 user,274 critic",24,24
"1,467 user,731 critic",25,25
"572 user,179 critic",26,26
"4 user,3 critic",27,27
"2 user,3 critic",28,28
,29,29
"922 user,189 critic",30,30
"379 user,161 critic",31,31
"615 user,122 critic",32,32
"106 user,27 critic",33,33
"75 user,51 critic",34,34
"1,067 user,233 critic",35,35
"1,679 user,274 critic",36,36
"1,898 user,228 critic",37,37
"669 user,171 critic",38,38
"1,484 user,272 critic",39,39
"203 user,99 critic",40,40
"19 user,33 critic",41,41
"34 user,68 critic",42,42
"100 user,154 critic",43,43
"5 user,18 critic",44,44
"5 user,4 critic",45,45
3 user,46,46
"13 user,17 critic",47,47
"1 user,2 critic",48,48
"5 user,10 critic",49,49
11 critic,50,50
"47 user,149 critic",51,51
"191 user,97 critic",52,52
"310 user,141 critic",53,53
"380 user,133 critic",54,54
"158 user,188 critic",55,55
"238 user,324 critic",56,56
"18 user,27 critic",57,57
"397 user,278 critic",58,58
"21 user,6 critic",59,59
"74 user,180 critic",60,60
"140 user,103 critic",61,61
"315 user,209 critic",62,62
"150 user,85 critic",63,63
"646 user,209 critic",64,64
"49 user,7 critic",65,65
"21 user,1 critic",66,66
"23 user,19 critic",67,67
"72 user,34 critic",68,68
"28 user,16 critic",69,69
"26 user,12 critic",70,70
"69 user,31 critic",71,71
"32 user,14 critic",72,72
"6 user,1 critic",73,73
"12 user,2 critic",74,74
"8 user,1 critic",75,75
"15 user,4 critic",76,76
"46 user,18 critic",77,77
"15 user,3 critic",78,78
"18 user,6 critic",79,79
"19 user,3 critic",80,80
"48 user,14 critic",81,81
12 user,82,82
"21 user,4 critic",83,83
"13 user,12 critic",84,84
"72 user,22 critic",85,85
"119 user,61 critic",86,86
"127 user,107 critic",87,87
"19 user,4 critic",88,88
"30 user,14 critic",89,89
"15 user,5 critic",90,90
"39 user,21 critic",91,91
"109 user,47 critic",92,92
"49 user,21 critic",93,93
"29 user,15 critic",94,94
