Country,Genre,original_index,unique_index
USA,"Horror,Mystery,Thriller",0,0
USA,"Action,Drama,Horror",1,1
USA,"Romance,Thriller,War",2,2
USA,"Documentary,Biography",3,3
"USA,UK","Documentary,Comedy",4,4
USA,Thriller,5,5
USA,"Comedy,Thriller",6,6
USA,"Comedy,Horror,Thriller",7,7
"USA,Netherlands","Drama,Horror",8,8
USA,"Comedy,Romance",9,9
USA,"Comedy,Drama",10,10
USA,Documentary,11,11
USA,"Comedy,Drama",12,10
"USA,Germany","Action,Thriller",13,12
"France,USA","Drama,Mystery,Thriller",14,13
"USA,Germany,France","Drama,Romance,Thriller",15,14
"USA,Germany,Japan,UK","Action,Adventure,Fantasy",16,15
USA,"Action,Adventure,Fantasy",17,16
"UK,Germany,Hungary,USA","Action,Fantasy",18,17
USA,"Action,Fantasy,Sci-Fi",19,18
USA,"Animation,Comedy,Family",20,19
USA,"Animation,Adventure,Comedy",21,20
USA,"Animation,Adventure,Comedy",22,20
"USA,Germany","Drama,Thriller",23,21
USA,"Crime,Drama",24,22
"UK,USA","Action,Adventure,Thriller",25,23
USA,"Action,Horror",26,24
USA,Documentary,27,11
USA,Documentary,28,11
USA,"Action,Crime,Drama",29,25
"USA,New Zealand,Japan","Action,Drama,History",30,26
USA,"Action,Drama,Romance",31,27
"USA,New Zealand","Drama,Fantasy,Romance",32,28
USA,"Comedy,Musical,Romance",33,29
USA,"Biography,Comedy,Drama",34,30
USA,"Drama,Film-Noir,Romance",35,31
"USA,UK","Mystery,Sci-Fi",36,32
USA,Drama,37,33
USA,"Crime,Drama,Mystery",38,34
"UK,USA","Drama,Mystery,Thriller",39,35
"UK,USA","Drama,Romance",40,36
USA,"Drama,Romance,Adventure",41,37
USA,"Action,Comedy,Horror",42,38
USA,"Documentary,Biography,Sport",43,39
USA,Documentary,44,11
USA,Documentary,45,11
USA,"Documentary,Biography,Sport",46,39
USA,"Documentary,Fantasy",47,40
USA,"Documentary,Biography,History",48,41
USA,Documentary,49,11
USA,Drama,50,33
"Chile,USA","Adventure,Horror",51,42
USA,"Comedy,Drama,Fantasy",52,43
"USA,Australia","Crime,Mystery,Thriller",53,44
"USA,Germany","Biography,Drama",54,45
"USA,Australia","Animation,Adventure,Fantasy",55,46
USA,"Animation,Adventure,Comedy",56,20
USA,"Drama,Thriller",57,47
USA,"Classics,Action & Adventure",58,48
USA,"Horror,Thriller",59,49
"USA,Switzerland","Action & Adventure,Comedy",60,50
USA,"Comedy,Horror",61,51
USA,Horror,62,52
USA,"Comedy,Drama,Fantasy",63,43
USA,Action,64,53
"USA,Italy","Action,Crime,Drama",65,54
USA,Drama,66,33
USA,"Drama,Kids & Family,Classics",67,55
USA,"Adventure,Drama,Family",68,56
USA,Drama,69,33
USA,"Drama,Romance",70,57
USA,"Comedy,Romance,Sci-Fi",71,58
USA,Drama,72,33
USA,Drama,73,33
USA,"Crime,Drama,Film-Noir",74,59
USA,Thriller,75,5
USA,Comedy,76,60
USA,"Comedy,Musical",77,61
USA,"Comedy,Music,Musical",78,62
USA,Comedy,79,60
USA,"Drama,History",80,63
USA,"Adventure,Drama,History",81,64
"Japan,USA","Adventure,Romance,Drama",82,65
"USA,Netherlands","Adventure,Mystery,Thriller",83,66
"UK,USA","Drama,Romance",84,36
USA,"Drama,Romance,Thriller",85,67
USA,Drama,86,33
USA,"Adventure,Comedy,Drama",87,68
USA,"Action,Adventure,Drama",88,69
USA,"Action,Drama,History",89,70
USA,"Adventure,Drama,History",90,64
USA,"Comedy,Drama",91,10
USA,"Comedy,Drama,Romance",92,71
USA,"Comedy,Romance",93,9
USA,"Drama,Romance",94,57
USA,"Drama,Romance",95,57
USA,"Drama,Romance",96,57
USA,"Crime,Drama,Romance",97,72
USA,"Crime,Drama,Romance",98,72
USA,"Drama,War",99,73
USA,Mystery,100,74
USA,"Comedy,Mystery,Drama",101,75
USA,"Comedy,Romance",102,9
USA,"Drama,Mystery,Romance",103,76
USA,"Comedy,Romance,Drama",104,77
"USA,West Germany","Comedy,Fantasy,Music",105,78
"Canada,USA,South Korea","Animation,Adventure,Comedy",106,79
USA,"Action,Crime,Thriller",107,80
USA,"Crime,Drama,Mystery",108,34
"UK,USA","Crime,Drama,Thriller",109,81
USA,"Crime,Drama,Thriller",110,82
USA,"Comedy,Family,Sci-Fi",111,83
USA,"Drama,Romance",112,57
USA,"Crime,Drama,Mystery",113,34
USA,Drama,114,33
USA,"Action,Adventure,Fantasy",115,16
USA,Drama,116,33
USA,"Adventure,Drama,History",117,64
