Creator,Actors,original_index,unique_index
"Joseph Stefano,Robert Bloch","Anthony Perkins,Janet Leigh,Vera Miles",0,0
George A. Romero,"Lori Cardille,Terry Alexander,Joseph Pilato",1,1
"Charles Bennett,Joan Harrison","Joel McCrea,Laraine Day,Herbert Marshall",2,2
"Christopher Trumbo,Christopher Trumbo","Dalton Trumbo,Joan Allen,Brian Dennehy",3,3
Alexandre O. Philippe,"Joe Nussbaum,Daryl Frazetti,Doug Jones",4,4
"Leon Uris,Samuel A. Taylor","Frederick Stafford,Dany Robin,John Vernon",5,5
"Ernest Lehman,Victor Canning","Karen Black,Bruce Dern,Barbara Harris",6,6
"Stephen King,George A. Romero","George Kennedy,Lois Chiles,Domenick John",7,7
"Stephen King,Stephen King","Gary Busey,Everett McGill,Corey Haim",8,8
Noah Stern,"Kevin Bacon,Kyra Sedgwick,Bruce Payne",9,9
"Tony Spiridakis,Joseph W. Savino","Kevin Bacon,Linda Fiorentino,John Malkovich",10,10
"Peter Hanson,Paul Robert Herman","Allison Anders,Jane Anderson,Doug Atchison",11,11
"Wes Anderson,Owen Wilson","Gene Hackman,Gwyneth Paltrow,Anjelica Huston",12,12
"Tony Gilroy,Scott Z. Burns","Matt Damon,Édgar Ramírez,Joan Allen",13,13
Joe Eszterhas,"Michael Douglas,Sharon Stone,George Dzundza",14,14
"Claude Chabrol,Alvin Sargent","Richard Gere,Diane Lane,Olivier Martinez",15,15
"Dean Georgaris,Steven E. de Souza","Angelina Jolie,Gerard Butler,Chris Barrie",16,16
"Stephen Sommers,Lloyd Fonvielle","Brendan Fraser,Rachel Weisz,John Hannah",17,17
"Kevin Grevioux,Len Wiseman","Kate Beckinsale,Scott Speedman,Shane Brolly",18,18
"Danny McBride,Len Wiseman","Kate Beckinsale,Scott Speedman,Bill Nighy",19,19
"Cinco Paul,Ken Daurio","Steve Carell,Jason Segel,Russell Brand",20,20
"Dan Scanlon,Daniel Gerson","Billy Crystal,John Goodman,Steve Buscemi",21,21
"John Lasseter,Pete Docter","Tom Hanks,Tim Allen,Joan Cusack",22,22
"Herbert Golder,Werner Herzog","Michael Shannon,Willem Dafoe,Chloë Sevigny",23,23
"William M. Finkelstein,Victor Argo","Nicolas Cage,Eva Mendes,Russell M. Haeuser",24,24
"Neal Purvis,Robert Wade","Daniel Craig,Javier Bardem,Naomie Harris",25,25
David S. Goyer,"Wesley Snipes,Stephen Dorff,Kris Kristofferson",26,26
Jason Scott Sadofsky,"Ernest Adams,Scott Adams,Hollywood Anderson",27,27
,"Bill Carlton,Robert Mruczek,Terry Nelson",28,28
"Lee Child,Marshall Herskovitz","Tom Cruise,Cobie Smulders,Danika Yarosh",29,29
"John Logan,John Logan","Tom Cruise,Ken Watanabe,Billy Connolly",30,30
"Jim Cash,Jack Epps Jr.","Tom Cruise,Tim Robbins,Kelly McGillis",31,31
"Richard Matheson,Ronald Bass","Robin Williams,Cuba Gooding Jr.,Annabella Sciorra",32,32
"Michael Stewart,Thornton Wilder","Barbra Streisand,Walter Matthau,Michael Crawford",33,33
"Isobel Lennart,Isobel Lennart","Barbra Streisand,Omar Sharif,Kay Medford",34,34
"Julius J. Epstein,Philip G. Epstein","Humphrey Bogart,Ingrid Bergman,Paul Henreid",35,35
"Stanley Kubrick,Arthur C. Clarke","Keir Dullea,Gary Lockwood,William Sylvester",36,36
"Hubert Selby Jr.,Hubert Selby Jr.","Ellen Burstyn,Jared Leto,Jennifer Connelly",37,37
David Lynch,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper",38,38
"Stanley Kubrick,Frederic Raphael","Tom Cruise,Nicole Kidman,Todd Field",39,39
"Vladimir Nabokov,Vladimir Nabokov","James Mason,Shelley Winters,Sue Lyon",40,40
"F.W. Murnau,Robert J. Flaherty","Anne Chevalier,Matahi,Hitu",41,41
"Leigh Whannell,Ian Brennan","Elijah Wood,Rainn Wilson,Alison Pill",42,42
