Director,Actors,original_index,unique_index
Alfred Hitchcock,"Anthony Perkins,Janet Leigh,Vera Miles",0,0
George A. Romero,"Lori Cardille,Terry Alexander,Joseph Pilato",1,1
Alfred Hitchcock,"Joel McCrea,Laraine Day,Herbert Marshall",2,2
Peter Askin,"Dalton Trumbo,Joan Allen,Brian Dennehy",3,3
Alexandre O. Philippe,"Joe Nussbaum,Daryl Frazetti,Doug Jones",4,4
Alfred Hitchcock,"Frederick Stafford,Dany Robin,John Vernon",5,5
Alfred Hitchcock,"Karen Black,Bruce Dern,Barbara Harris",6,6
Michael Gornick,"George Kennedy,Lois Chiles,Domenick John",7,7
Daniel Attias,"Gary Busey,Everett McGill,Corey Haim",8,8
Noah Stern,"Kevin Bacon,Kyra Sedgwick,Bruce Payne",9,9
Steve Rash,"Kevin Bacon,Linda Fiorentino,John Malkovich",10,10
Peter Hanson,"Allison Anders,Jane Anderson,Doug Atchison",11,11
Wes Anderson,"Gene Hackman,Gwyneth Paltrow,Anjelica Huston",12,12
Paul Greengrass,"Matt Damon,Édgar Ramírez,Joan Allen",13,13
Paul Verhoeven,"Michael Douglas,Sharon Stone,George Dzundza",14,14
Adrian Lyne,"Richard Gere,Diane Lane,Olivier Martinez",15,15
Jan de Bont,"Angelina Jolie,Gerard Butler,Chris Barrie",16,16
Stephen Sommers,"Brendan Fraser,Rachel Weisz,John Hannah",17,17
Len Wiseman,"Kate Beckinsale,Scott Speedman,Shane Brolly",18,18
Len Wiseman,"Kate Beckinsale,Scott Speedman,Bill Nighy",19,19
"Pierre Coffin,Chris Renaud","Steve Carell,Jason Segel,Russell Brand",20,20
Dan Scanlon,"Billy Crystal,John Goodman,Steve Buscemi",21,21
"John Lasseter,Ash Brannon","Tom Hanks,Tim Allen,Joan Cusack",22,22
Werner Herzog,"Michael Shannon,Willem Dafoe,Chloë Sevigny",23,23
Werner Herzog,"Nicolas Cage,Eva Mendes,Russell M. Haeuser",24,24
Sam Mendes,"Daniel Craig,Javier Bardem,Naomie Harris",25,25
Stephen Norrington,"Wesley Snipes,Stephen Dorff,Kris Kristofferson",26,26
Jason Scott Sadofsky,"Ernest Adams,Scott Adams,Hollywood Anderson",27,27
Jeremy Mack,"Bill Carlton,Robert Mruczek,Terry Nelson",28,28
Edward Zwick,"Tom Cruise,Cobie Smulders,Danika Yarosh",29,29
