Genre,Filming Locations,original_index,unique_index
"Horror,Mystery,Thriller","Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA",0,0
"Action,Drama,Horror","Sanibel Island, Florida, USA",1,1
"Romance,Thriller,War","Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",2,2
"Documentary,Biography",,3,3
"Documentary,Comedy","Geneva, Canton de Genève, Switzerland",4,4
Thriller,"Place Gaillon, Paris 2, Paris, France",5,5
"Comedy,Thriller","4254 Lexington Avenue, Los Angeles, California, USA",6,6
"Comedy,Horror,Thriller","12890 E Main St, Humboldt, Arizona, USA",7,7
"Drama,Horror","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA",8,8
"Comedy,Romance",,9,9
"Comedy,Drama","New York City, New York, USA",10,10
Documentary,"Los Angeles, California, USA",11,11
"Comedy,Drama","144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",12,12
"Action,Thriller","Berlin, Germany",13,13
"Drama,Mystery,Thriller","1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA",14,14
"Drama,Romance,Thriller","Dobbs Ferry, New York, USA",15,15
"Action,Adventure,Fantasy","Amboseli National Park, Kenya",16,16
"Action,Adventure,Fantasy","Ait Benhaddou, Morocco",17,17
"Action,Fantasy","Budapest, Hungary",18,18
"Action,Fantasy,Sci-Fi","Britannia Beach, British Columbia, Canada",19,19
"Animation,Comedy,Family",,20,20
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",21,21
"Animation,Adventure,Comedy","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",22,21
"Drama,Thriller","San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA",23,22
"Crime,Drama",USA,24,23
"Action,Adventure,Thriller","London, England, UK",25,24
"Action,Horror","Long Beach, California, USA",26,25
Documentary,,27,26
Documentary,"Portland, Oregon, USA",28,27
"Action,Crime,Drama","Louisiana, USA",29,28
"Action,Drama,History","Santa Clarita, California, USA",30,29
"Action,Drama,Romance","California, USA",31,30
"Drama,Fantasy,Romance","Alameda, California, USA",32,31
"Comedy,Musical,Romance","Metro-North Station, Poughkeepsie, New York, USA",33,32
"Biography,Comedy,Drama","Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34,33
"Drama,Film-Noir,Romance","Hotel Monte Vista, Flagstaff, Arizona, USA",35,34
"Mystery,Sci-Fi","Shepperton Studios, Shepperton, Surrey, England, UK",36,35
Drama,"Brooklyn, New York City, New York, USA",37,36
"Crime,Drama,Mystery","128 Northern Boulevard, Wilmington, North Carolina, USA",38,37
"Drama,Mystery,Thriller",UK,39,38
"Drama,Romance","Albany, New York, USA",40,39
"Drama,Romance,Adventure","Bora Bora, Leeward Islands, French Polynesia",41,40
"Action,Comedy,Horror","Los Angeles, California, USA",42,41
"Documentary,Biography,Sport",USA,43,42
Documentary,,44,26
Documentary,"Los Angeles, California, USA",45,11
"Documentary,Biography,Sport",,46,43
"Documentary,Fantasy","Baltimore, Maryland, USA",47,44
"Documentary,Biography,History",,48,45
Documentary,"Flemington, New Jersey, USA",49,46
Drama,,50,47
"Adventure,Horror","Santiago, Chile",51,48
"Comedy,Drama,Fantasy","Garden State News 666 Anderson Ave, Cliffside Park, New Jersey, USA",52,49
