Language,Duration,original_index,unique_index
English,109 min,0,0
English,96 min,1,1
"English,Dutch,Latvian",120 min,2,2
English,96 min,3,1
"English,French",93 min,4,3
"English,Spanish,French,Russian",143 min,5,4
English,120 min,6,5
English,92 min,7,6
English,95 min,8,7
English,,9,8
English,100 min,10,9
English,105 min,11,10
"English,Italian",110 min,12,11
"English,French,Arabic,Russian,Spanish",115 min,13,12
English,127 min,14,13
"English,French",124 min,15,14
"English,Mandarin",117 min,16,15
"English,Egyptian (Ancient),Arabic",125 min,17,16
English,121 min,18,17
"English,French,Hungarian",106 min,19,18
English,95 min,20,7
English,104 min,21,19
"English,Arabic,Spanish",92 min,22,20
English,91 min,23,21
"English,Spanish",122 min,24,22
English,143 min,25,23
"English,Russian",120 min,26,24
English,,27,8
English,52 min,28,25
English,,29,8
"English,Japanese",154 min,30,26
English,110 min,31,27
English,113 min,32,28
English,146 min,33,29
English,151 min,34,30
"English,French,German,Italian",102 min,35,31
"English,Russian",160 min,36,32
English,102 min,37,33
English,120 min,38,5
English,159 min,39,34
"English,French",152 min,40,35
English,86 min,41,36
English,88 min,42,37
English,79 min,43,38
English,94 min,44,39
English,,45,8
English,90 min,46,40
English,93 min,47,41
English,85 min,48,42
English,100 min,49,9
English,96 min,50,1
English,100 min,51,9
English,104 min,52,19
"English,French",103 min,53,43
English,127 min,54,13
English,97 min,55,44
"English,French",87 min,56,45
English,100 min,57,9
"English,Greek",,58,46
English,84 min,59,47
English,1 hr. 39 min.,60,48
English,106 min,61,49
English,114 min,62,50
English,101 min,63,51
"English,Spanish",104 min,64,52
English,90 min,65,40
English,91 min,66,21
English,1 hr. 45 min.,67,53
"English,Portuguese",117 min,68,54
English,79 min,69,38
English,110 min,70,27
English,109 min,71,0
English,111 min,72,55
English,64 min,73,56
English,86 min,74,36
English,73 min,75,57
English,68 min,76,58
English,84 min,77,47
English,90 min,78,40
English,80 min,79,59
English,144 min,80,60
English,108 min,81,61
English,100 min,82,9
English,118 min,83,62
English,122 min,84,63
"English,Spanish",116 min,85,64
English,112 min,86,65
English,90 min,87,40
English,126 min,88,66
English,121 min,89,17
English,101 min,90,51
"English,American Sign Language,Spanish",136 min,91,67
English,115 min,92,68
English,89 min,93,69
English,90 min,94,40
English,72 min,95,70
"English,French",71 min,96,71
English,63 min,97,72
English,74 min,98,73
"English,German",76 min,99,74
English,73 min,100,57
"English,Spanish",103 min,101,75
English,99 min,102,76
"English,French",79 min,103,77
English,97 min,104,44
"English,French,German,Italian",90 min,105,78
English,,106,8
"English,Afrikaans",114 min,107,79
English,89 min,108,69
English,110 min,109,27
"English,Italian,Irish,Yiddish",115 min,110,80
English,93 min,111,41
"English,Portuguese",117 min,112,54
English,160 min,113,81
English,120 min,114,5
"English,French,Scottish Gaelic",87 min,115,82
English,129 min,116,83
English,212 min,117,84
English,112 min,118,65
English,98 min,119,85
English,89 min,120,69
English,114 min,121,50
English,91 min,122,21
English,108 min,123,61
English,93 min,124,41
English,82 min,125,86
English,89 min,126,69
English,88 min,127,37
English,86 min,128,36
English,87 min,129,87
English,165 min,130,88
"English,Italian",137 min,131,89
English,116 min,132,90
English,88 min,133,37
English,95 min,134,7
English,118 min,135,62
"English,German",91 min,136,91
English,88 min,137,37
"English,Hungarian,Latin",85 min,138,92
English,100 min,139,9
English,100 min,140,9
English,108 min,141,61
English,142 min,142,93
English,90 min,143,40
"English,Swahili,Xhosa,Zulu",89 min,144,94
"English,French",84 min,145,95
English,88 min,146,37
English,78 min,147,96
"English,Inuktitut,Croatian,Serbian",85 min,148,97
English,89 min,149,69
English,90 min,150,40
English,108 min,151,61
English,107 min,152,98
"English,French,Russian",90 min,153,99
"English,Italian",89 min,154,100
"English,Spanish",152 min,155,101
English,124 min,156,102
English,105 min,157,10
English,108 min,158,61
English,121 min,159,17
English,1 hr. 41 min.,160,103
English,2 hr. 16 min.,161,104
English,140 min,162,105
English,124 min,163,102
English,106 min,164,49
English,95 min,165,7
English,90 min,166,40
English,108 min,167,61
English,1 hr. 20 min.,168,106
English,87 min,169,87
English,81 min,170,107
English,110 min,171,27
English,100 min,172,9
English,135 min,173,108
"English,Spanish",2 hr. 7 min.,174,109
English,100 min,175,9
English,122 min,176,63
English,122 min,177,63
"English,French",109 min,178,110
"English,Swahili",157 min,179,111
"English,Russian,Polish",133 min,180,112
English,76 min,181,113
English,94 min,182,39
English,1 hr. 26 min.,183,114
English,104 min,184,19
English,60 min,185,115
English,92 min,186,6
English,104 min,187,19
English,75 min,188,116
English,137 min,189,117
"English,Russian",114 min,190,118
English,87 min,191,87
English,64 min,192,56
English,104 min,193,19
English,102 min,194,33
"English,Spanish",107 min,195,119
English,90 min,196,40
English,89 min,197,69
English,95 min,198,7
English,104 min,199,19
English,91 min,200,21
English,140 min,201,105
English,97 min,202,44
English,99 min,203,76
"English,Italian,Portuguese",133 min,204,120
English,98 min,205,85
"English,Spanish,Russian,German",125 min,206,121
"English,Italian,French,Danish",118 min,207,122
"English,Albanian,Spanish",129 min,208,123
English,103 min,209,124
English,111 min,210,55
"English,German,French,Russian",106 min,211,125
"English,Spanish",146 min,212,126
English,102 min,213,33
English,98 min,214,85
English,153 min,215,127
"English,Hebrew",84 min,216,128
English,125 min,217,129
English,106 min,218,49
"English,Spanish",112 min,219,130
English,83 min,220,131
English,64 min,221,56
English,88 min,222,37
English,102 min,223,33
"English,French,Italian,German",106 min,224,132
"English,French,Italian,Portuguese,Japanese",176 min,225,133
"English,German",133 min,226,134
