RatingCount,ReviewCount,original_index,unique_index
"379,998","976 user,290 critic",0,0
"46,421","414 user,177 critic",1,1
"12,684","124 user,73 critic",2,2
724,"14 user,33 critic",3,3
"3,341","27 user,49 critic",4,4
"11,928","86 user,46 critic",5,5
"14,283","107 user,64 critic",6,6
"14,700","117 user,92 critic",7,7
"15,051","121 user,75 critic",8,8
517,"4 user,1 critic",9,9
"1,294","16 user,6 critic",10,10
"1,188","8 user,29 critic",11,11
"194,889","963 user,215 critic",12,12
"444,001","811 user,323 critic",13,13
"124,230","290 user,117 critic",14,14
"59,104","526 user,152 critic",15,15
"95,376","318 user,155 critic",16,16
"296,307","964 user,187 critic",17,17
"194,551","800 user,225 critic",18,18
"145,752","498 user,205 critic",19,19
"345,095","284 user,297 critic",20,20
"208,302","254 user,371 critic",21,21
"349,182","501 user,188 critic",22,22
"7,135","46 user,118 critic",23,23
"62,359","208 user,274 critic",24,24
"463,639","1,467 user,731 critic",25,25
"176,103","572 user,179 critic",26,26
219,"4 user,3 critic",27,27
207,"2 user,3 critic",28,28
,,29,29
"294,740","922 user,189 critic",30,30
"203,621","379 user,161 critic",31,31
"79,168","615 user,122 critic",32,32
"9,255","106 user,27 critic",33,33
"12,144","75 user,51 critic",34,34
"356,710","1,067 user,233 critic",35,35
"381,808","1,679 user,274 critic",36,36
"521,173","1,898 user,228 critic",37,37
"121,390","669 user,171 critic",38,38
"210,746","1,484 user,272 critic",39,39
"62,308","203 user,99 critic",40,40
"3,097","19 user,33 critic",41,41
"4,625","34 user,68 critic",42,42
"29,293","100 user,154 critic",43,43
674,"5 user,18 critic",44,44
975,"5 user,4 critic",45,45
65,3 user,46,46
905,"13 user,17 critic",47,47
56,"1 user,2 critic",48,48
332,"5 user,10 critic",49,49
129,11 critic,50,50
"4,425","47 user,149 critic",51,51
"141,023","191 user,97 critic",52,52
"61,876","310 user,141 critic",53,53
"116,168","380 user,133 critic",54,54
"61,754","158 user,188 critic",55,55
"125,748","238 user,324 critic",56,56
"1,908","18 user,27 critic",57,57
"131,158","397 user,278 critic",58,58
"2,547","21 user,6 critic",59,59
"13,532","74 user,180 critic",60,60
"61,611","140 user,103 critic",61,61
"95,536","315 user,209 critic",62,62
"56,108","150 user,85 critic",63,63
"82,071","646 user,209 critic",64,64
"2,599","49 user,7 critic",65,65
"3,520","21 user,1 critic",66,66
"2,384","23 user,19 critic",67,67
"6,329","72 user,34 critic",68,68
"1,784","28 user,16 critic",69,69
"1,841","26 user,12 critic",70,70
"50,773","69 user,31 critic",71,71
913,"32 user,14 critic",72,72
89,"6 user,1 critic",73,73
310,"12 user,2 critic",74,74
76,"8 user,1 critic",75,75
159,"15 user,4 critic",76,76
"3,074","46 user,18 critic",77,77
967,"15 user,3 critic",78,78
"1,714","18 user,6 critic",79,79
261,"19 user,3 critic",80,80
"1,087","48 user,14 critic",81,81
359,12 user,82,82
869,"21 user,4 critic",83,83
"1,322","13 user,12 critic",84,84
"8,857","72 user,22 critic",85,85
"14,598","119 user,61 critic",86,86
"16,742","127 user,107 critic",87,87
"1,015","19 user,4 critic",88,88
"1,427","30 user,14 critic",89,89
921,"15 user,5 critic",90,90
"4,099","39 user,21 critic",91,91
"14,303","109 user,47 critic",92,92
"2,068","49 user,21 critic",93,93
"1,243","29 user,15 critic",94,94
442,"15 user,7 critic",95,95
"3,993","99 user,32 critic",96,96
"2,121","40 user,21 critic",97,97
798,"21 user,13 critic",98,98
"1,649","33 user,14 critic",99,99
"1,834","48 user,17 critic",100,100
"4,417","42 user,31 critic",101,101
"1,784","33 user,20 critic",102,102
868,"25 user,15 critic",103,103
"3,558","26 user,25 critic",104,104
"1,208","74 user,38 critic",105,105
,,106,29
"118,639","162 user,77 critic",107,106
"23,331","239 user,110 critic",108,107
"15,029","120 user,61 critic",109,108
"97,439","286 user,126 critic",110,109
"57,873","64 user,52 critic",111,110
"10,548","126 user,44 critic",112,111
"41,907","190 user,93 critic",113,112
"4,440","85 user,23 critic",114,113
"15,509","356 user,89 critic",115,114
"56,983","288 user,76 critic",116,115
"144,604","362 user,110 critic",117,116
"129,025","399 user,199 critic",118,117
"21,171","198 user,108 critic",119,118
"19,248","198 user,85 critic",120,119
"68,036","149 user,81 critic",121,120
"115,051","772 user,534 critic",122,121
"132,048","612 user,210 critic",123,122
"94,966","564 user,211 critic",124,123
"69,551","284 user,218 critic",125,124
"12,925","113 user,61 critic",126,125
"13,361","128 user,121 critic",127,126
"13,470","112 user,131 critic",128,127
"11,654","128 user,118 critic",129,128
"1,020,855","2,673 user,795 critic",130,129
"92,365","562 user,143 critic",131,130
"149,320","797 user,353 critic",132,131
21,,133,132
"23,943","123 user,81 critic",134,133
"31,137","182 user,96 critic",135,134
"3,423","75 user,83 critic",136,135
"4,809","70 user,55 critic",137,136
"30,481","375 user,159 critic",138,137
"61,535","393 user,153 critic",139,138
"79,227","401 user,190 critic",140,139
"278,418","720 user,435 critic",141,140
"343,566","1,497 user,271 critic",142,141
"425,126","937 user,211 critic",143,142
"564,457","616 user,184 critic",144,143
"274,949","327 user,177 critic",145,144
"126,092","259 user,163 critic",146,145
"114,950","291 user,140 critic",147,146
"62,596","157 user,111 critic",148,147
"50,894","137 user,81 critic",149,148
"122,767","285 user,139 critic",150,149
"119,968","544 user,205 critic",151,150
"167,512","334 user,353 critic",152,151
"137,548","155 user,191 critic",153,152
"129,553","117 user,165 critic",154,153
"66,537","304 user,113 critic",155,154
"3,086","45 user,25 critic",156,155
"1,578","31 user,9 critic",157,156
"1,757","22 user,7 critic",158,157
"12,474","64 user,51 critic",159,158
"13,441","92 user,28 critic",160,159
"20,281","65 user,50 critic",161,160
"16,212","64 user,31 critic",162,161
"40,547","526 user,150 critic",163,162
"24,944","64 user,37 critic",164,163
"24,560","97 user,44 critic",165,164
"4,950","37 user,23 critic",166,165
"4,074","56 user,37 critic",167,166
455,"16 user,11 critic",168,167
"1,556","28 user,15 critic",169,168
"1,071","14 user,12 critic",170,169
"1,954","34 user,16 critic",171,170
"2,288","29 user,16 critic",172,171
"5,384","78 user,26 critic",173,172
"11,718","77 user,53 critic",174,173
"16,422","145 user,46 critic",175,174
"9,563","52 user,32 critic",176,175
"4,791","40 user,21 critic",177,176
"5,384","61 user,20 critic",178,177
"8,473","74 user,37 critic",179,178
"82,023","154 user,214 critic",180,179
"8,457","75 user,13 critic",181,180
"3,332","35 user,22 critic",182,181
"15,460","37 user,42 critic",183,182
"3,046","66 user,109 critic",184,183
"1,712","18 user,67 critic",185,184
"7,176","63 user,15 critic",186,185
"15,455","55 user,27 critic",187,186
9,1 user,188,187
"3,804","66 user,30 critic",189,188
"181,758","184 user,208 critic",190,189
"3,460","118 user,29 critic",191,190
"1,082","7 user,11 critic",192,191
"122,545","866 user,178 critic",193,192
"51,492","356 user,161 critic",194,193
"72,327","170 user,201 critic",195,194
16,"1 user,5 critic",196,195
777,"34 user,6 critic",197,196
"3,485","31 user,21 critic",198,197
"10,176","55 user,27 critic",199,198
"11,584","50 user,23 critic",200,199
"44,968","95 user,30 critic",201,200
"86,365","329 user,139 critic",202,201
"33,751","107 user,36 critic",203,202
"57,506","292 user,210 critic",204,203
"45,396","176 user,215 critic",205,204
"40,363","183 user,209 critic",206,205
"77,670","190 user,244 critic",207,206
"256,209","637 user,230 critic",208,207
"1,930","38 user,28 critic",209,208
"7,064","98 user,51 critic",210,209
"4,612","63 user,21 critic",211,210
"249,318","682 user,166 critic",212,211
"3,226","50 user,38 critic",213,212
"139,831","318 user,305 critic",214,213
"327,360","584 user,440 critic",215,214
"135,403","581 user,135 critic",216,215
"36,490","184 user,271 critic",217,216
"1,612","30 user,24 critic",218,217
"12,692","113 user,101 critic",219,218
"1,416","24 user,33 critic",220,219
52,"7 user,4 critic",221,220
"1,061","53 user,10 critic",222,221
"10,949","91 user,37 critic",223,222
"5,826","66 user,33 critic",224,223
"5,578","103 user,40 critic",225,224
"9,432","124 user,62 critic",226,225
"1,300","28 user,12 critic",227,226
"2,145","30 user,15 critic",228,227
"3,467","59 user,20 critic",229,228
826,"26 user,6 critic",230,229
464,"16 user,6 critic",231,230
"1,234","29 user,7 critic",232,231
"9,818","156 user,70 critic",233,232
"3,009","75 user,49 critic",234,233
122,"5 user,2 critic",235,234
239,"19 user,3 critic",236,235
"1,584","19 user,72 critic",237,236
"56,945","519 user,319 critic",238,237
"1,044","24 user,27 critic",239,238
"4,920","67 user,34 critic",240,239
"263,441","409 user,371 critic",241,240
"67,925","167 user,171 critic",242,241
"180,652","394 user,348 critic",243,242
"257,100","2,321 user,208 critic",244,243
"68,776","305 user,154 critic",245,244
"77,466","113 user,38 critic",246,245
"258,437","439 user,444 critic",247,246
"1,070","34 user,15 critic",248,247
"42,533","152 user,123 critic",249,248
"128,005","693 user,198 critic",250,249
"36,160","232 user,203 critic",251,250
804,"21 user,20 critic",252,251
216,"11 user,9 critic",253,252
594,"23 user,8 critic",254,253
"1,617","56 user,33 critic",255,254
"161,191","266 user,280 critic",256,255
"169,343","709 user,274 critic",257,256
"159,465","358 user,136 critic",258,257
"65,340","199 user,129 critic",259,258
"34,316","130 user,27 critic",260,259
461,"1 user,2 critic",261,260
"25,273","131 user,49 critic",262,261
"202,803","633 user,553 critic",263,262
,,264,29
68,9 critic,265,263
197,"11 user,1 critic",266,264
"225,665","827 user,486 critic",267,265
"265,291","2,157 user,445 critic",268,266
663,"12 user,3 critic",269,267
790,"21 user,3 critic",270,268
638,"24 user,8 critic",271,269
781,"20 user,10 critic",272,270
"1,277","11 user,28 critic",273,271
"1,657","22 user,15 critic",274,272
,,275,29
70,2 user,276,273
"2,611","32 user,7 critic",277,274
"13,064","88 user,64 critic",278,275
"14,503","88 user,46 critic",279,276
"20,766","117 user,86 critic",280,277
"37,426","302 user,110 critic",281,278
"51,021","381 user,160 critic",282,279
"47,450","217 user,82 critic",283,280
"12,608","74 user,52 critic",284,281
"6,956","43 user,85 critic",285,282
"50,361","139 user,46 critic",286,283
"36,302","175 user,79 critic",287,284
"248,241","563 user,95 critic",288,285
"162,343","259 user,236 critic",289,286
"282,420","709 user,315 critic",290,287
"136,443","503 user,287 critic",291,288
"115,631","237 user,80 critic",292,289
"4,992","34 user,60 critic",293,290
"192,698","574 user,206 critic",294,291
"607,376","1,723 user,373 critic",295,292
"643,673","2,061 user,228 critic",296,293
"135,914","309 user,63 critic",297,294
"150,676","957 user,78 critic",298,295
"150,239","168 user,174 critic",299,296
"113,941","153 user,174 critic",300,297
"35,168","49 user,72 critic",301,298
"63,078","101 user,146 critic",302,299
"89,049","207 user,184 critic",303,300
"121,416","165 user,158 critic",304,301
"159,364","340 user,179 critic",305,302
"135,559","521 user,164 critic",306,303
"279,650","338 user,143 critic",307,304
"154,165","495 user,407 critic",308,305
"165,153","534 user,248 critic",309,306
"480,946","1,766 user,396 critic",310,307
"624,108","1,025 user,479 critic",311,308
"408,904","712 user,555 critic",312,309
"286,834","1,051 user,487 critic",313,310
,,314,29
"19,163","180 user,100 critic",315,311
191,"2 user,9 critic",316,312
"33,428","207 user,117 critic",317,313
"1,107","56 user,44 critic",318,314
