Year,Filming Locations,original_index,unique_index
1960,"Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA",0,0
1985,"Sanibel Island, Florida, USA",1,1
1940,"Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",2,2
2007,,3,3
2010,"Geneva, Canton de Genève, Switzerland",4,4
1969,"Place Gaillon, Paris 2, Paris, France",5,5
1976,"4254 Lexington Avenue, Los Angeles, California, USA",6,6
1987,"12890 E Main St, Humboldt, Arizona, USA",7,7
1985,"Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA",8,8
1991,,9,9
1991,"New York City, New York, USA",10,10
2009,"Los Angeles, California, USA",11,11
2001,"144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",12,12
2007,"Berlin, Germany",13,13
1992,"1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA",14,14
2002,"Dobbs Ferry, New York, USA",15,15
2003,"Amboseli National Park, Kenya",16,16
1999,"Ait Benhaddou, Morocco",17,17
2003,"Budapest, Hungary",18,18
2006,"Britannia Beach, British Columbia, Canada",19,19
2010,,20,20
2013,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",21,21
1999,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA",22,22
2009,"San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA",23,23
2009,USA,24,24
2012,"London, England, UK",25,25
1998,"Long Beach, California, USA",26,26
2010,,27,20
2006,"Portland, Oregon, USA",28,27
2016,"Louisiana, USA",29,28
2003,"Santa Clarita, California, USA",30,29
1986,"California, USA",31,30
1998,"Alameda, California, USA",32,31
1969,"Metro-North Station, Poughkeepsie, New York, USA",33,32
1968,"Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",34,33
1942,"Hotel Monte Vista, Flagstaff, Arizona, USA",35,34
1968,"Shepperton Studios, Shepperton, Surrey, England, UK",36,35
2000,"Brooklyn, New York City, New York, USA",37,36
1986,"128 Northern Boulevard, Wilmington, North Carolina, USA",38,37
1999,UK,39,38
1962,"Albany, New York, USA",40,39
1931,"Bora Bora, Leeward Islands, French Polynesia",41,40
2014,"Los Angeles, California, USA",42,41
2007,USA,43,42
2008,,44,43
2011,"Los Angeles, California, USA",45,44
2013,,46,45
2006,"Baltimore, Maryland, USA",47,46
2012,,48,47
2014,"Flemington, New Jersey, USA",49,48
2015,,50,49
2013,"Santiago, Chile",51,50
1988,"Garden State News 666 Anderson Ave, Cliffside Park, New Jersey, USA",52,51
2004,"Gare Windsor, Montréal, Québec, Canada",53,52
1999,"Hanover, Pennsylvania, USA",54,53
2010,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",55,54
2009,"England, UK",56,55
2015,"Los Angeles, California, USA",57,56
2010 2011 2012,"Montréal, Québec, Canada",58,57
2015,"Vancouver, British Columbia, Canada",59,58
2014 2015 2016,"New Orleans, Louisiana, USA",60,59
1990,"Burbank, California, USA",61,60
1982,"4267 Roxbury Street, Forest Hills, Simi Valley, California, USA",62,61
1988,"New York City, New York, USA",63,62
2004,"4th Street, Downtown, Los Angeles, California, USA",64,63
1985,Malta,65,64
2003,"New York City, New York, USA",66,65
1971 1972 1973,"Clinton, Louisiana, USA",67,66
1937,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",68,67
1935,"Cedars of Lebanon Hospital. 4833 Fountain Ave. Los Angeles, California, USA",69,68
1943,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",70,69
1994,"2552 Hyde Street, San Francisco, California, USA",71,70
1964,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",72,71
1931,,73,72
1951,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",74,73
1932,,75,74
1933,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",76,75
1941,"Providencia Ranch, Hollywood Hills, Los Angeles, California, USA",77,76
1945,"North Hollywood, Los Angeles, California, USA",78,77
1955,"California Highway 118, California, USA",79,78
1927,"Arkansas, USA",80,79
1963,"Chichén Itzá, Yucatán, Mexico",81,80
1964,Japan,82,81
1981,"Budapest, Hungary",83,82
1984,"Back Bay, Boston, Massachusetts, USA",84,83
1981,"Coral Gables, Florida, USA",85,84
1963,"Camp Waldemar - 1005 Ranch Road 1340, Hunt, Texas, USA",86,85
1941,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",87,86
1940,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",88,87
1940,"Santa Clarita, California, USA",89,88
1939,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",90,89
1961,"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",91,90
1936,"Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA",92,91
1931,,93,72
1931,,94,72
1932,"UCLA, Westwood, Los Angeles, California, USA",95,92
1933,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",96,93
1932,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",97,94
1933,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",98,75
1933,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",99,93
1933,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",100,93
1939,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",101,95
1941,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",102,96
1934,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",103,97
1941,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",104,96
1980,Germany,105,98
2017,,106,99
1989,"2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA",107,100
1999,"The Astral House, 2210 Astral Place, Los Angeles, California, USA",108,101
1994,"Irvington, New York, USA",109,102
1990,"Magazine Street, New Orleans, Louisiana, USA",110,103
1997,"Alameda, California, USA",111,104
1942,"6621 Whitley Terrace, Whitley Heights, Hollywood, Los Angeles, California, USA",112,105
1959,"2nd Floor, Marquette County Courthouse - 234 W. Baraga Avenue, Marquette, Michigan, USA",113,106
2015,"North Carolina, USA",114,107
2000,Romania,115,108
1940,"Los Angeles, California, USA",116,109
1959,"Anzio, Italy",117,110
1968,"Kayenta, Arizona, USA",118,111
1971,"South Flower Street, Los Angeles, California, USA",119,112
1972,"Aircraft Hanger, Van Nuys Airport - 6590 Hayvenhurst Avenue, Van Nuys, Los Angeles, California, USA",120,113
1983,"Snohomish High School - 1316 5th Street, Snohomish, Washington, USA",121,114
2013,"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",122,115
2006,"Toronto, Ontario, Canada",123,116
2006,"Playland Amusement Park, Pacific National Exhibition Grounds, Vancouver, British Columbia, Canada",124,117
2009,"Harahan, Louisiana, USA",125,118
1988,"169 N. Baldwin Avenue, Sierra Madre, California, USA",126,119
1986,"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",127,120
1986,"Empire Studios, Rome, Lazio, Italy",128,121
2011,"Glendale, California, USA",129,122
2012,"Downtown, Los Angeles, California, USA",130,123
1984,"Yuma, Arizona, USA",131,124
2011,"Manhattan Beach, California, USA",132,125
2009,,133,126
2001,"Plymouth, Massachusetts, USA",134,127
1981,"Albert R. Broccoli 007 Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",135,128
1970,"Associated British Picture Studios, Borehamwood, Hertfordshire, England, UK",136,129
1959,"Bray Studios, Down Place, Oakley Green, Berkshire, England, UK",137,130
1931,"Chatham Historic Dockyard, Chatham, Kent, England, UK",138,131
1933,"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",139,132
2004,"Appleton, Wisconsin, USA",140,133
2010,"Antony House, Torpoint, Cornwall, England, UK",141,134
2004,"England, UK",142,135
2001,,143,136
1994,,144,137
1991,"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",145,138
1999,,146,139
2000,,147,140
2003,"Disney's Hollywood Studios, Walt Disney World, Lake Buena Vista, Florida, USA",148,141
2000,,149,140
2004,"Los Angeles, California, USA",150,142
2006,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",151,143
2011,,152,144
2009,,153,126
2008,,154,43
1961,"Church of Saint Paul the Apostle, Columbus Avenue & West 60th Street, New York City, New York, USA",155,145
1978,"New York City, New York, USA",156,146
1979,"Boston Garden - 150 Causeway Street, Boston, Massachusetts, USA",157,147
1977,"Tarrant County, Texas, USA",158,148
1974,"Beverly Hills, California, USA",159,149
1977 1978 1979,"Exposition Park, Los Angeles, California, USA",160,150
1990 1991 1992,"Indoor Pool, Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",161,151
1992,"Carnegie Mellon University - 5000 Forbes Avenue, Pittsburgh, Pennsylvania, USA",162,152
2001,"Chilliwack, British Columbia, Canada",163,153
1995,"West Dayton Street & South Delacy Street, Pasadena, California, USA",164,154
1991,"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",165,155
1984,"New York City, New York, USA",166,156
1981,"4th Street Bridge, Los Angeles, California, USA",167,157
1935 1936 1937,"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",168,158
1942,"Lake Arrowhead, San Bernardino National Forest, California, USA",169,159
1939,"Lake Sherwood, California, USA",170,160
1955,"Belvedere Island, California, USA",171,161
1944,"Camp Pendleton Marine Corps Base, Oceanside, California, USA",172,162
1945,"Florida Keys, Florida, USA",173,163
1947 1948 1949,"Monument Valley, Arizona, USA",174,164
1976,"Carson City, Nevada, USA",175,165
1965,"Casa Blanca, Durango, Mexico",176,166
1960,"Alabama Hills, Lone Pine, California, USA",177,167
1963,"Kaua'i, Hawaii, USA",178,168
1962,"Arusha National Park, Tanzania",179,169
2010,Morocco,180,170
2006,"Marymount High School - 10643 W. Sunset Blvd., Los Angeles, California, USA",181,171
1995,,182,172
1997 1998 1999,"Ealing Town Hall, Ealing, London, England, UK",183,173
2015,"Fontana Dam, North Carolina, USA",184,174
2013,"Los Angeles, California, USA",185,175
1987,"1050 Arden Road, Pasadena, California, USA",186,176
1985,"8th Avenue, Manhattan, New York City, New York, USA",187,177
2008,"Los Angeles, California, USA",188,178
1958,"Jefferson County, Indiana, USA",189,179
2008,"Connaught Tunnel, near London City Airport, Newham, East London, London, England, UK",190,180
2000,"Red Bank, New Jersey, USA",191,181
2013,,192,45
2001,"Santa Clarita, California, USA",193,182
2004,"New Jersey, USA",194,183
2010,"Colonial Rd & 81st St, Brooklyn, New York City, New York, USA",195,184
2008,"Las Vegas, Nevada, USA",196,185
2015,,197,49
1980,"Floresville, Texas, USA",198,186
1983,"William Cullen Bryant School 1355 South Kedvale Avenue, Chicago, IL.",199,187
1983,"Conemaugh, Pennsylvania, USA",200,188
1992,"Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland",201,189
1987,"Cliffs, Marineland of the Pacific - 6610 Palos Verdes Drive South, Rancho Palos Verdes, California, USA",202,190
1991,"Wilmington, Ohio, USA",203,191
2010,"Bali, Indonesia",204,192
2011,"Reseda, California, USA",205,193
2009,"Atlantis Casino, Paradise Island, Bahamas",206,194
2009,USA,207,24
2006,"Exchange Place, Lower Manhattan, Manhattan, New York City, New York, USA",208,195
1973,"Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA",209,196
1973,"Arlington Towers - 100 N. Arlington Avenue, Reno, Nevada, USA",210,197
1980,"Atlanta, Georgia, USA",211,198
2004,"Los Angeles, California, USA",212,142
1972,"Warner Brothers Studio Plaza - 3400 W. Riverside Dr. Burbank, California, USA",213,199
2010,"Ohio, USA",214,200
2013,"Conyers, Georgia, USA",215,201
1998,"Brooklyn, New York City, New York, USA",216,202
2015,"Madison Square Garden, New York City, New York, USA",217,203
1970,"Circle Z Ranch - 1476 Highway 82, Patagonia, Arizona, USA",218,204
1974,"Chalco, Mexico City, Distrito Federal, Mexico",219,205
1974,"Juliette, Georgia, USA",220,206
1953,"New York City, New York, USA",221,207
1963,"Fort Ord, California, USA",222,208
1965,"New Orleans, Louisiana, USA",223,209
1971,"Le Mans, Sarthe, France",224,210
1966,"Farnborough Hall, Warwickshire",225,211
1964,"Acquigny, Calvados, France",226,212
1960 1961 1962,"East Harlem, Manhattan, New York City, New York, USA",227,213
1968,"Durango, Mexico",228,214
1972,"Tucson, Arizona, USA",229,215
1952,"Alabama Hills, Lone Pine, California, USA",230,216
1953,"Dijon Street, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",231,217
1945,"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",232,218
1981,"417 Amapola Lane, Bel Air, Los Angeles, California, USA",233,219
1964,,234,220
1928,,235,221
1928,,236,221
2014,"Providence, Rhode Island, USA",237,222
2015,"Raleigh Studios Baton Rouge, Celtic Media Centre, Baton Rouge, Louisiana, USA",238,223
2000,"Los Angeles, California, USA",239,224
1994,"Pawling, New York, USA",240,225
2010,"Boston, Massachusetts, USA",241,226
2007,"Santa Clarita, California, USA",242,227
2007,"Broadway Market, Hackney, London, England, UK",243,228
2002,"Bensalem Township, Pennsylvania, USA",244,229
1998,"Angola, Louisiana, USA",245,230
1994,"Lee's Ferry, Arizona, USA",246,231
2010,"Moab, Utah, USA",247,232
1980,"Echo Park, Los Angeles, California, USA",248,233
2003,"Cape Cod, Massachusetts, USA",249,234
1999,"Cafe Florian, Piazza San Marco 56-59, Venice, Veneto, Italy",250,235
2009,"Anguillara Sabazia, Rome, Lazio, Italy",251,236
1968,"Madrid, Spain",252,237
1940,"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",253,238
1952,"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",254,239
1960,"Berkshire Mountains, Massachusetts, USA",255,240
2013,"Los Angeles, California, USA",256,175
2008,"Arizona, USA",257,241
1982,"Golden Ears Provincial Park, British Columbia, Canada",258,242
1997,"New Jersey, USA",259,243
1994,Canada,260,244
2014,,261,245
1988,"Prague, Czech Republic",262,246
2012,"Chandigarh, Punjab, India",263,247
2015,"Los Angeles, California, USA",264,56
2015,,265,49
2001,"Littlefield, Arizona, USA",266,248
2012,"Chatham Historic Dockyard, Chatham, Kent, England, UK",267,249
2008,"Bloomingdale's - 1000 Third Avenue, Manhattan, New York City, New York, USA",268,250
1988,"Clarkesville, Georgia, USA",269,251
1920,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",270,252
1931,Africa,271,253
1936,"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",272,254
2015,,273,49
1940,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",274,255
1924,,275,256
1947,"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",276,257
2014,"Sanford, Florida, USA",277,258
