column_1_name,column_2_name,column_1_count,column_2_count,dependency
Actors,Cast,453,170,"Actors, Cast"
Cast,ReviewCount,70,746,"Cast, ReviewCount"
Country,Filming Locations,398,106,"Country, Filming Locations"
Country,Genre,20,200,"Country, Genre"
Actors,Creator,50,546,"Creator, Actors"
Actors,Cast,144,63,"Director, Actors"
Creator,Director,1129,25,"Director, Creator"
Duration,RatingValue,20,286,"Duration, RatingValue"
Description,Genre,123,302,"Genre, Description"
Description,Filming Locations,8,317,"Genre, Filming Locations"
Country,Language,24,62,"Language, Country"
Duration,Language,161,9,"Language, Duration"
Director,Name,125,263,"Name, Director"
Duration,Name,382,25,"Name, Duration"
Genre,Name,2976,524,"Name, Genre"
Name,Year,23,229,"Name, Year"
RatingCount,ReviewCount,1232,721,"RatingCount, ReviewCount"
RatingCount,RatingValue,22,335,"RatingValue, RatingCount"
Country,Release Date,365,61,"Release Date, Country"
Filming Locations,Year,200,170,"Year, Filming Locations"
Release Date,Year,115,243,"Year, Release Date"
