completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
15872,226414,242286,02:41.337,74,"Name, Year"
29865,239386,269251,04:20.269,74,"Name, Director"
29252,225457,254709,03:55.760,74,"Name, Duration"
180826,242089,422915,21:17.669,74,"Name, Genre"
18528,177108,195636,02:53.362,53,"Year, Release Date"
17884,201953,219837,02:44.788,55,"Year, Filming Locations"
22981,193281,216262,03:23.290,58,"Release Date, Country"
71820,241010,312830,08:55.760,69,"Director, Creator"
53433,295026,348459,06:53.673,74,"Director, Actors"
41859,312841,354700,05:38.165,74,"Creator, Actors"
77781,699949,777730,11:37.349,74,"Actors, Cast"
64288,650183,714471,09:40.852,74,"Cast, ReviewCount"
3994,33725,37719,00:33.141,11,"Language, Country"
5692,42908,48600,00:50.109,14,"Language, Duration"
8160,61211,69371,02:32.858,19,"Country, Genre"
31873,144253,176126,03:56.372,39,"Country, Filming Locations"
14677,88114,102791,02:03.261,30,"Duration, RatingValue"
21380,215682,237062,03:29.362,71,"RatingValue, RatingCount"
125708,226772,352480,15:55.240,71,"RatingCount, ReviewCount"
24715,230553,255268,03:44.083,59,"Genre, Filming Locations"
26217,466074,492291,04:09.779,74,"Genre, Description"
29831,498486,528317,04:45.873,74,"Filming Locations, Description"
