Country,original_index,unique_index
USA,0,0
USA,1,0
USA,2,0
USA,3,0
"USA,UK",4,1
USA,5,0
USA,6,0
USA,7,0
"USA,Netherlands",8,2
USA,9,0
USA,10,0
USA,11,0
USA,12,0
"USA,Germany",13,3
"France,USA",14,4
"USA,Germany,France",15,5
"USA,Germany,Japan,UK",16,6
USA,17,0
"UK,Germany,Hungary,USA",18,7
USA,19,0
USA,20,0
USA,21,0
USA,22,0
"USA,Germany",23,3
USA,24,0
"UK,USA",25,8
USA,26,0
USA,27,0
USA,28,0
USA,29,0
"USA,New Zealand,Japan",30,9
USA,31,0
"USA,New Zealand",32,10
USA,33,0
USA,34,0
USA,35,0
"USA,UK",36,1
USA,37,0
USA,38,0
"UK,USA",39,8
"UK,USA",40,8
USA,41,0
USA,42,0
USA,43,0
USA,44,0
USA,45,0
USA,46,0
USA,47,0
USA,48,0
USA,49,0
USA,50,0
"Chile,USA",51,11
USA,52,0
"USA,Australia",53,12
"USA,Germany",54,3
"USA,Australia",55,12
USA,56,0
USA,57,0
USA,58,0
USA,59,0
"USA,Switzerland",60,13
USA,61,0
USA,62,0
USA,63,0
USA,64,0
"USA,Italy",65,14
USA,66,0
USA,67,0
USA,68,0
USA,69,0
USA,70,0
USA,71,0
USA,72,0
USA,73,0
USA,74,0
USA,75,0
USA,76,0
USA,77,0
USA,78,0
USA,79,0
USA,80,0
USA,81,0
"Japan,USA",82,15
"USA,Netherlands",83,2
"UK,USA",84,8
USA,85,0
USA,86,0
USA,87,0
USA,88,0
USA,89,0
USA,90,0
USA,91,0
USA,92,0
USA,93,0
USA,94,0
USA,95,0
USA,96,0
USA,97,0
USA,98,0
USA,99,0
USA,100,0
USA,101,0
USA,102,0
USA,103,0
USA,104,0
"USA,West Germany",105,16
"Canada,USA,South Korea",106,17
USA,107,0
USA,108,0
"UK,USA",109,8
USA,110,0
USA,111,0
USA,112,0
USA,113,0
USA,114,0
USA,115,0
USA,116,0
USA,117,0
USA,118,0
USA,119,0
USA,120,0
USA,121,0
USA,122,0
"USA,Canada",123,18
"Germany,USA,Canada",124,19
USA,125,0
USA,126,0
USA,127,0
USA,128,0
USA,129,0
"USA,UK",130,1
USA,131,0
USA,132,0
USA,133,0
USA,134,0
USA,135,0
"UK,USA",136,8
"UK,USA",137,8
USA,138,0
USA,139,0
USA,140,0
USA,141,0
"UK,USA",142,8
USA,143,0
USA,144,0
USA,145,0
USA,146,0
USA,147,0
USA,148,0
USA,149,0
USA,150,0
"Australia,USA",151,20
USA,152,0
USA,153,0
USA,154,0
USA,155,0
USA,156,0
USA,157,0
USA,158,0
USA,159,0
USA,160,0
USA,161,0
"France,USA",162,4
USA,163,0
USA,164,0
USA,165,0
USA,166,0
USA,167,0
USA,168,0
USA,169,0
USA,170,0
USA,171,0
USA,172,0
USA,173,0
USA,174,0
USA,175,0
USA,176,0
USA,177,0
USA,178,0
USA,179,0
"USA,United Arab Emirates,Poland",180,21
USA,181,0
USA,182,0
"UK,USA",183,8
USA,184,0
USA,185,0
USA,186,0
USA,187,0
USA,188,0
USA,189,0
"UK,USA,France",190,22
USA,191,0
USA,192,0
USA,193,0
USA,194,0
USA,195,0
USA,196,0
USA,197,0
"USA,Hong Kong",198,23
USA,199,0
USA,200,0
USA,201,0
USA,202,0
USA,203,0
USA,204,0
USA,205,0
"USA,Germany",206,3
"USA,Germany,UK",207,24
USA,208,0
USA,209,0
USA,210,0
USA,211,0
"USA,UK",212,1
USA,213,0
USA,214,0
USA,215,0
USA,216,0
