Language,original_index,unique_index
English,0,0
English,1,0
"English,Dutch,Latvian",2,1
English,3,0
"English,French",4,2
"English,Spanish,French,Russian",5,3
English,6,0
English,7,0
English,8,0
English,9,0
English,10,0
English,11,0
"English,Italian",12,4
"English,French,Arabic,Russian,Spanish",13,5
English,14,0
"English,French",15,2
"English,Mandarin",16,6
"English,Egyptian (Ancient),Arabic",17,7
English,18,0
"English,French,Hungarian",19,8
English,20,0
English,21,0
"English,Arabic,Spanish",22,9
English,23,0
"English,Spanish",24,10
English,25,0
"English,Russian",26,11
English,27,0
English,28,0
English,29,0
"English,Japanese",30,12
English,31,0
English,32,0
English,33,0
English,34,0
"English,French,German,Italian",35,13
"English,Russian",36,11
English,37,0
English,38,0
English,39,0
"English,French",40,2
English,41,0
English,42,0
English,43,0
English,44,0
English,45,0
English,46,0
English,47,0
English,48,0
English,49,0
English,50,0
English,51,0
English,52,0
"English,French",53,2
English,54,0
English,55,0
"English,French",56,2
English,57,0
"English,Greek",58,14
English,59,0
English,60,0
English,61,0
English,62,0
English,63,0
"English,Spanish",64,10
English,65,0
English,66,0
English,67,0
"English,Portuguese",68,15
English,69,0
English,70,0
English,71,0
English,72,0
English,73,0
English,74,0
English,75,0
English,76,0
English,77,0
English,78,0
English,79,0
English,80,0
English,81,0
English,82,0
English,83,0
English,84,0
"English,Spanish",85,10
English,86,0
English,87,0
English,88,0
English,89,0
English,90,0
"English,American Sign Language,Spanish",91,16
English,92,0
English,93,0
English,94,0
English,95,0
"English,French",96,2
English,97,0
English,98,0
"English,German",99,17
English,100,0
"English,Spanish",101,10
English,102,0
"English,French",103,2
English,104,0
"English,French,German,Italian",105,13
English,106,0
"English,Afrikaans",107,18
English,108,0
English,109,0
"English,Italian,Irish,Yiddish",110,19
English,111,0
"English,Portuguese",112,15
English,113,0
English,114,0
"English,French,Scottish Gaelic",115,20
English,116,0
English,117,0
English,118,0
English,119,0
English,120,0
English,121,0
English,122,0
English,123,0
English,124,0
English,125,0
English,126,0
English,127,0
English,128,0
English,129,0
English,130,0
"English,Italian",131,4
English,132,0
English,133,0
English,134,0
English,135,0
"English,German",136,17
English,137,0
"English,Hungarian,Latin",138,21
English,139,0
English,140,0
English,141,0
English,142,0
English,143,0
"English,Swahili,Xhosa,Zulu",144,22
"English,French",145,2
English,146,0
English,147,0
"English,Inuktitut,Croatian,Serbian",148,23
English,149,0
English,150,0
English,151,0
English,152,0
"English,French,Russian",153,24
"English,Italian",154,4
"English,Spanish",155,10
English,156,0
English,157,0
English,158,0
English,159,0
English,160,0
English,161,0
English,162,0
English,163,0
English,164,0
English,165,0
English,166,0
English,167,0
English,168,0
English,169,0
English,170,0
English,171,0
English,172,0
English,173,0
"English,Spanish",174,10
English,175,0
English,176,0
English,177,0
"English,French",178,2
"English,Swahili",179,25
"English,Russian,Polish",180,26
English,181,0
English,182,0
English,183,0
English,184,0
English,185,0
English,186,0
English,187,0
English,188,0
English,189,0
"English,Russian",190,11
English,191,0
English,192,0
English,193,0
English,194,0
"English,Spanish",195,10
English,196,0
English,197,0
English,198,0
English,199,0
English,200,0
English,201,0
English,202,0
English,203,0
"English,Italian,Portuguese",204,27
English,205,0
"English,Spanish,Russian,German",206,28
