Release Date,original_index,unique_index
8 September 1960 (USA),0,0
19 July 1985 (USA),1,1
16 August 1940 (USA),2,2
27 June 2008 (USA),3,3
29 August 2011 (USA),4,4
19 December 1969 (USA),5,5
9 April 1976 (USA),6,6
1 May 1987 (USA),7,7
11 October 1985 (USA),8,8
5 March 1992 (Germany),9,9
1 February 1991 (USA),10,10
10 January 2009 (USA),11,11
4 January 2002 (USA),12,12
3 August 2007 (USA),13,13
20 March 1992 (USA),14,14
10 May 2002 (USA),15,15
25 July 2003 (USA),16,16
7 May 1999 (USA),17,17
19 September 2003 (USA),18,18
20 January 2006 (USA),19,19
9 July 2010 (USA),20,20
21 June 2013 (USA),21,21
24 November 1999 (USA),22,22
8 July 2010 (Portugal),23,23
11 December 2009 (USA),24,24
9 November 2012 (USA),25,25
21 August 1998 (USA),26,26
26 March 2010 (USA),27,27
11 March 2006 (USA),28,28
21 October 2016 (USA),29,29
5 December 2003 (USA),30,30
16 May 1986 (USA),31,31
2 October 1998 (USA),32,32
16 December 1969 (USA),33,33
19 September 1968 (USA),34,34
23 January 1943 (USA),35,35
15 May 1968 (UK),36,36
15 December 2000 (USA),37,37
30 October 1986 (Argentina),38,38
16 July 1999 (USA),39,39
12 June 1962 (USA),40,40
19 March 1931 (USA),41,41
18 September 2015 (USA),42,42
28 February 2008 (Australia),43,43
7 August 2009 (USA),44,44
2011 (USA),45,45
13 July 2013 (USA),46,46
11 March 2006 (USA),47,28
,48,47
17 June 2014 (USA),49,48
14 March 2015 (USA),50,49
25 September 2015 (USA),51,50
3 June 1988 (USA),52,51
19 March 2004 (USA),53,52
14 January 2000 (USA),54,53
24 September 2010 (USA),55,54
25 November 2009 (USA),56,55
11 September 2015 (USA),57,56
"Nov 11, 2011 Wide",58,57
15 September 2015 (USA),59,58
"Aug 21, 2015 Limited",60,59
15 June 1990 (USA),61,60
4 June 1982 (USA),62,61
23 November 1988 (USA),63,62
23 July 2004 (USA),64,63
May 1985 (USA),65,64
14 June 2003 (USA),66,65
"Aug 18, 1972 Wide",67,66
25 June 1937 (USA),68,67
25 December 1935 (USA),69,68
27 November 1943 (USA),70,69
23 November 1994 (USA),71,70
2 November 1964 (USA),72,71
3 July 1931 (USA),73,72
16 November 1951 (USA),74,73
6 May 1932 (USA),75,74
20 October 1933 (USA),76,75
31 January 1941 (USA),77,76
2 February 1945 (USA),78,77
21 February 1955 (Sweden),79,78
2 September 1928 (USA),80,79
18 December 1963 (USA),81,80
25 March 1964 (USA),82,81
11 February 1981 (USA),83,82
September 1984 (UK),84,83
18 December 1981 (USA),85,84
29 May 1963 (USA),86,85
December 1941 (USA),87,86
22 October 1940 (USA),88,87
23 March 1940 (USA),89,88
18 August 1939 (USA),90,89
15 February 1962 (Japan),91,90
12 April 1936 (USA),92,91
31 October 1931 (USA),93,92
7 August 1931 (USA),94,93
25 March 1932 (USA),95,94
December 1933 (UK),96,95
29 October 1932 (USA),97,96
30 June 1933 (USA),98,97
17 June 1933 (USA),99,98
28 October 1933 (USA),100,99
17 November 1939 (USA),101,100
23 May 1941 (USA),102,101
9 November 1934 (USA),103,102
November 1941 (USA),104,103
21 November 1980 (USA),105,104
2017 (USA),106,105
7 July 1989 (USA),107,106
4 August 1999 (France),108,107
18 June 1994 (USA),109,108
5 October 1990 (USA),110,109
26 November 1997 (USA),111,110
