completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
154745,173433,328178,17:01.504,74,Id
136162,167926,304088,14:50.023,72,Name
5798,3288,9086,00:41.219,1,Year
97236,129280,226516,10:45.966,49,Release Date
81802,88989,170791,08:50.170,38,Director
126196,161983,288179,14:08.579,62,Creator
144109,225195,369304,16:44.985,73,Actors
134888,576019,710907,17:51.257,74,Cast
9246,13698,22944,01:00.256,6,Language
9046,10001,19047,00:57.698,4,Country
4217,5255,9472,00:26.925,3,Duration
2712,6364,9076,00:19.122,3,RatingValue
130960,131502,262462,14:14.297,60,RatingCount
110687,129327,240014,12:11.239,53,ReviewCount
14655,18007,32662,01:33.370,8,Genre
65884,98016,163900,09:49.646,32,Filming Locations
151550,394364,545914,20:55.840,73,Description
