Duration,RatingCount,original_index,unique_index
109 min,"379,998",0,0
96 min,"46,421",1,1
120 min,"12,684",2,2
96 min,724,3,3
93 min,"3,341",4,4
143 min,"11,928",5,5
120 min,"14,283",6,6
92 min,"14,700",7,7
95 min,"15,051",8,8
,517,9,9
100 min,"1,294",10,10
105 min,"1,188",11,11
110 min,"194,889",12,12
115 min,"444,001",13,13
127 min,"124,230",14,14
124 min,"59,104",15,15
117 min,"95,376",16,16
125 min,"296,307",17,17
121 min,"194,551",18,18
106 min,"145,752",19,19
95 min,"345,095",20,20
104 min,"208,302",21,21
92 min,"349,182",22,22
91 min,"7,135",23,23
122 min,"62,359",24,24
143 min,"463,639",25,25
120 min,"176,103",26,26
,219,27,27
52 min,207,28,28
,,29,29
154 min,"294,740",30,30
110 min,"203,621",31,31
113 min,"79,168",32,32
146 min,"9,255",33,33
151 min,"12,144",34,34
102 min,"356,710",35,35
160 min,"381,808",36,36
102 min,"521,173",37,37
120 min,"121,390",38,38
159 min,"210,746",39,39
152 min,"62,308",40,40
86 min,"3,097",41,41
88 min,"4,625",42,42
79 min,"29,293",43,43
94 min,674,44,44
,975,45,45
90 min,65,46,46
93 min,905,47,47
85 min,56,48,48
100 min,332,49,49
96 min,129,50,50
100 min,"4,425",51,51
104 min,"141,023",52,52
103 min,"61,876",53,53
127 min,"116,168",54,54
97 min,"61,754",55,55
87 min,"125,748",56,56
100 min,"1,908",57,57
,"131,158",58,58
84 min,"2,547",59,59
1 hr. 39 min.,"13,532",60,60
106 min,"61,611",61,61
114 min,"95,536",62,62
101 min,"56,108",63,63
104 min,"82,071",64,64
90 min,"2,599",65,65
91 min,"3,520",66,66
1 hr. 45 min.,"2,384",67,67
117 min,"6,329",68,68
79 min,"1,784",69,69
110 min,"1,841",70,70
109 min,"50,773",71,71
111 min,913,72,72
64 min,89,73,73
86 min,310,74,74
73 min,76,75,75
68 min,159,76,76
84 min,"3,074",77,77
90 min,967,78,78
80 min,"1,714",79,79
144 min,261,80,80
108 min,"1,087",81,81
100 min,359,82,82
118 min,869,83,83
122 min,"1,322",84,84
116 min,"8,857",85,85
112 min,"14,598",86,86
90 min,"16,742",87,87
126 min,"1,015",88,88
121 min,"1,427",89,89
101 min,921,90,90
136 min,"4,099",91,91
115 min,"14,303",92,92
89 min,"2,068",93,93
90 min,"1,243",94,94
72 min,442,95,95
71 min,"3,993",96,96
63 min,"2,121",97,97
74 min,798,98,98
76 min,"1,649",99,99
73 min,"1,834",100,100
103 min,"4,417",101,101
99 min,"1,784",102,102
79 min,868,103,103
97 min,"3,558",104,104
90 min,"1,208",105,105
,,106,29
114 min,"118,639",107,106
89 min,"23,331",108,107
110 min,"15,029",109,108
115 min,"97,439",110,109
93 min,"57,873",111,110
117 min,"10,548",112,111
160 min,"41,907",113,112
120 min,"4,440",114,113
87 min,"15,509",115,114
129 min,"56,983",116,115
212 min,"144,604",117,116
112 min,"129,025",118,117
98 min,"21,171",119,118
89 min,"19,248",120,119
114 min,"68,036",121,120
91 min,"115,051",122,121
108 min,"132,048",123,122
93 min,"94,966",124,123
82 min,"69,551",125,124
89 min,"12,925",126,125
88 min,"13,361",127,126
86 min,"13,470",128,127
87 min,"11,654",129,128
165 min,"1,020,855",130,129
137 min,"92,365",131,130
116 min,"149,320",132,131
88 min,21,133,132
95 min,"23,943",134,133
118 min,"31,137",135,134
91 min,"3,423",136,135
88 min,"4,809",137,136
85 min,"30,481",138,137
100 min,"61,535",139,138
100 min,"79,227",140,139
108 min,"278,418",141,140
142 min,"343,566",142,141
90 min,"425,126",143,142
89 min,"564,457",144,143
84 min,"274,949",145,144
88 min,"126,092",146,145
78 min,"114,950",147,146
85 min,"62,596",148,147
89 min,"50,894",149,148
90 min,"122,767",150,149
108 min,"119,968",151,150
107 min,"167,512",152,151
90 min,"137,548",153,152
89 min,"129,553",154,153
152 min,"66,537",155,154
124 min,"3,086",156,155
105 min,"1,578",157,156
108 min,"1,757",158,157
121 min,"12,474",159,158
1 hr. 41 min.,"13,441",160,159
2 hr. 16 min.,"20,281",161,160
140 min,"16,212",162,161
124 min,"40,547",163,162
106 min,"24,944",164,163
95 min,"24,560",165,164
90 min,"4,950",166,165
108 min,"4,074",167,166
1 hr. 20 min.,455,168,167
87 min,"1,556",169,168
81 min,"1,071",170,169
110 min,"1,954",171,170
100 min,"2,288",172,171
135 min,"5,384",173,172
2 hr. 7 min.,"11,718",174,173
100 min,"16,422",175,174
122 min,"9,563",176,175
122 min,"4,791",177,176
