Duration,RatingValue,original_index,unique_index
109 min,8.6,0,0
96 min,7.2,1,1
120 min,7.6,2,2
96 min,7.5,3,3
93 min,6.7,4,4
143 min,6.3,5,5
120 min,6.8,6,6
92 min,5.9,7,7
95 min,6.3,8,8
,4.8,9,9
100 min,5.9,10,10
105 min,7.2,11,11
110 min,7.6,12,12
115 min,8.1,13,13
127 min,6.9,14,14
124 min,6.7,15,15
117 min,5.5,16,16
125 min,7.0,17,17
121 min,7.0,18,18
106 min,6.8,19,19
95 min,7.7,20,20
104 min,7.4,21,21
92 min,7.9,22,22
91 min,6.3,23,23
122 min,6.7,24,24
143 min,7.8,25,25
120 min,7.1,26,26
,6.6,27,27
52 min,7.1,28,28
,,29,29
154 min,7.7,30,30
110 min,6.9,31,31
113 min,7.0,32,32
146 min,7.2,33,33
151 min,7.5,34,34
102 min,8.6,35,35
160 min,8.3,36,36
102 min,8.4,37,37
120 min,7.8,38,38
159 min,7.3,39,39
152 min,7.7,40,40
86 min,7.6,41,41
88 min,5.8,42,42
79 min,8.2,43,43
94 min,6.7,44,44
,7.6,45,45
90 min,6.6,46,46
93 min,6.8,47,47
85 min,6.8,48,48
100 min,6.6,49,49
96 min,7.4,50,50
100 min,5.8,51,51
104 min,7.3,52,52
103 min,6.2,53,53
127 min,7.3,54,54
97 min,7.0,55,55
87 min,7.8,56,56
100 min,5.1,57,57
,"5/10,5/10",58,58
84 min,6.4,59,59
1 hr. 39 min.,"5.4/10,6/10",60,60
106 min,6.3,61,61
114 min,7.4,62,62
101 min,7.0,63,63
104 min,3.3,64,64
90 min,2.0,65,65
91 min,2.1,66,66
1 hr. 45 min.,"7.7/10,6.5/10",67,67
117 min,8.0,68,68
79 min,7.2,69,69
110 min,7.6,70,12
109 min,4.5,71,70
111 min,6.5,72,71
64 min,6.2,73,72
86 min,6.4,74,73
73 min,5.5,75,74
68 min,5.8,76,75
84 min,7.4,77,76
90 min,7.1,78,77
80 min,7.1,79,78
144 min,7.0,80,79
108 min,6.3,81,80
100 min,5.3,82,81
118 min,5.2,83,82
122 min,6.3,84,83
116 min,6.9,85,84
112 min,8.0,86,85
90 min,8.1,87,86
126 min,6.7,88,87
121 min,6.8,89,88
101 min,7.1,90,89
136 min,7.4,91,90
115 min,8.0,92,91
89 min,6.9,93,92
90 min,7.3,94,93
72 min,6.5,95,94
71 min,7.6,96,95
63 min,7.3,97,96
74 min,7.1,98,97
76 min,7.7,99,98
73 min,6.9,100,99
103 min,7.5,101,100
99 min,7.5,102,101
79 min,6.8,103,102
97 min,7.3,104,103
90 min,4.2,105,104
,,106,29
114 min,7.2,107,105
89 min,7.1,108,106
110 min,7.2,109,107
115 min,7.9,110,108
93 min,5.1,111,109
117 min,8.1,112,110
160 min,8.1,113,111
120 min,6.1,114,112
87 min,4.5,115,113
129 min,8.1,116,114
212 min,8.1,117,115
112 min,8.0,118,85
98 min,6.6,119,116
89 min,6.7,120,117
114 min,7.1,121,118
91 min,6.5,122,119
108 min,6.2,123,120
93 min,5.8,124,121
82 min,5.2,125,122
89 min,5.8,126,123
88 min,6.8,127,124
86 min,6.8,128,125
87 min,5.8,129,126
165 min,8.5,130,127
137 min,6.6,131,128
116 min,5.8,132,129
88 min,5.4,133,130
95 min,6.2,134,131
118 min,6.9,135,132
91 min,6.6,136,133
88 min,6.8,137,124
85 min,7.6,138,134
100 min,8.0,139,135
100 min,7.3,140,136
108 min,6.5,141,137
142 min,7.8,142,138
90 min,7.9,143,139
89 min,8.5,144,140
84 min,8.0,145,141
88 min,7.2,146,142
78 min,7.3,147,143
85 min,6.7,148,144
89 min,6.9,149,92
90 min,6.0,150,145
108 min,6.5,151,137
107 min,7.3,152,146
90 min,7.0,153,147
89 min,6.7,154,117
152 min,7.6,155,148
124 min,7.2,156,149
105 min,6.5,157,150
108 min,5.9,158,151
121 min,7.1,159,152
1 hr. 41 min.,"7.1/10,5.6/10",160,153
2 hr. 16 min.,"7/10,8.4/10",161,154
140 min,6.6,162,155
124 min,6.9,163,156
106 min,5.9,164,157
95 min,6.7,165,158
90 min,6.2,166,159
108 min,6.5,167,137
1 hr. 20 min.,,168,160
87 min,6.8,169,161
81 min,6.4,170,162
110 min,6.3,171,163
100 min,6.5,172,164
135 min,7.3,173,165
2 hr. 7 min.,8.3/10,174,166
100 min,7.7,175,167
122 min,7.2,176,168
122 min,7.0,177,169
109 min,6.9,178,170
157 min,7.3,179,171
133 min,7.3,180,172
76 min,6.7,181,173
94 min,6.5,182,174
1 hr. 26 min.,"6.8/10,7.7/10",183,175
104 min,6.5,184,176
60 min,5.1,185,177
92 min,4.6,186,178
104 min,5.8,187,179
75 min,6.6,188,180
137 min,7.5,189,181
114 min,7.3,190,182
87 min,5.3,191,183
64 min,5.1,192,184
104 min,6.9,193,185
102 min,6.2,194,186
107 min,5.7,195,187
90 min,7.6,196,188
89 min,5.9,197,189
95 min,5.8,198,190
104 min,7.2,199,191
91 min,5.9,200,192
140 min,6.5,201,193
97 min,7.2,202,194
99 min,6.1,203,195
133 min,5.6,204,196
98 min,6.0,205,197
125 min,6.2,206,198
118 min,6.5,207,199
129 min,7.6,208,200
103 min,7.0,209,201
111 min,7.5,210,202
106 min,7.2,211,203
146 min,7.7,212,204
102 min,7.0,213,205
98 min,6.8,214,206
153 min,8.1,215,207
84 min,7.5,216,208
125 min,6.6,217,209
106 min,7.1,218,210
112 min,7.6,219,211
83 min,7.3,220,212
64 min,5.2,221,213
88 min,6.9,222,214
102 min,7.3,223,215
106 min,6.7,224,216
176 min,7.2,225,217
133 min,7.9,226,218
1 hr. 50 min.,6/10,227,219
102 min,6.9,228,220
103 min,7.1,229,221
81 min,6.8,230,222
82 min,6.4,231,223
119 min,7.4,232,224
129 min,6.6,233,225
93 min,6.8,234,47
62 min,6.6,235,226
72 min,7.0,236,227
90 min,7.1,237,77
100 min,4.1,238,228
93 min,6.7,239,4
100 min,6.3,240,229
125 min,7.6,241,230
116 min,5.8,242,129
100 min,7.7,243,167
106 min,6.7,244,216
123 min,7.1,245,231
127 min,7.0,246,232
94 min,7.6,247,233
113 min,7.5,248,234
118 min,5.8,249,235
139 min,7.3,250,236
118 min,5.9,251,237
92 min,4.5,252,238
269 min,7.3,253,239
167 min,4.5,254,240
58 min,3.7,255,241
115 min,6.8,256,242
92 min,7.1,257,243
93 min,7.7,258,244
104 min,6.9,259,185
115 min,7.3,260,245
101 min,5.7,261,246
171 min,7.4,262,247
157 min,7.4,263,248
,,264,29
86 min,6.7,265,249
84 min,6.0,266,250
158 min,7.6,267,251
85 min,7.1,268,252
94 min,4.7,269,253
73 min,6.9,270,99
122 min,6.5,271,254
91 min,6.9,272,255
86 min,5.7,273,256
88 min,7.1,274,257
,,275,29
79 min,5.3,276,258
90 min,5.5,277,259
96 min,6.4,278,260
112 min,7.4,279,261
134 min,7.0,280,262
164 min,7.6,281,263
121 min,6.8,282,88
109 min,7.8,283,264
155 min,6.7,284,265
90 min,7.3,285,93
119 min,7.7,286,266
97 min,7.7,287,267
89 min,8.1,288,268
128 min,7.1,289,269
110 min,6.7,290,270
115 min,6.3,291,271
132 min,6.4,292,272
88 min,6.7,293,273
113 min,7.1,294,274
124 min,8.1,295,275
107 min,8.2,296,276
143 min,6.9,297,277
101 min,7.4,298,278
96 min,6.5,299,279
111 min,6.1,300,280
108 min,6.3,301,80
100 min,5.7,302,281
125 min,5.8,303,282
112 min,7.2,304,283
120 min,8.3,305,284
103 min,8.4,306,285
131 min,7.6,307,286
98 min,5.3,308,287
118 min,5.8,309,235
144 min,7.1,310,288
,"7.7/10,7.5/10",311,289
136 min,7.8,312,290
142 min,6.8,313,291
,,314,29
103 min,5.5,315,292
84 min,4.4,316,293
106 min,6.1,317,294
86 min,5.1,318,295
84 min,4.8,319,296
97 min,5.9,320,297
79 min,5.9,321,298
89 min,6.1,322,299
124 min,5.8,323,300
97 min,6.0,324,301
88 min,6.2,325,302
104 min,6.4,326,303
129 min,6.6,327,225
169 min,8.0,328,304
125 min,5.8,329,282
89 min,6.5,330,305
130 min,7.4,331,306
106 min,6.1,332,294
118 min,5.5,333,307
124 min,6.0,334,308
108 min,6.1,335,309
93 min,6.1,336,310
101 min,7.1,337,89
106 min,6.9,338,311
110 min,7.7,339,312
88 min,5.3,340,313
94 min,5.9,341,314
106 min,3.9,342,315
105 min,5.9,343,316
120 min,7.4,344,317
105 min,8.3,345,318
125 min,7.1,346,319
91 min,5.4,347,320
140 min,7.3,348,321
116 min,7.3,349,322
1 hr. 35 min.,"2.9/10,3.3/10",350,323
128 min,7.0,351,324
106 min,7.1,352,210
108 min,6.5,353,137
106 min,6.7,354,216
129 min,6.5,355,325
134 min,7.4,356,326
85 min,6.5,357,327
99 min,7.7,358,328
89 min,4.9,359,329
123 min,7.0,360,330
90 min,7.3,361,93
123 min,7.1,362,231
86 min,7.0,363,331
132 min,7.8,364,332
110 min,5.4,365,333
108 min,7.1,366,334
89 min,7.7,367,335
112 min,7.6,368,211
84 min,7.7,369,336
91 min,7.3,370,337
125 min,7.9,371,338
88 min,7.2,372,142
95 min,7.6,373,339
79 min,7.2,374,69
113 min,7.4,375,340
105 min,4.5,376,341
105 min,2.7,377,342
101 min,6.2,378,343
101 min,5.6,379,344
1 hr. 34 min.,"5.3/10,4.8/10",380,345
87 min,4.5,381,113
111 min,7.2,382,346
95 min,8.2,383,347
115 min,8.3,384,348
109 min,7.9,385,349
100 min,5.9,386,10
110 min,5.4,387,333
90 min,5.9,388,350
71 min,4.7,389,351
100 min,6.3,390,229
107 min,5.3,391,352
113 min,4.5,392,353
90 min,7.8,393,354
94 min,6.7,394,44
104 min,6.3,395,355
97 min,5.7,396,356
100 min,6.8,397,357
88 min,6.2,398,302
95 min,7.1,399,358
91 min,6.6,400,133
94 min,6.6,401,359
120 min,6.7,402,360
102 min,6.0,403,361
90 min,5.7,404,362
97 min,6.1,405,363
94 min,6.1,406,364
113 min,7.6,407,365
88 min,7.7,408,366
104 min,7.0,409,367
107 min,7.0,410,368
107 min,6.6,411,369
85 min,6.2,412,370
91 min,5.8,413,371
119 min,7.1,414,372
86 min,6.8,415,125
118 min,7.4,416,373
124 min,7.2,417,149
122 min,6.8,418,374
118 min,7.7,419,375
120 min,6.2,420,376
96 min,5.6,421,377
88 min,6.1,422,378
131 min,5.9,423,379
119 min,6.0,424,380
136 min,6.9,425,381
,"5.9/10,5.7/10",426,382
116 min,7.0,427,383
125 min,8.1,428,384
128 min,7.6,429,385
106 min,6.9,430,311
87 min,5.8,431,126
67 min,5.0,432,386
85 min,5.6,433,387
95 min,6.1,434,388
69 min,6.5,435,389
107 min,5.3,436,352
128 min,4.5,437,390
47 min,8.8,438,391
81 min,6.2,439,392
91 min,6.9,440,255
64 min,7.8,441,393
68 min,7.8,442,394
135 min,6.9,443,395
104 min,6.1,444,396
66 min,6.3,445,397
92 min,8.1,446,398
97 min,8.1,447,399
101 min,6.5,448,400
120 min,6.3,449,401
90 min,7.8,450,354
97 min,6.1,451,363
