Language,Country,original_index,unique_index
English,USA,0,0
English,USA,1,0
"English,Dutch,Latvian",USA,2,1
English,USA,3,0
"English,French","USA,UK",4,2
"English,Spanish,French,Russian",USA,5,3
English,USA,6,0
English,USA,7,0
English,"USA,Netherlands",8,4
English,USA,9,0
English,USA,10,0
English,USA,11,0
"English,Italian",USA,12,5
"English,French,Arabic,Russian,Spanish","USA,Germany",13,6
English,"France,USA",14,7
"English,French","USA,Germany,France",15,8
"English,Mandarin","USA,Germany,Japan,UK",16,9
"English,Egyptian (Ancient),Arabic",USA,17,10
English,"UK,Germany,Hungary,USA",18,11
"English,French,Hungarian",USA,19,12
English,USA,20,0
English,USA,21,0
"English,Arabic,Spanish",USA,22,13
English,"USA,Germany",23,14
"English,Spanish",USA,24,15
English,"UK,USA",25,16
"English,Russian",USA,26,17
English,USA,27,0
English,USA,28,0
English,USA,29,0
"English,Japanese","USA,New Zealand,Japan",30,18
English,USA,31,0
English,"USA,New Zealand",32,19
English,USA,33,0
English,USA,34,0
"English,French,German,Italian",USA,35,20
"English,Russian","USA,UK",36,21
English,USA,37,0
English,USA,38,0
English,"UK,USA",39,16
"English,French","UK,USA",40,22
English,USA,41,0
English,USA,42,0
English,USA,43,0
English,USA,44,0
English,USA,45,0
English,USA,46,0
English,USA,47,0
English,USA,48,0
English,USA,49,0
English,USA,50,0
English,"Chile,USA",51,23
English,USA,52,0
"English,French","USA,Australia",53,24
English,"USA,Germany",54,14
English,"USA,Australia",55,25
"English,French",USA,56,26
English,USA,57,0
"English,Greek",USA,58,27
English,USA,59,0
English,"USA,Switzerland",60,28
English,USA,61,0
English,USA,62,0
English,USA,63,0
"English,Spanish",USA,64,15
English,"USA,Italy",65,29
English,USA,66,0
English,USA,67,0
"English,Portuguese",USA,68,30
English,USA,69,0
English,USA,70,0
English,USA,71,0
English,USA,72,0
English,USA,73,0
English,USA,74,0
English,USA,75,0
English,USA,76,0
English,USA,77,0
English,USA,78,0
English,USA,79,0
English,USA,80,0
English,USA,81,0
English,"Japan,USA",82,31
English,"USA,Netherlands",83,4
English,"UK,USA",84,16
"English,Spanish",USA,85,15
English,USA,86,0
English,USA,87,0
English,USA,88,0
English,USA,89,0
English,USA,90,0
"English,American Sign Language,Spanish",USA,91,32
English,USA,92,0
English,USA,93,0
English,USA,94,0
English,USA,95,0
"English,French",USA,96,26
English,USA,97,0
English,USA,98,0
