Name,Director,original_index,unique_index
Psycho,Alfred Hitchcock,0,0
Day of the Dead,George A. Romero,1,1
Foreign Correspondent,Alfred Hitchcock,2,2
Trumbo,Peter Askin,3,3
The People vs. George Lucas,Alexandre O. Philippe,4,4
Topaz,Alfred Hitchcock,5,5
Family Plot,Alfred Hitchcock,6,6
Creepshow 2,Michael Gornick,7,7
Silver Bullet,Daniel Attias,8,8
Pyrates,Noah Stern,9,9
Queens Logic,Steve Rash,10,10
Tales from the Script,Peter Hanson,11,11
The Royal Tenenbaums,Wes Anderson,12,12
The Bourne Ultimatum,Paul Greengrass,13,13
Basic Instinct,Paul Verhoeven,14,14
Unfaithful,Adrian Lyne,15,15
Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont,16,16
The Mummy,Stephen Sommers,17,17
Underworld,Len Wiseman,18,18
Underworld: Evolution,Len Wiseman,19,19
Despicable Me,"Pierre Coffin,Chris Renaud",20,20
Monsters University,Dan Scanlon,21,21
Toy Story 2,"John Lasseter,Ash Brannon",22,22
"My Son, My Son, What Have Ye Done",Werner Herzog,23,23
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,24,24
Skyfall,Sam Mendes,25,25
Blade,Stephen Norrington,26,26
Get Lamp,Jason Scott Sadofsky,27,27
High Score,Jeremy Mack,28,28
Jack Reacher 2,Edward Zwick,29,29
The Last Samurai,Edward Zwick,30,30
Top Gun,Tony Scott,31,31
What Dreams May Come,Vincent Ward,32,32
"Hello, Dolly!",Gene Kelly,33,33
Funny Girl,William Wyler,34,34
Casablanca,Michael Curtiz,35,35
2001: A Space Odyssey,Stanley Kubrick,36,36
Requiem for a Dream,Darren Aronofsky,37,37
Blue Velvet,David Lynch,38,38
Eyes Wide Shut,Stanley Kubrick,39,39
Lolita,Stanley Kubrick,40,40
Tabu: A Story of the South Seas,F.W. Murnau,41,41
Cooties,"Jonathan Milott,Cary Murnion",42,42
The King of Kong: A Fistful of Quarters,Seth Gordon,43,43
Second Skin,Juan Carlos Pineiro Escoriaza,44,44
Ecstasy of Order: The Tetris Masters,Adam Cornelius,45,45
The Video Craze,Dave Danzara,46,46
Darkon,"Luke Meyer,Andrew Neel",47,47
The Space Invaders: In Search of Lost Time,Jeff Von Ward,48,48
The King of Arcades,Sean Tiedeman,49,49
Lamb,Ross Partridge,50,50
The Green Inferno,Eli Roth,51,51
Big,Penny Marshall,52,52
Taking Lives,D.J. Caruso,53,53
"Girl, Interrupted",James Mangold,54,54
