RatingValue,RatingCount,original_index,unique_index
8.6,"379,998",0,0
7.2,"46,421",1,1
7.6,"12,684",2,2
7.5,724,3,3
6.7,"3,341",4,4
6.3,"11,928",5,5
6.8,"14,283",6,6
5.9,"14,700",7,7
6.3,"15,051",8,8
4.8,517,9,9
5.9,"1,294",10,10
7.2,"1,188",11,11
7.6,"194,889",12,12
8.1,"444,001",13,13
6.9,"124,230",14,14
6.7,"59,104",15,15
5.5,"95,376",16,16
7.0,"296,307",17,17
7.0,"194,551",18,18
6.8,"145,752",19,19
7.7,"345,095",20,20
7.4,"208,302",21,21
7.9,"349,182",22,22
6.3,"7,135",23,23
6.7,"62,359",24,24
7.8,"463,639",25,25
7.1,"176,103",26,26
6.6,219,27,27
7.1,207,28,28
,,29,29
7.7,"294,740",30,30
6.9,"203,621",31,31
7.0,"79,168",32,32
7.2,"9,255",33,33
7.5,"12,144",34,34
8.6,"356,710",35,35
8.3,"381,808",36,36
8.4,"521,173",37,37
7.8,"121,390",38,38
7.3,"210,746",39,39
7.7,"62,308",40,40
7.6,"3,097",41,41
5.8,"4,625",42,42
8.2,"29,293",43,43
6.7,674,44,44
7.6,975,45,45
6.6,65,46,46
6.8,905,47,47
6.8,56,48,48
6.6,332,49,49
7.4,129,50,50
5.8,"4,425",51,51
7.3,"141,023",52,52
6.2,"61,876",53,53
7.3,"116,168",54,54
7.0,"61,754",55,55
7.8,"125,748",56,56
5.1,"1,908",57,57
"5/10,5/10","131,158",58,58
6.4,"2,547",59,59
"5.4/10,6/10","13,532",60,60
6.3,"61,611",61,61
7.4,"95,536",62,62
7.0,"56,108",63,63
3.3,"82,071",64,64
2.0,"2,599",65,65
2.1,"3,520",66,66
"7.7/10,6.5/10","2,384",67,67
8.0,"6,329",68,68
7.2,"1,784",69,69
7.6,"1,841",70,70
4.5,"50,773",71,71
6.5,913,72,72
6.2,89,73,73
6.4,310,74,74
5.5,76,75,75
5.8,159,76,76
7.4,"3,074",77,77
7.1,967,78,78
7.1,"1,714",79,79
7.0,261,80,80
6.3,"1,087",81,81
5.3,359,82,82
5.2,869,83,83
6.3,"1,322",84,84
6.9,"8,857",85,85
8.0,"14,598",86,86
8.1,"16,742",87,87
6.7,"1,015",88,88
6.8,"1,427",89,89
7.1,921,90,90
7.4,"4,099",91,91
8.0,"14,303",92,92
6.9,"2,068",93,93
7.3,"1,243",94,94
6.5,442,95,95
7.6,"3,993",96,96
7.3,"2,121",97,97
7.1,798,98,98
7.7,"1,649",99,99
6.9,"1,834",100,100
7.5,"4,417",101,101
7.5,"1,784",102,102
6.8,868,103,103
7.3,"3,558",104,104
4.2,"1,208",105,105
,,106,29
7.2,"118,639",107,106
7.1,"23,331",108,107
7.2,"15,029",109,108
7.9,"97,439",110,109
5.1,"57,873",111,110
8.1,"10,548",112,111
8.1,"41,907",113,112
6.1,"4,440",114,113
4.5,"15,509",115,114
8.1,"56,983",116,115
8.1,"144,604",117,116
8.0,"129,025",118,117
6.6,"21,171",119,118
6.7,"19,248",120,119
7.1,"68,036",121,120
6.5,"115,051",122,121
6.2,"132,048",123,122
5.8,"94,966",124,123
5.2,"69,551",125,124
5.8,"12,925",126,125
6.8,"13,361",127,126
6.8,"13,470",128,127
5.8,"11,654",129,128
8.5,"1,020,855",130,129
6.6,"92,365",131,130
5.8,"149,320",132,131
5.4,21,133,132
6.2,"23,943",134,133
6.9,"31,137",135,134
6.6,"3,423",136,135
6.8,"4,809",137,136
7.6,"30,481",138,137
8.0,"61,535",139,138
7.3,"79,227",140,139
6.5,"278,418",141,140
7.8,"343,566",142,141
7.9,"425,126",143,142
8.5,"564,457",144,143
8.0,"274,949",145,144
7.2,"126,092",146,145
7.3,"114,950",147,146
6.7,"62,596",148,147
6.9,"50,894",149,148
6.0,"122,767",150,149
6.5,"119,968",151,150
7.3,"167,512",152,151
7.0,"137,548",153,152
6.7,"129,553",154,153
7.6,"66,537",155,154
7.2,"3,086",156,155
6.5,"1,578",157,156
5.9,"1,757",158,157
7.1,"12,474",159,158
"7.1/10,5.6/10","13,441",160,159
"7/10,8.4/10","20,281",161,160
6.6,"16,212",162,161
6.9,"40,547",163,162
5.9,"24,944",164,163
6.7,"24,560",165,164
6.2,"4,950",166,165
6.5,"4,074",167,166
,455,168,167
6.8,"1,556",169,168
6.4,"1,071",170,169
6.3,"1,954",171,170
6.5,"2,288",172,171
7.3,"5,384",173,172
8.3/10,"11,718",174,173
7.7,"16,422",175,174
7.2,"9,563",176,175
7.0,"4,791",177,176
6.9,"5,384",178,177
7.3,"8,473",179,178
7.3,"82,023",180,179
6.7,"8,457",181,180
6.5,"3,332",182,181
"6.8/10,7.7/10","15,460",183,182
6.5,"3,046",184,183
5.1,"1,712",185,184
4.6,"7,176",186,185
5.8,"15,455",187,186
6.6,9,188,187
7.5,"3,804",189,188
7.3,"181,758",190,189
5.3,"3,460",191,190
5.1,"1,082",192,191
6.9,"122,545",193,192
6.2,"51,492",194,193
5.7,"72,327",195,194
7.6,16,196,195
5.9,777,197,196
5.8,"3,485",198,197
7.2,"10,176",199,198
5.9,"11,584",200,199
6.5,"44,968",201,200
7.2,"86,365",202,201
6.1,"33,751",203,202
5.6,"57,506",204,203
6.0,"45,396",205,204
6.2,"40,363",206,205
6.5,"77,670",207,206
7.6,"256,209",208,207
7.0,"1,930",209,208
7.5,"7,064",210,209
7.2,"4,612",211,210
7.7,"249,318",212,211
7.0,"3,226",213,212
6.8,"139,831",214,213
8.1,"327,360",215,214
7.5,"135,403",216,215
6.6,"36,490",217,216
7.1,"1,612",218,217
7.6,"12,692",219,218
7.3,"1,416",220,219
5.2,52,221,220
6.9,"1,061",222,221
7.3,"10,949",223,222
6.7,"5,826",224,223
7.2,"5,578",225,224
7.9,"9,432",226,225
6/10,"1,300",227,226
6.9,"2,145",228,227
7.1,"3,467",229,228
6.8,826,230,229
6.4,464,231,230
7.4,"1,234",232,231
6.6,"9,818",233,232
6.8,"3,009",234,233
6.6,122,235,234
7.0,239,236,235
7.1,"1,584",237,236
4.1,"56,945",238,237
6.7,"1,044",239,238
6.3,"4,920",240,239
7.6,"263,441",241,240
5.8,"67,925",242,241
7.7,"180,652",243,242
6.7,"257,100",244,243
7.1,"68,776",245,244
7.0,"77,466",246,245
7.6,"258,437",247,246
7.5,"1,070",248,247
5.8,"42,533",249,248
7.3,"128,005",250,249
5.9,"36,160",251,250
4.5,804,252,251
7.3,216,253,252
4.5,594,254,253
3.7,"1,617",255,254
6.8,"161,191",256,255
7.1,"169,343",257,256
7.7,"159,465",258,257
6.9,"65,340",259,258
7.3,"34,316",260,259
5.7,461,261,260
7.4,"25,273",262,261
7.4,"202,803",263,262
,,264,29
6.7,68,265,263
6.0,197,266,264
7.6,"225,665",267,265
7.1,"265,291",268,266
4.7,663,269,267
6.9,790,270,268
6.5,638,271,269
6.9,781,272,270
5.7,"1,277",273,271
7.1,"1,657",274,272
,,275,29
5.3,70,276,273
5.5,"2,611",277,274
6.4,"13,064",278,275
7.4,"14,503",279,276
7.0,"20,766",280,277
7.6,"37,426",281,278
6.8,"51,021",282,279
7.8,"47,450",283,280
6.7,"12,608",284,281
7.3,"6,956",285,282
7.7,"50,361",286,283
7.7,"36,302",287,284
8.1,"248,241",288,285
7.1,"162,343",289,286
6.7,"282,420",290,287
6.3,"136,443",291,288
6.4,"115,631",292,289
6.7,"4,992",293,290
7.1,"192,698",294,291
8.1,"607,376",295,292
8.2,"643,673",296,293
6.9,"135,914",297,294
7.4,"150,676",298,295
6.5,"150,239",299,296
6.1,"113,941",300,297
6.3,"35,168",301,298
5.7,"63,078",302,299
5.8,"89,049",303,300
7.2,"121,416",304,301
8.3,"159,364",305,302
8.4,"135,559",306,303
7.6,"279,650",307,304
5.3,"154,165",308,305
5.8,"165,153",309,306
7.1,"480,946",310,307
"7.7/10,7.5/10","624,108",311,308
7.8,"408,904",312,309
6.8,"286,834",313,310
,,314,29
5.5,"19,163",315,311
4.4,191,316,312
6.1,"33,428",317,313
5.1,"1,107",318,314
4.8,934,319,315
5.9,"6,004",320,316
5.9,"8,148",321,317
6.1,"4,472",322,318
5.8,"10,257",323,319
6.0,"16,826",324,320
6.2,"25,868",325,321
6.4,"73,220",326,322
6.6,"17,205",327,323
8.0,"1,261",328,324
5.8,"57,679",329,325
6.5,"42,363",330,326
7.4,"93,447",331,327
6.1,"6,841",332,328
5.5,"13,371",333,329
6.0,"10,830",334,330
6.1,"41,095",335,331
6.1,"25,417",336,332
7.1,"179,928",337,333
6.9,"54,594",338,334
7.7,"10,956",339,335
5.3,"7,237",340,336
5.9,"6,657",341,337
3.9,"6,247",342,338
5.9,"34,634",343,339
7.4,"138,656",344,340
8.3,"50,713",345,341
7.1,"34,947",346,342
5.4,"25,743",347,343
7.3,"172,604",348,344
7.3,"168,874",349,345
"2.9/10,3.3/10","14,490",350,346
7.0,"103,371",351,347
7.1,"188,085",352,348
6.5,"50,295",353,349
6.7,"171,212",354,350
6.5,"77,343",355,351
7.4,"115,699",356,352
6.5,"89,960",357,353
7.7,66,358,354
4.9,525,359,355
7.0,"125,861",360,356
7.3,"165,676",361,357
7.1,"90,993",362,358
7.0,"4,858",363,359
7.8,"1,854",364,360
5.4,350,365,361
7.1,"3,895",366,362
7.7,"8,326",367,363
7.6,"7,003",368,364
7.7,"1,581",369,365
7.3,"1,925",370,366
7.9,"10,282",371,367
7.2,840,372,368
7.6,"4,462",373,369
7.2,"1,011",374,370
7.4,"21,802",375,371
4.5,"8,411",376,372
2.7,"3,497",377,373
6.2,"53,037",378,374
5.6,"98,977",379,375
"5.3/10,4.8/10","141,346",380,376
4.5,"3,670",381,377
7.2,"206,357",382,378
8.2,271,383,379
8.3,712,384,380
7.9,550,385,381
5.9,"3,169",386,382
5.4,"46,682",387,383
5.9,"1,216",388,384
