Release Date,Country,original_index,unique_index
8 September 1960 (USA),USA,0,0
19 July 1985 (USA),USA,1,1
16 August 1940 (USA),USA,2,2
27 June 2008 (USA),USA,3,3
29 August 2011 (USA),"USA,UK",4,4
19 December 1969 (USA),USA,5,5
9 April 1976 (USA),USA,6,6
1 May 1987 (USA),USA,7,7
11 October 1985 (USA),"USA,Netherlands",8,8
5 March 1992 (Germany),USA,9,9
1 February 1991 (USA),USA,10,10
10 January 2009 (USA),USA,11,11
4 January 2002 (USA),USA,12,12
3 August 2007 (USA),"USA,Germany",13,13
20 March 1992 (USA),"France,USA",14,14
10 May 2002 (USA),"USA,Germany,France",15,15
25 July 2003 (USA),"USA,Germany,Japan,UK",16,16
7 May 1999 (USA),USA,17,17
19 September 2003 (USA),"UK,Germany,Hungary,USA",18,18
20 January 2006 (USA),USA,19,19
9 July 2010 (USA),USA,20,20
21 June 2013 (USA),USA,21,21
24 November 1999 (USA),USA,22,22
8 July 2010 (Portugal),"USA,Germany",23,23
11 December 2009 (USA),USA,24,24
9 November 2012 (USA),"UK,USA",25,25
21 August 1998 (USA),USA,26,26
26 March 2010 (USA),USA,27,27
11 March 2006 (USA),USA,28,28
21 October 2016 (USA),USA,29,29
5 December 2003 (USA),"USA,New Zealand,Japan",30,30
16 May 1986 (USA),USA,31,31
2 October 1998 (USA),"USA,New Zealand",32,32
16 December 1969 (USA),USA,33,33
19 September 1968 (USA),USA,34,34
23 January 1943 (USA),USA,35,35
15 May 1968 (UK),"USA,UK",36,36
15 December 2000 (USA),USA,37,37
30 October 1986 (Argentina),USA,38,38
16 July 1999 (USA),"UK,USA",39,39
12 June 1962 (USA),"UK,USA",40,40
19 March 1931 (USA),USA,41,41
18 September 2015 (USA),USA,42,42
28 February 2008 (Australia),USA,43,43
7 August 2009 (USA),USA,44,44
2011 (USA),USA,45,45
13 July 2013 (USA),USA,46,46
11 March 2006 (USA),USA,47,28
,USA,48,47
17 June 2014 (USA),USA,49,48
14 March 2015 (USA),USA,50,49
25 September 2015 (USA),"Chile,USA",51,50
3 June 1988 (USA),USA,52,51
19 March 2004 (USA),"USA,Australia",53,52
14 January 2000 (USA),"USA,Germany",54,53
24 September 2010 (USA),"USA,Australia",55,54
25 November 2009 (USA),USA,56,55
11 September 2015 (USA),USA,57,56
"Nov 11, 2011 Wide",USA,58,57
15 September 2015 (USA),USA,59,58
"Aug 21, 2015 Limited","USA,Switzerland",60,59
15 June 1990 (USA),USA,61,60
4 June 1982 (USA),USA,62,61
23 November 1988 (USA),USA,63,62
23 July 2004 (USA),USA,64,63
May 1985 (USA),"USA,Italy",65,64
14 June 2003 (USA),USA,66,65
"Aug 18, 1972 Wide",USA,67,66
25 June 1937 (USA),USA,68,67
25 December 1935 (USA),USA,69,68
27 November 1943 (USA),USA,70,69
23 November 1994 (USA),USA,71,70
2 November 1964 (USA),USA,72,71
3 July 1931 (USA),USA,73,72
16 November 1951 (USA),USA,74,73
6 May 1932 (USA),USA,75,74
20 October 1933 (USA),USA,76,75
31 January 1941 (USA),USA,77,76
2 February 1945 (USA),USA,78,77
21 February 1955 (Sweden),USA,79,78
2 September 1928 (USA),USA,80,79
18 December 1963 (USA),USA,81,80
25 March 1964 (USA),"Japan,USA",82,81
11 February 1981 (USA),"USA,Netherlands",83,82
September 1984 (UK),"UK,USA",84,83
18 December 1981 (USA),USA,85,84
29 May 1963 (USA),USA,86,85
December 1941 (USA),USA,87,86
22 October 1940 (USA),USA,88,87
23 March 1940 (USA),USA,89,88
18 August 1939 (USA),USA,90,89
15 February 1962 (Japan),USA,91,90
12 April 1936 (USA),USA,92,91
31 October 1931 (USA),USA,93,92
7 August 1931 (USA),USA,94,93
25 March 1932 (USA),USA,95,94
December 1933 (UK),USA,96,95
29 October 1932 (USA),USA,97,96
30 June 1933 (USA),USA,98,97
17 June 1933 (USA),USA,99,98
28 October 1933 (USA),USA,100,99
17 November 1939 (USA),USA,101,100
23 May 1941 (USA),USA,102,101
9 November 1934 (USA),USA,103,102
November 1941 (USA),USA,104,103
21 November 1980 (USA),"USA,West Germany",105,104
2017 (USA),"Canada,USA,South Korea",106,105
7 July 1989 (USA),USA,107,106
4 August 1999 (France),USA,108,107
18 June 1994 (USA),"UK,USA",109,108
5 October 1990 (USA),USA,110,109
26 November 1997 (USA),USA,111,110
31 October 1942 (USA),USA,112,111
September 1959 (Austria),USA,113,112
28 August 2015 (USA),USA,114,113
1 September 2000 (USA),USA,115,114
15 March 1940 (USA),USA,116,115
26 December 1959 (UK),USA,117,116
3 April 1968 (USA),USA,118,117
1 August 1971 (USA),USA,119,118
10 March 1972 (USA),USA,120,119
3 June 1983 (USA),USA,121,120
5 April 2013 (USA),USA,122,121
27 October 2006 (USA),"USA,Canada",123,122
10 February 2006 (USA),"Germany,USA,Canada",124,123
28 August 2009 (USA),USA,125,124
15 January 1988 (USA),USA,126,125
22 August 1986 (USA),USA,127,126
24 October 1986 (USA),USA,128,127
11 April 2013 (Argentina),USA,129,128
20 July 2012 (USA),"USA,UK",130,129
14 December 1984 (USA),USA,131,130
11 March 2011 (USA),USA,132,131
12 October 2012 (USA),USA,133,132
10 August 2001 (USA),USA,134,133
12 June 1981 (USA),USA,135,134
22 October 1970 (USA),"UK,USA",136,135
16 December 1959 (USA),"UK,USA",137,136
14 February 1931 (USA),USA,138,137
7 April 1933 (USA),USA,139,138
11 June 2004 (USA),USA,140,139
5 March 2010 (USA),USA,141,140
4 June 2004 (USA),"UK,USA",142,141
18 May 2001 (USA),USA,143,142
24 June 1994 (USA),USA,144,143
22 November 1991 (USA),USA,145,144
18 June 1999 (USA),USA,146,145
15 December 2000 (USA),USA,147,37
1 November 2003 (USA),USA,148,146
31 March 2000 (USA),USA,149,147
1 October 2004 (USA),USA,150,148
17 November 2006 (USA),"Australia,USA",151,149
4 March 2011 (USA),USA,152,150
18 September 2009 (USA),USA,153,151
7 November 2008 (USA),USA,154,152
23 December 1961 (Japan),USA,155,153
26 May 1978 (France),USA,156,154
5 October 1979 (USA),USA,157,155
June 1978 (Austria),USA,158,156
30 August 1974 (USA),USA,159,157
"Jun 28, 1978 Wide",USA,160,158
"Dec 13, 1991 Wide",USA,161,159
25 December 1992 (USA),"France,USA",162,160
19 January 2001 (USA),USA,163,161
8 December 1995 (USA),USA,164,162
8 February 1991 (USA),USA,165,163
27 January 1984 (USA),USA,166,164
1 January 1982 (USA),USA,167,165
"Nov 25, 1936 Limited",USA,168,166
8 May 1942 (USA),USA,169,167
10 November 1939 (USA),USA,170,168
1 October 1955 (USA),USA,171,169
