ReviewCount,Description,original_index,unique_index
"976 user,290 critic","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",0,0
"414 user,177 critic",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,1,1
"124 user,73 critic","On the eve of WWII, a young American reporter tries to expose enemy agents in London.",2,2
"14 user,33 critic","Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ...",3,3
"27 user,49 critic",An examination of the widespread fan disenchantment with George Lucas.,4,4
"86 user,46 critic","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.",5,5
"107 user,64 critic",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.,6,6
"117 user,92 critic","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die.",7,7
"121 user,75 critic","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story.",8,8
"4 user,1 critic","Ari (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc...",9,9
"16 user,6 critic","When childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a roller-coaster ride through reality. During one tumultuous, crazy ...",10,10
"8 user,29 critic",War stories and life lessons from the industry's top writers.,11,11
"963 user,215 critic",An estranged family of former child prodigies reunites when their father announces he is terminally ill.,12,12
"811 user,323 critic",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,13,13
"290 user,117 critic","A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",14,14
"526 user,152 critic",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,15,15
"318 user,155 critic",Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.,16,16
"964 user,187 critic",An American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a Mummy.,17,17
"800 user,225 critic","Selene, a beautiful vampire warrior, entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with Michael, a human who is sought by werewolves for unknown reasons.",18,18
"498 user,205 critic","Picking up directly from the previous film, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.",19,19
"284 user,297 critic","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",20,20
"254 user,371 critic",A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,21,21
"501 user,188 critic","When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting.",22,22
"46 user,118 critic","Inspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword.",23,23
"208 user,274 critic",Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,24,24
"1,467 user,731 critic","Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",25,25
"572 user,179 critic","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",26,26
"4 user,3 critic","With limited sound, simple graphics, and tiny amounts of computing power, the first games on home computers would hardly raise an eyebrow in the modern era of photorealism and surround ...",27,27
"2 user,3 critic","Although technology continues to evolve, a group of die-hard gamers refuses to abandon the classic arcade games of yesteryear. The 80's live on for these enthusiasts, who compete against ...",28,28
,"Jack Reacher returns to the headquarters of his old unit, only to find out he's now accused of a 16-year-old homicide.",29,29
"922 user,189 critic",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,30,30
"379 user,161 critic","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",31,31
"615 user,122 critic",After dying in a car crash a man searches the afterlife for his wife.,32,32
"106 user,27 critic","A matchmaker named Dolly Levi takes a trip to Yonkers, New York to see the 'well-known unmarried half-a-millionaire,' Horace Vandergelder. While there, she convinces him, his two stock ...",33,33
"75 user,51 critic",Plain faced Fanny Brice rises to stardom on the New York Vaudeville Stage and maintains a turbulent marriage with suave gambler Nick Arnstein.,34,34
"1,067 user,233 critic","Set in Casablanca, Morocco during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.",35,35
"1,679 user,274 critic","Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.",36,36
"1,898 user,228 critic",The drug-induced utopias of four Coney Island people are shattered when their addictions become stronger.,37,37
"669 user,171 critic","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",38,38
"1,484 user,272 critic","A New York City doctor, who is married to an art curator, pushes himself on a harrowing and dangerous night-long odyssey of sexual and moral discovery after his wife admits that she once almost cheated on him.",39,39
"203 user,99 critic",A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.,40,40
"19 user,33 critic","In his final film, F.W. Murnau presents the tale of two young lovers on the idyllic island of Bora Bora in the South Pacific. Their life is shattered when the old warrior declares the girl ...",41,41
"34 user,68 critic","A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives.",42,42
"100 user,154 critic",Die-hard gamers compete to break world records on classic arcade games.,43,43
"5 user,18 critic","An intimate, fascinating look at computer gamers whose lives have been transformed by the emerging, hugely popular genre of computer games.",44,44
"5 user,4 critic",A documentary that captures the greatest world record Tetris players as they prepare for the Classic Tetris World Championship. From the days of Thor Aackerlund and his historic victory at ...,45,45
3 user,"A documentary on classic video arcade collectors across North America. Those who were the first to look into the neon haze of a vector/raster screen and fall in love. The first quarter poppers, the 'vidiots' who never grew up.",46,46
"13 user,17 critic","Skip Lipman, a suburban stay at home dad, embarks on an epic quest to topple a mighty empire in a full-contact Live Action Role Playing Game known as Darkon.",47,47
"1 user,2 critic","Beginning with Space Invaders in 1978, arcade games began to appear everywhere. By 1982, there were 13,000 dedicated arcade locations across North America. It was the Golden Age of Arcade ...",48,48
"5 user,10 critic",Follow the rise and fall of the King of Arcades as one man pursues his dream against all odds.,49,49
11 critic,When a man meets a young girl in a parking lot he attempts to help her avoid a bleak destiny by initiating her into the beauty of the outside world. The journey shakes them in ways neither expects.,50,50
"47 user,149 critic","A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.",51,51
"191 user,97 critic","When a boy wishes to be big at a magic wish machine, he wakes up the next morning and finds himself in an adult body.",52,52
