Year,Genre,original_index,unique_index
1960,"Horror,Mystery,Thriller",0,0
1985,"Action,Drama,Horror",1,1
1940,"Romance,Thriller,War",2,2
2007,"Documentary,Biography",3,3
2010,"Documentary,Comedy",4,4
1969,Thriller,5,5
1976,"Comedy,Thriller",6,6
1987,"Comedy,Horror,Thriller",7,7
1985,"Drama,Horror",8,8
1991,"Comedy,Romance",9,9
1991,"Comedy,Drama",10,10
2009,Documentary,11,11
2001,"Comedy,Drama",12,12
2007,"Action,Thriller",13,13
1992,"Drama,Mystery,Thriller",14,14
2002,"Drama,Romance,Thriller",15,15
2003,"Action,Adventure,Fantasy",16,16
1999,"Action,Adventure,Fantasy",17,17
2003,"Action,Fantasy",18,18
2006,"Action,Fantasy,Sci-Fi",19,19
2010,"Animation,Comedy,Family",20,20
2013,"Animation,Adventure,Comedy",21,21
1999,"Animation,Adventure,Comedy",22,22
2009,"Drama,Thriller",23,23
2009,"Crime,Drama",24,24
2012,"Action,Adventure,Thriller",25,25
1998,"Action,Horror",26,26
2010,Documentary,27,27
2006,Documentary,28,28
2016,"Action,Crime,Drama",29,29
2003,"Action,Drama,History",30,30
1986,"Action,Drama,Romance",31,31
1998,"Drama,Fantasy,Romance",32,32
1969,"Comedy,Musical,Romance",33,33
1968,"Biography,Comedy,Drama",34,34
1942,"Drama,Film-Noir,Romance",35,35
1968,"Mystery,Sci-Fi",36,36
2000,Drama,37,37
1986,"Crime,Drama,Mystery",38,38
1999,"Drama,Mystery,Thriller",39,39
1962,"Drama,Romance",40,40
1931,"Drama,Romance,Adventure",41,41
2014,"Action,Comedy,Horror",42,42
2007,"Documentary,Biography,Sport",43,43
2008,Documentary,44,44
2011,Documentary,45,45
2013,"Documentary,Biography,Sport",46,46
2006,"Documentary,Fantasy",47,47
2012,"Documentary,Biography,History",48,48
2014,Documentary,49,49
2015,Drama,50,50
2013,"Adventure,Horror",51,51
1988,"Comedy,Drama,Fantasy",52,52
2004,"Crime,Mystery,Thriller",53,53
1999,"Biography,Drama",54,54
2010,"Animation,Adventure,Fantasy",55,55
2009,"Animation,Adventure,Comedy",56,56
2015,"Drama,Thriller",57,57
2010 2011 2012,"Classics,Action & Adventure",58,58
2015,"Horror,Thriller",59,59
2014 2015 2016,"Action & Adventure,Comedy",60,60
1990,"Comedy,Horror",61,61
1982,Horror,62,62
1988,"Comedy,Drama,Fantasy",63,52
2004,Action,64,63
1985,"Action,Crime,Drama",65,64
