journal_issn,original_index,unique_index
0035-9157 (Print) 0035-9157,0,0
1537-6613,1,1
0301-4738,2,2
,3,3
1558-0520,4,4
,5,3
0007-1420,6,5
,7,3
1385-4046,8,6
,9,3
1361-9209,10,7
1940-5901,11,8
0001-6349 (Print) 0001-6349,12,9
1547-5271,13,10
,14,3
0007-0963,15,11
1178-1998,16,12
1469-493X,17,13
Jan-68,18,14
0195-9131,19,15
1940-6215,20,16
,21,3
1432-086X,22,17
1527-7755,23,18
,24,3
1916-9736,25,19
1555-2101,26,20
,27,3
1932-6203,28,21
15265161 (ISSN),29,22
1598-9992,30,23
0195-668X,31,24
,32,3
0077-8923,33,25
1532-8511,34,26
1745-0128 1745-0136,35,27
0025-7931,36,28
1524-4040,37,29
0899-6210,38,30
1473-5695,39,31
0360-3016,40,32
1559-7016,41,33
0175-3851,42,34
1557-2625,43,35
0378-7788,44,36
1538-7445,45,37
,46,3
1469-493X,47,13
1555-2101,48,20
,49,3
,50,3
0035-8843,51,38
1537-7385,52,39
1878-1861,53,40
,54,3
0098-1354,55,41
0952-8180,56,42
,57,3
0-8077-4913-3,58,43
1433-7347,59,44
1879-4076,60,45
0960-8923,61,46
-7977,62,47
0091-6749 (Print),63,48
1756-9966,64,49
1752-8526,65,50
,66,3
1139-6121,67,51
1001-5515,68,52
1082-3069,69,53
0008-543X,70,54
1474-5151,71,55
1878-5883,72,56
0041-1337,73,57
0377-4929,74,58
,75,3
,76,3
0929-693X,77,59
,78,3
0041-1132,79,60
0961-5423 (Print) 0961-5423,80,61
0962-2802,81,62
"1553-9318, 1553-9318",82,63
1699-7980,83,64
1679-4508,84,65
9788480000000,85,66
1556-9039,86,67
,87,3
0020-7292,88,68
0210-0010,89,69
1558-2027,90,70
1776-2588,91,71
1462-2203,92,72
1540-7314 0148-8376,93,73
1088-0224,94,74
1742-5255,95,75
,96,3
0022-0345,97,76
0193-1849,98,77
1878-3570,99,78
,100,3
1612-4782     1612-4790,101,79
,102,3
1556-5653,103,80
1432-0843,104,81
1057-9249,105,82
,106,3
,107,3
1471-4892,108,83
1469-493X,109,13
1432-0851,110,84
2044-6055,111,85
,112,3
0143-991X,113,86
0315-162X,114,87
,115,3
0021-8987,116,88
,117,3
2115-7863(Electronic);2115-8789(Print),118,89
,119,3
Mar-22,120,90
1878-3503,121,91
1471-2458,122,92
1936-2625,123,93
