journal_issn,article_jvolumn,original_index,unique_index
0035-9157 (Print) 0035-9157,64.0,0,0
1537-6613,,1,1
0301-4738,54.0,2,2
,84.0,3,3
1558-0520,33.0,4,4
,10.0,5,5
0007-1420,29.0,6,6
,164.0,7,7
1385-4046,25.0,8,8
,79.0,9,9
1361-9209,14.0,10,10
1940-5901,8.0,11,11
0001-6349 (Print) 0001-6349,92.0,12,12
1547-5271,8.0,13,13
,35.0,14,14
0007-0963,140.0,15,15
1178-1998,7.0,16,16
1469-493X,0.0,17,17
Jan-68,139.0,18,18
0195-9131,39.0,19,19
1940-6215,6.0,20,20
,40.0,21,21
1432-086X,37.0,22,22
1527-7755,27.0,23,23
,47.0,24,24
1916-9736,6.0,25,25
1555-2101,69.0,26,26
,35.0,27,14
1932-6203,8.0,28,27
15265161 (ISSN),9.0,29,28
1598-9992,52.0,30,29
0195-668X,28.0,31,30
,0.0,32,31
0077-8923,904.0,33,32
1532-8511,24.0,34,33
1745-0128 1745-0136,3.0,35,34
0025-7931,88.0,36,35
1524-4040,64.0,37,36
0899-6210,8.0,38,37
1473-5695,15.0,39,38
0360-3016,90.0,40,39
1559-7016,34.0,41,40
0175-3851,34.0,42,41
1557-2625,27.0,43,42
0378-7788,42.0,44,43
1538-7445,71.0,45,44
,0.0,46,31
1469-493X,10.0,47,45
1555-2101,71.0,48,46
,21.0,49,47
,70.0,50,48
0035-8843,76.0,51,49
1537-7385,91.0,52,50
1878-1861,13.0,53,51
,90.0,54,52
0098-1354,71.0,55,53
0952-8180,18.0,56,54
,7.0,57,55
0-8077-4913-3,0.0,58,56
1433-7347,22.0,59,57
1879-4076,6.0,60,58
0960-8923,12.0,61,59
-7977,26.0,62,60
0091-6749 (Print),116.0,63,61
1756-9966,28.0,64,62
1752-8526,2008.0,65,63
,18.0,66,64
1139-6121,12.0,67,65
1001-5515,29.0,68,66
1082-3069,30.0,69,67
0008-543X,98.0,70,68
1474-5151,11.0,71,69
1878-5883,334.0,72,70
0041-1337,99.0,73,71
0377-4929,46.0,74,72
,309.0,75,73
,25.0,76,74
0929-693X,13.0,77,75
,1.0,78,76
0041-1132,48.0,79,77
0961-5423 (Print) 0961-5423,19.0,80,78
0962-2802,16.0,81,79
"1553-9318, 1553-9318",1.0,82,80
1699-7980,39.0,83,81
1679-4508,12.0,84,82
9788480000000,3.0,85,83
1556-9039,2.0,86,84
,4.0,87,85
0020-7292,64.0,88,86
0210-0010,46.0,89,87
1558-2027,10.0,90,88
1776-2588,27.0,91,89
1462-2203,1.0,92,90
1540-7314 0148-8376,37.0,93,91
1088-0224,19.0,94,92
