journal_title,jounral_abbreviation,original_index,unique_index
Proc R Soc Med,Proceedings of the Royal Society of Medicine,0,0
The Journal of infectious diseases,J. Infect. Dis.,1,1
Indian journal of ophthalmology,Indian J Ophthalmol,2,2
,,3,3
Dermatologic clinics,Dermatol Clin,4,4
,,5,3
Br Med Bull,British medical bulletin,6,5
American journal of respiratory and critical care medicine,,7,6
Clinical Neuropsychologist,,8,7
The British journal of radiology,,9,8
Transportation Research Part D-Transport and Environment,,10,9
International journal of clinical and experimental medicine,Int J Clin Exp Med,11,10
Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,12,11
Heart Rhythm,,13,12
,,14,3
British Journal of Dermatology.,,15,13
Clinical Interventions In Aging,Clin Interv Aging,16,14
Cochrane Database Syst Rev,,17,15
Acta Neurochirurgica,,18,16
Medicine and science in sports and exercise,Med Sci Sports Exerc,19,17
"Cancer prevention research (Philadelphia, Pa.)",Cancer Prev Res (Phila),20,18
,,21,3
Cardiovascular and interventional radiology,Cardiovasc Intervent Radiol,22,19
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,23,20
Scandinavian Journal of Gastroenterology,,24,21
Global journal of health science,Glob J Health Sci,25,22
The Journal of clinical psychiatry,J Clin Psychiatry,26,23
Metabolism: Clinical and Experimental,,27,24
PLoS One,PloS one,28,25
American Journal of Bioethics,,29,26
The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,Korean J Gastroenterol,30,27
Eur. Heart J.,,31,28
,,32,3
Neuroprotective Agents,,33,29
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,J Stroke Cerebrovasc Dis,34,30
Vulnerable Children and Youth Studies,,35,31
Respiration; international review of thoracic diseases,Respiration,36,32
Neurosurgery,Neurosurgery,37,33
Health Facilities Management,Health Facil Manage,38,34
European journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,39,35
Int. J. Radiat. Oncol. Biol. Phys.,,40,36
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,J. Cereb. Blood Flow Metab.,41,37
Intensivmedizin und Notfallmedizin,,42,38
Journal of the American Board of Family Medicine : JABFM,J Am Board Fam Med,43,39
Energy and Buildings,,44,40
Cancer research,Cancer Res.,45,41
,,46,3
Cochrane Database Syst. Rev.,,47,42
The Journal of clinical psychiatry,J Clin Psychiatry,48,23
Annals of Oncology,,49,43
,,50,3
Annals of the Royal College of Surgeons of England,Ann R Coll Surg Engl,51,44
American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,Am J Phys Med Rehabil,52,45
Journal of science and medicine in sport / Sports Medicine Australia,J Sci Med Sport,53,46
,,54,3
Computers & chemical engineering,Comput Chem Eng,55,47
Journal of clinical anesthesia,J Clin Anesth,56,48
,,57,3
Teachers College Press,,58,49
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Knee Surg Sports Traumatol Arthrosc,59,50
Journal of geriatric oncology,J Geriatr Oncol,60,51
Obesity surgery,Obes Surg,61,52
J. Card. Surg.,,62,53
Journal of Allergy and Clinical Immunology,,63,54
J. Exp. Clin. Cancer Res.,,64,55
Clinical evidence,Clin Evid (Online),65,56
Paediatrics and Child Health,,66,57
AIDS Reviews,,67,58
Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,68,59
Ophthalmic surgery and lasers,Ophthalmic Surg Lasers,69,60
CANCER,,70,61
European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,Eur J Cardiovasc Nurs,71,62
Journal of the neurological sciences,J. Neurol. Sci.,72,63
Transplantation,Transplantation,73,64
Indian Journal of Pathology and Microbiology,,74,65
,,75,3
,,76,3
Archives De Pediatrie,,77,66
Nepal Medical College journal : NMCJ,Nepal Med Coll J,78,67
Transfusion,,79,68
Eur J Cancer Care (Engl),European journal of cancer care,80,69
Statistical methods in medical research,Stat Methods Med Res,81,70
TEACHING Exceptional Children Plus,,82,71
Actas urologicas espanolas,Actas Urol Esp,83,72
Einstein (Sao Paulo),"Einstein (Sao Paulo, Brazil)",84,73
"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",,85,74
J Med Toxicol,Journal of medical toxicology : official journal of the American College of Medical Toxicology,86,75
,,87,3
Int J Gynaecol Obstet,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,88,76
Revista de Neurologia,Rev.Neurol.,89,77
J Cardiovasc Med (Hagerstown),"Journal of cardiovascular medicine (Hagerstown, Md.)",90,78
Pathologie non allergique et exposition aux moisissures domestiques.,,91,79
Nicotine Tob Res,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,92,80
Journal of Social Service Research,,93,81
Am J Manag Care,The American journal of managed care,94,82
Expert Opin Drug Metab Toxicol,Expert opinion on drug metabolism & toxicology,95,83
Allergy: European Journal of Allergy and Clinical Immunology,,96,84
J Dent Res,Journal of dental research,97,85
Am J Physiol Endocrinol Metab,American journal of physiology. Endocrinology and metabolism,98,86
Journal of the American Dietetic Association,J Am Diet Assoc,99,87
,,100,3
Cognitive Processing,,101,88
,,102,3
Fertility and sterility,Fertil. Steril.,103,89
Cancer chemotherapy and pharmacology,Cancer Chemother. Pharmacol.,104,90
Psycho-oncology,Psychooncology,105,91
,,106,3
,,107,3
Current opinion in pharmacology,Curr Opin Pharmacol,108,92
The Cochrane Database Of Systematic Reviews,Cochrane Database Syst Rev,109,93
"Cancer immunology, immunotherapy : CII",Cancer Immunol. Immunother.,110,94
BMJ Open,,111,95
,,112,3
Industrial Robot: An International Journal,,113,96
The Journal Of Rheumatology,J Rheumatol,114,97
,,115,3
Journal of applied physiology,J Appl Physiol,116,98
,,117,3
G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,,118,99
,,119,3
Anesthesiology (Hagerstown),,120,100
Transactions of the Royal Society of Tropical Medicine and Hygiene,Trans. R. Soc. Trop. Med. Hyg.,121,101
BMC public Health,,122,102
International journal of clinical and experimental pathology,Int J Clin Exp Pathol,123,103
Int J Gynecol Cancer,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,124,104
"Neurologia (Barcelona, Spain)",Neurologia,125,105
,,126,3
Medicinski Glasnik,,127,106
Scientific Session and Scientiftc Poster Abstracts,,128,107
Curr. Vasc. Pharmacol.,,129,108
Journal of the American Geriatrics Society,J.Am.Geriatr.Soc.,130,109
Am. J. Trop. Med. Hyg.,,131,110
,,132,3
" BMJ 2006, 333:939",,133,111
Annals of Internal Medicine,,134,112
The Journals of Gerontology: Series A: Biological Sciences and Medical Sciences,,135,113
Skeletal Radiology,Skeletal Radiol,136,114
Pharmacoeconomics,,137,115
,,138,3
,,139,3
,,140,3
,,141,3
Health Technology Assessment Database,,142,116
J Hand Surg Br,"Journal of hand surgery (Edinburgh, Scotland)",143,117
Journal of cardiovascular electrophysiology,J. Cardiovasc. Electrophysiol.,144,118
Chinese Journal of New Drugs,,145,119
,,146,3
Eur J Gen Pract,The European journal of general practice,147,120
Gut,Gut,148,121
