article_jcreated_at,original_index,unique_index
1/1/71,0,0
4/2/15,1,1
12/1/06,2,2
1/1/13,3,3
10/1/15,4,4
1/1/09,5,5
1/1/73,6,6
7/1/01,7,7
1/1/11,8,8
1/1/06,9,9
1/1/09,10,5
1/1/15,11,10
1/1/13,12,3
1/1/11,13,8
1/1/11,14,8
5/1/99,15,11
1/1/12,16,12
1/1/05,17,13
1/1/97,18,14
6/1/07,19,15
12/1/13,20,16
1/1/11,21,8
12/1/14,22,17
5/20/09,23,18
1/1/12,24,12
3/1/14,25,19
12/1/08,26,20
1/1/86,27,21
1/1/13,28,3
1/1/09,29,5
12/1/08,30,20
9/1/07,31,22
1/1/74,32,23
5/1/00,33,24
2/1/15,34,25
1/1/08,35,26
1/1/14,36,27
2/1/09,37,28
1/1/95,38,29
6/1/08,39,30
,40,31
10/1/14,41,32
1/1/97,42,14
1/1/14,43,27
1/1/10,44,33
5/15/11,45,34
,46,31
1/1/13,47,3
11/1/10,48,35
1/1/10,49,33
1/1/99,50,36
1/1/94,51,37
11/1/12,52,38
11/1/10,53,35
1/1/07,54,39
12/4/14,55,40
9/1/06,56,41
1/1/12,57,12
10/1/10,58,42
12/1/14,59,17
1/1/15,60,10
4/1/02,61,43
1/1/11,62,8
1/1/05,63,13
1/1/09,64,5
1/1/08,65,26
1/1/08,66,26
1/1/10,67,33
6/1/12,68,44
3/1/99,69,45
7/15/03,70,46
1/1/12,71,12
11/15/13,72,47
1/1/15,73,10
7/1/03,74,48
1/1/13,75,3
1/1/11,76,8
1/1/06,77,9
11/1/96,78,49
1/1/08,79,26
1/1/10,80,33
2/1/07,81,50
1/1/05,82,13
5/1/15,83,51
1/1/14,84,27
1/1/08,85,26
12/1/06,86,2
1/1/12,87,12
1/1/99,88,36
1/1/08,89,26
3/1/09,90,52
1/1/10,91,33
1/1/99,92,36
1/1/11,93,8
1/1/13,94,3
1/1/07,95,39
1/1/09,96,5
1/1/92,97,53
9/1/02,98,54
1/1/92,99,53
,100,31
1/1/14,101,27
1/1/15,102,10
8/1/09,103,55
4/1/14,104,56
3/1/06,105,57
1/1/12,106,12
1/1/12,107,12
4/1/03,108,58
1/1/00,109,59
9/1/14,110,60
1/1/13,111,3
1/1/07,112,39
1/1/11,113,8
4/1/01,114,61
,115,31
1/1/76,116,62
1/1/10,117,33
,118,31
1/1/66,119,63
11/1/96,120,49
2/1/12,121,64
1/1/13,122,3
1/1/13,123,3
1/1/11,124,8
5/1/12,125,65
1/1/11,126,8
1/1/08,127,26
4/1/99,128,66
,129,31
1/1/13,130,3
6/1/03,131,67
,132,31
,133,31
1/1/05,134,13
12/1/00,135,68
11/1/14,136,69
1/1/05,137,13
1/1/14,138,27
1/1/14,139,27
1/1/11,140,8
1/1/09,141,5
1/1/11,142,8
1/1/05,143,13
3/1/07,144,70
1/1/12,145,12
,146,31
1/1/14,147,27
8/1/65,148,71
5/1/04,149,72
1/1/07,150,39
10/1/12,151,73
5/28/05,152,74
1/1/99,153,36
1/1/76,154,62
6/30/07,155,75
1/1/09,156,5
12/1/13,157,16
1/1/13,158,3
1/1/14,159,27
,160,31
5/1/14,161,76
1/1/14,162,27
1/1/11,163,8
1/1/95,164,29
1/1/07,165,39
1/1/10,166,33
8/1/08,167,77
1/1/13,168,3
,169,31
7/1/06,170,78
1/1/05,171,13
12/1/14,172,17
1/1/93,173,79
1/1/02,174,80
6/30/98,175,81
1/1/92,176,53
1/1/09,177,5
1/1/14,178,27
10/1/13,179,82
1/1/14,180,27
2/17/10,181,83
,182,31
1/1/07,183,39
1/1/12,184,12
1/1/12,185,12
,186,31
1/1/10,187,33
1/1/12,188,12
1/1/01,189,84
1/1/13,190,3
1/1/09,191,5
3/1/06,192,57
8/2/06,193,85
1/1/12,194,12
1/1/09,195,5
8/13/14,196,86
1/1/12,197,12
7/1/14,198,87
4/1/04,199,88
12/1/14,200,17
1/1/13,201,3
7/1/07,202,89
1/1/06,203,9
1/1/13,204,3
1/1/13,205,3
,206,31
,207,31
1/1/95,208,29
9/10/15,209,90
3/1/11,210,91
1/1/94,211,37
1/1/02,212,80
,213,31
10/1/12,214,73
1/1/12,215,12
1/1/93,216,79
1/1/08,217,26
1/1/10,218,33
1/1/06,219,9
11/1/98,220,92
1/1/99,221,36
,222,31
1/1/09,223,5
,224,31
,225,31
9/1/13,226,93
6/1/01,227,94
1/1/06,228,9
,229,31
1/1/06,230,9
7/1/14,231,87
1/1/09,232,5
1/1/12,233,12
1/1/13,234,3
1/1/12,235,12
12/1/03,236,95
2/1/96,237,96
1/1/14,238,27
11/1/01,239,97
1/1/07,240,39
2/1/12,241,64
1/1/14,242,27
,243,31
1/1/13,244,3
1/1/13,245,3
1/1/10,246,33
12/1/08,247,20
2/15/13,248,98
,249,31
9/1/02,250,54
1/1/09,251,5
1/1/11,252,8
1/1/97,253,14
3/28/73,254,99
10/1/13,255,82
4/1/14,256,56
1/1/14,257,27
5/1/14,258,76
1/1/12,259,12
10/1/06,260,100
1/1/75,261,101
7/1/05,262,102
1/1/05,263,13
1/1/07,264,39
2/1/06,265,103
7/1/04,266,104
1/1/15,267,10
1/1/14,268,27
1/1/03,269,105
,270,31
1/1/10,271,33
1/1/98,272,106
1/1/11,273,8
,274,31
1/1/11,275,8
1/1/89,276,107
5/1/02,277,108
11/1/11,278,109
1/1/15,279,10
8/20/13,280,110
1/1/11,281,8
9/1/14,282,60
1/1/14,283,27
1/1/07,284,39
1/1/92,285,53
10/1/13,286,82
1/1/14,287,27
1/1/12,288,12
1/1/14,289,27
1/1/96,290,111
1/1/15,291,10
2/1/09,292,28
,293,31
1/1/11,294,8
3/1/14,295,19
1/1/06,296,9
1/1/91,297,112
1/1/14,298,27
11/1/13,299,113
1/1/04,300,114
1/1/07,301,39
1/1/10,302,33
1/1/02,303,80
,304,31
1/1/93,305,79
,306,31
1/1/03,307,105
12/1/01,308,115
1/1/15,309,10
,310,31
1/1/12,311,12
10/8/15,312,116
1/1/03,313,105
1/1/10,314,33
2/1/14,315,117
1/1/93,316,79
1/1/09,317,5
6/1/04,318,118
6/1/14,319,119
1/1/03,320,105
1/1/13,321,3
5/1/13,322,120
1/7/15,323,121
1/1/06,324,9
,325,31
5/1/12,326,65
,327,31
1/1/10,328,33
,329,31
1/1/13,330,3
12/1/09,331,122
1/1/06,332,9
