article_pagination,original_index,unique_index
1187-9,0,0
,1,1
283-4,2,2
"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",3,3
835-40,4,4
185-91,5,5
163-7,6,6
43-49,7,7
1158-78,8,8
158-61,9,9
317-325,10,10
10213-10224,11,11
711-5,12,12
S40,13,13
1245-50,14,14
919-21,15,15
185-90,16,16
Cd004797,17,17
257-8,18,18
991-5,19,19
1304-16,20,20
512-9 ST  - A performance improvement process to tackle tachysystole-,21,21
1530-9,22,22
2496-502,23,23
785-794,24,24
22-Dec,25,25
1892-900,26,26
1074-1077,27,27
e75079,28,28
W1-W4,29,29
384-8,30,30
2077-86,31,31
46,32,32
625-7,33,33
362-9,34,34
243-248,35,35
144-147,36,36
316-26; discussion 326-7,37,37
"20-6, 28",38,38
134-9,39,39
S398,40,40
1681-7,41,41
655-663,42,42
42-55,43,43
2331-2337,44,44
3582-9,45,45
,46,1
CD002843,47,46
1518-25,48,47
viii284,49,48
151-158,50,49
324-326,51,50
984-98,52,51
597-601,53,52
18-30,54,53
715-727,55,54
427-35,56,55
34,57,56
,58,1
3191-7,59,57
15-22,60,58
261-4,61,59
144-147,62,36
153-163,63,60
34,64,56
,65,1
410-413,66,61
153-163,67,60
"453-5, 459",68,62
185-90,69,16
310-4,70,63
183-9,71,64
112-8,72,65
1455-1462,73,66
484-7,74,67
17-8,75,68
118-124 7p,76,69
1349-1353,77,70
9-Jun,78,71
1925-1929,79,72
167-71,80,73
13-29,81,74
,82,1
222-8,83,75
159-63,84,76
1937-1958,85,77
152-5,86,78
38-41,87,79
10-May,88,80
135-138,89,81
261-3,90,82
93-7,91,83
341-6,92,84
481-489,93,85
SP26-7,94,86
315-20,95,87
326-327,96,88
1228-37,97,89
E556-64,98,90
319-324,99,91
,100,1
283-296,101,92
160-6,102,93
667-77,103,94
721-7,104,95
248-58,105,96
255-62,106,97
135-41,107,98
146-51,108,99
CD001047,109,100
911-24,110,101
,111,1
8-16 ST  - Cardiac atrophy in women following bed rest-,112,102
,113,1
745-50,114,103
,115,1
57-61,116,104
305-310,117,105
323-330,118,106
13,119,107
999-1004,120,108
110-6,121,109
S13,122,110
2603-8,123,111
378-84,124,112
202-11,125,113
208-213,126,114
57-64,127,115
421-7,128,116
817-823,129,117
1182-7,130,118
721-7,131,95
,132,1
,133,1
251-264,134,119
B570-9,135,120
1605-11,136,121
275-287,137,122
327-32,138,123
384-6 ST  - Proximal migration of a 5 French pancreatic stent during bile stone extraction: a successful retrieval using mini-snare-,139,124
152-9,140,125
"1261-9 ST  - Multicenter, randomized, placebo-controlled trial of amitriptyline in children with functional gastrointestinal disorders-",141,126
,142,1
574-80,143,127
290-5,144,128
451-457,145,129
930-936,146,130
6-Oct,147,131
364-71,148,132
253-4,149,133
131-134,150,134
2752-63,151,135
1241; author reply 1241,152,136
1128-31,153,137
149-156,154,138
368-72,155,139
1577-1588,156,140
45-53; quiz 54,157,141
256-62,158,142
156-61,159,143
1171-1178,160,144
ZC70-5,161,145
574-578,162,146
551-561 ST  - Scar Management Practice and Science: A Comprehensive Approach to Controlling Scar Tissue and Avoiding Hypertrophic Scarring.... Reprinted and adapted with permission from Wound Healing South Africa and Medpharm. Widgerow AD. Scar management,163,147
123-6,164,148
290-293,165,149
43-4,166,150
1203-14,167,151
,168,1
,169,1
729-35,170,152
139-43,171,153
469-75,172,154
251-257,173,155
201-205,174,156
479-82,175,157
87-95; discussion 95-6,176,158
143-9,177,159
305-11,178,160
e1327-9,179,161
19th Congress of the European Hematology Association Milan Italy. Conference Start: 20140612 Conference End: 20140615. Conference Publication: (var.pagings). 99 (pp 233),180,162
,181,1
,182,1
1108-18,183,163
612-7,184,164
733-748,185,165
,186,1
30-35,187,166
135-144,188,167
449-+,189,168
603-11,190,169
57-61,191,104
14-17,192,170
1078-87,193,171
207-212,194,172
"633-58 ST  - Prebiotics, immune function, infection and inflammation: a review of the evidence-",195,173
,196,1
25,197,174
46-55,198,175
237-45,199,176
17,200,177
,201,1
1035-46,202,178
715-721,203,179
182-91,204,180
310-5,205,181
,206,1
,207,1
240-6,208,182
,209,1
840-54,210,183
305-11,211,160
3541-4,212,184
,213,1
130-48,214,185
361-3,215,186
265-72,216,187
81-83,217,188
562-569,218,189
112-120,219,190
447-52,220,191
609-21,221,192
291S-297S,222,193
S29-36,223,194
,224,1
,225,1
3118-29,226,195
237-40,227,196
432-438,228,197
,229,1
291-297,230,198
179-81,231,199
593-610,232,200
425.e1-6,233,201
e867-98,234,202
259-65,235,203
29-32,236,204
S10-3,237,205
e005601,238,206
419-21,239,207
113,240,208
52-63,241,209
e005077,242,210
eS502-eS503,243,211
159-73,244,212
e249-,245,213
58-69,246,214
331-338,247,215
49-55,248,216
S46-S61,249,217
245-8,250,218
415-422 8p,251,219
22,252,220
15-16,253,221
110-1,254,222
642-55,255,223
265-9,256,224
524-529,257,225
1232-40,258,226
,259,1
431-446 16p,260,227
69-74,261,228
774-9,262,229
589-96,263,230
922-9,264,231
212-8,265,232
714-9,266,233
58,267,234
733,268,235
10-Oct,269,236
203-277,270,237
227,271,238
185-185,272,239
341-51,273,240
314-320,274,241
,275,1
323-326,276,242
1314-21,277,243
1419-25,278,244
761-762,279,245
736-44,280,246
1024-1025,281,247
550-64,282,248
37-41 DO  - 10.1080/10810730902805788,283,249
,284,1
27-32 ST  - Wound care-,285,250
529-33,286,251
,287,1
e35061,288,252
823-830,289,253
7-Jan,290,254
223-38,291,255
23-31,292,256
,293,1
435-442,294,257
2777-85,295,258
477-505,296,259
22-34,297,260
390-3,298,261
251-6,299,262
64-70,300,263
84301,301,264
204-9,302,265
119-125 7p,303,266
39-44,304,267
327-32,305,123
,306,1
1295-1305,307,268
835-42,308,269
1635-1643,309,270
,310,1
1331-4,311,271
,312,1
663-695,313,272
544-7 ST  - Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling-,314,273
629-30,315,274
616-626,316,275
590-6,317,276
159-86,318,277
520-3,319,278
2049,320,279
20120261,321,280
196-203,322,281
,323,1
173-181,324,282
,325,1
130-2,326,283
,327,1
237-48,328,284
,329,1
26-Jan,330,285
53-62,331,286
331-373,332,287
"392-7 ST  - [Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]-",333,288
259-64,334,289
527-33,335,290
441-55,336,291
842-848,337,292
112-7,338,293
79-105,339,294
,340,1
145-8,341,295
,342,1
461-7,343,296
,344,1
146-152,345,297
447-52,346,191
233-43; discussion 243,347,298
217-26,348,299
870-5,349,300
195-203,350,301
708-711,351,302
1444,352,303
8,353,304
627-30,354,305
131-137,355,306
,356,1
373-6,357,307
149-57,358,308
106-119,359,309
,360,1
1127-33,361,310
56-64,362,311
2700-7,363,312
458-462,364,313
316272,365,314
182-195,366,315
1556-9,367,316
1112-6,368,317
673-692,369,318
239-46,370,319
347-55,371,320
298-308,372,321
e92590,373,322
143-153,374,323
1257-61,375,324
392-398,376,325
e50836,377,326
9-Jan,378,327
51-54 4p,379,328
1427-30,380,329
875-916,381,330
565-9,382,331
,383,1
70-6,384,332
233-44,385,333
346-352,386,334
239-244 6p,387,335
,388,1
353-7,389,336
207-13,390,337
144-56,391,338
167-72,392,339
639-46,393,340
1050-1055,394,341
437-42,395,342
177-91,396,343
605-9,397,344
11-Jan,398,345
725.e11-5,399,346
380-4,400,347
141-51,401,348
395,402,349
160-172,403,350
24-32,404,351
1323-30,405,352
231-5-,406,353
1005-7,407,354
30-33 ST  - No need for routine closed suction drainage in elective arthroplasty of the hip: a prospective randomized trial in 104 operations-,408,355
359-61,409,356
184-9 ST  - Continuation of metformin reduces early pregnancy loss in obese Pakistani women with polycystic ovarian syndrome-,410,357
15-Jan,411,358
1556-1579,412,359
1164-1173 DO  - 10.1002/cncr.11174,413,360
,414,1
2207-14,415,361
314-21,416,362
91-3,417,363
607-10,418,364
,419,1
226-232,420,365
328-39,421,366
974-7,422,367
43-8,423,368
827-836,424,369
685-90,425,370
,426,1
465-6,427,371
468-493,428,372
373-378,429,373
5-Feb,430,374
695-702,431,375
94-95,432,376
w13728,433,377
714-22,434,378
"2562-9 ST  - Randomized, double-blind, placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-",435,379
66,436,380
706-17,437,381
36,438,382
1858-63,439,383
S223,440,384
100-4,441,385
447-55,442,386
400-405,443,387
3-Mar,444,388
,445,1
721,446,389
3196-3199,447,390
535-41,448,391
1001-24,449,392
260-87,450,393
780-98,451,394
913-9,452,395
21-24,453,396
31-40,454,397
51-5,455,398
227-33,456,399
1763-9,457,400
708-715,458,401
7111-7120,459,402
101-108,460,403
1074-9,461,404
2692-9,462,405
19-35,463,406
121-36,464,407
1972-4,465,408
100A,466,409
241-242,467,410
431-438,468,411
13-21,469,412
581-91,470,413
545-53,471,414
20,472,415
923129,473,416
18-24,474,417
3535-44,475,418
493-503,476,419
2571,477,420
851-9,478,421
94-9,479,422
343-7,480,423
577-588,481,424
119-126 8p,482,425
54-62,483,426
350,484,427
269-77,485,428
68-74,486,429
,487,1
-,488,430
S306-S314,489,431
917-920,490,432
1777-86,491,433
1282-9,492,434
193-9,493,435
273-6,494,436
731-741,495,437
277-286,496,438
33-43,497,439
141,498,440
190-1,499,441
593-5,500,442
289-318,501,443
360-374,502,444
238,503,445
60-61,504,446
130-4,505,447
339-52,506,448
1145-53,507,449
875-81,508,450
1309-1318,509,451
55-56 2p,510,452
440-4,511,453
f5001,512,454
381-386,513,455
57-65,514,456
383-4,515,457
4327-4335,516,458
223-7,517,459
834-40,518,460
2815-7,519,461
7-Jan,520,254
254-262,521,462
CD001880,522,463
759-63,523,464
27386-99,524,465
1945-52,525,466
83-7,526,467
S136,527,468
195-201,528,469
446-53,529,470
,530,1
889-94,531,471
80-96,532,472
,533,1
453-60,534,473
105,535,474
,536,1
319-330,537,475
230-232,538,476
435-40,539,477
1652-6,540,478
,541,1
195-203,542,301
E315-6,543,479
,544,1
1442-6,545,480
238-49,546,481
,547,1
559-62,548,482
6-Jan,549,483
,550,1
408-427,551,484
,552,1
361-5,553,485
1433-41,554,486
843-54,555,487
1723-7,556,488
25-26,557,489
26-39,558,490
1173-8,559,491
S156-S157,560,492
2761-2769 9p,561,493
398-407,562,494
389-95,563,495
207-220,564,496
89-101,565,497
36-42,566,498
143-156,567,499
163-176,568,500
231-47,569,501
544-55,570,502
S131-2,571,503
"421-6, 435, 434",572,504
78-83,573,505
2427-36,574,506
664-669,575,507
489-93,576,508
454-460,577,509
655-661,578,510
411-3,579,511
e213-8,580,512
631-8,581,513
S149,582,514
2276-83,583,515
,584,1
1727-33,585,516
766-71,586,517
950-959,587,518
1255-1272,588,519
1061-5,589,520
81-3,590,521
597-605,591,522
53,592,523
3236-42 ST  - Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study-,593,524
,594,1
502-8,595,525
288-94,596,526
281-5,597,527
4-47-53,598,528
584-92,599,529
437-41,600,530
202-208,601,531
615-622 8p,602,532
e1919,603,533
81-90,604,534
131-4,605,535
1126-1141,606,536
96-160,607,537
99-106,608,538
383-92,609,539
189-196,610,540
613-5,611,541
477-83,612,542
348-357,613,543
617-22,614,544
93-6,615,545
378-84,616,112
290-296,617,546
327-35,618,547
223-230,619,548
391-406,620,549
1531-7,621,550
"1114-7 ST  - A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain-",622,551
2018-2020,623,552
550-561,624,553
