jounral_abbreviation,original_index,unique_index
Proceedings of the Royal Society of Medicine,0,0
J. Infect. Dis.,1,1
Indian J Ophthalmol,2,2
,3,3
Dermatol Clin,4,4
,5,3
British medical bulletin,6,5
,7,3
,8,3
,9,3
,10,3
Int J Clin Exp Med,11,6
Acta obstetricia et gynecologica Scandinavica,12,7
,13,3
,14,3
,15,3
Clin Interv Aging,16,8
,17,3
,18,3
Med Sci Sports Exerc,19,9
Cancer Prev Res (Phila),20,10
,21,3
Cardiovasc Intervent Radiol,22,11
J. Clin. Oncol.,23,12
,24,3
Glob J Health Sci,25,13
J Clin Psychiatry,26,14
,27,3
PloS one,28,15
,29,3
Korean J Gastroenterol,30,16
,31,3
,32,3
,33,3
J Stroke Cerebrovasc Dis,34,17
,35,3
Respiration,36,18
Neurosurgery,37,19
Health Facil Manage,38,20
Eur J Emerg Med,39,21
,40,3
J. Cereb. Blood Flow Metab.,41,22
,42,3
J Am Board Fam Med,43,23
,44,3
Cancer Res.,45,24
,46,3
,47,3
J Clin Psychiatry,48,14
,49,3
,50,3
Ann R Coll Surg Engl,51,25
Am J Phys Med Rehabil,52,26
J Sci Med Sport,53,27
,54,3
Comput Chem Eng,55,28
J Clin Anesth,56,29
,57,3
,58,3
Knee Surg Sports Traumatol Arthrosc,59,30
J Geriatr Oncol,60,31
Obes Surg,61,32
,62,3
,63,3
,64,3
Clin Evid (Online),65,33
,66,3
,67,3
Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,68,34
Ophthalmic Surg Lasers,69,35
,70,3
Eur J Cardiovasc Nurs,71,36
J. Neurol. Sci.,72,37
Transplantation,73,38
,74,3
,75,3
,76,3
,77,3
Nepal Med Coll J,78,39
,79,3
European journal of cancer care,80,40
Stat Methods Med Res,81,41
,82,3
Actas Urol Esp,83,42
"Einstein (Sao Paulo, Brazil)",84,43
,85,3
Journal of medical toxicology : official journal of the American College of Medical Toxicology,86,44
,87,3
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,88,45
Rev.Neurol.,89,46
"Journal of cardiovascular medicine (Hagerstown, Md.)",90,47
,91,3
Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,92,48
,93,3
The American journal of managed care,94,49
Expert opinion on drug metabolism & toxicology,95,50
,96,3
Journal of dental research,97,51
American journal of physiology. Endocrinology and metabolism,98,52
J Am Diet Assoc,99,53
,100,3
,101,3
,102,3
Fertil. Steril.,103,54
Cancer Chemother. Pharmacol.,104,55
Psychooncology,105,56
,106,3
,107,3
Curr Opin Pharmacol,108,57
Cochrane Database Syst Rev,109,58
Cancer Immunol. Immunother.,110,59
,111,3
,112,3
,113,3
J Rheumatol,114,60
,115,3
J Appl Physiol,116,61
,117,3
,118,3
,119,3
,120,3
Trans. R. Soc. Trop. Med. Hyg.,121,62
,122,3
Int J Clin Exp Pathol,123,63
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,124,64
Neurologia,125,65
,126,3
,127,3
,128,3
,129,3
J.Am.Geriatr.Soc.,130,66
,131,3
,132,3
,133,3
,134,3
,135,3
Skeletal Radiol,136,67
,137,3
,138,3
,139,3
,140,3
,141,3
,142,3
"Journal of hand surgery (Edinburgh, Scotland)",143,68
J. Cardiovasc. Electrophysiol.,144,69
,145,3
,146,3
The European journal of general practice,147,70
Gut,148,71
Gen Dent,149,72
,150,3
Neuropsychologia,151,73
,152,3
,153,3
AM. J. ACUPUNCT.,154,74
,155,3
,156,3
CNS Spectr,157,75
,158,3
Hippokratia,159,76
,160,3
J.Clin.Diagn.Res.,161,77
,162,3
,163,3
Strabismus,164,78
,165,3
,166,3
,167,3
,168,3
,169,3
Diabetic medicine : a journal of the British Diabetic Association,170,79
,171,3
J. Recept. Signal Transduct. Res.,172,80
,173,3
Spine,174,81
Ann. N. Y. Acad. Sci.,175,82
Annals of the New York Academy of Sciences,176,83
Obesity (Silver Spring),177,84
Water Sci. Technol.,178,85
Orthopedics,179,86
,180,3
Scand J Psychol,181,87
,182,3
,183,3
,184,3
,185,3
,186,3
,187,3
,188,3
,189,3
,190,3
Pediatr Ann,191,88
,192,3
J. Natl. Cancer Inst.,193,89
,194,3
,195,3
Eur Arch Otorhinolaryngol,196,90
,197,3
Ann Surg,198,91
J Biomater Appl,199,92
J Headache Pain,200,93
,201,3
J Sports Sci,202,94
,203,3
Nephrol. Dial. Transplant.,204,95
Cytokine,205,96
,206,3
,207,3
"Archives of surgery (Chicago, Ill. : 1960)",208,97
Muscle Nerve,209,98
Soc Sci Med,210,99
Int Arch Occup Environ Health,211,100
Ugeskrift for laeger,212,101
,213,3
Crit. Rev. Oncol. Hematol.,214,102
,215,3
Public Health Rep,216,103
Colorectal Dis,217,104
,218,3
,219,3
Comput Med Imaging Graph,220,105
,221,3
,222,3
International journal of obesity (2005),223,106
,224,3
,225,3
Endocrinology,226,107
,227,3
,228,3
,229,3
College Teaching,230,108
J. Hosp. Infect.,231,109
Best Pract Res Clin Gastroenterol,232,110
American journal of obstetrics and gynecology,233,111
Med Teach,234,112
Acta Cytol.,235,113
Atheroscler Suppl,236,114
,237,3
,238,3
Mycoses,239,115
BMC musculoskeletal disorders,240,116
,241,3
,242,3
Physiotherapy,243,117
Public Health Genomics,244,118
,245,3
J Int Neuropsychol Soc,246,119
Rev Bras Ter Intensiva,247,120
Gene,248,121
,249,3
,250,3
,251,3
Biomed Eng Online,252,122
,253,3
Nature New Biol.,254,123
Cardiol Young,255,124
J Huazhong Univ Sci Technolog Med Sci,256,125
,257,3
Crit. Care Med.,258,126
,259,3
,260,3
JOHNS HOPKINS MED. J.,261,127
,262,3
Preventive medicine,263,128
,264,3
,265,3
Arch.Gen.Psychiatry,266,129
,267,3
Interact Cardiovasc Thorac Surg,268,130
,269,3
,270,3
,271,3
,272,3
,273,3
,274,3
,275,3
,276,3
,277,3
J Psychiatr Res,278,131
,279,3
Neurology,280,132
,281,3
J. Am. Vet. Med. Assoc.,282,133
,283,3
,284,3
,285,3
J Med Imaging Radiat Oncol,286,134
,287,3
PloS one,288,15
,289,3
Eur J Appl Physiol Occup Physiol,290,135
Nutrients,291,136
,292,3
,293,3
,294,3
Tumour Biol.,295,137
,296,3
Scand J Infect Dis Suppl,297,138
,298,3
Appl Nurs Res,299,139
,300,3
J Chem Phys,301,140
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,302,141
,303,3
Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,304,142
The Journal of the Oklahoma State Medical Association,305,143
,306,3
,307,3
Gut,308,71
,309,3
,310,3
,311,3
Eur. J. Appl. Physiol.,312,144
,313,3
,314,3
Radiology,315,145
,316,3
,317,3
Br J Soc Psychol,318,146
Cardiol Young,319,124
,320,3
Dentomaxillofac Radiol,321,147
Actas Esp Psiquiatr,322,148
Int J Colorectal Dis,323,149
,324,3
,325,3
Neurologist,326,150
,327,3
Expert Opin Emerg Drugs,328,151
,329,3
,330,3
Drugs Aging,331,152
