article_language,article_jcreated_at,original_index,unique_index
eng,1/1/71,0,0
ENG,4/2/15,1,1
eng,12/1/06,2,2
pol,1/1/13,3,3
eng,10/1/15,4,4
eng,1/1/09,5,5
eng,1/1/73,6,6
English; ABSTRACT LANGUAGE:English,7/1/01,7,7
English,1/1/11,8,8
,1/1/06,9,9
,1/1/09,10,10
English,1/1/15,11,11
eng,1/1/13,12,12
,1/1/11,13,13
eng,1/1/11,14,14
eng,5/1/99,15,15
eng,1/1/12,16,16
eng,1/1/05,17,17
eng,1/1/97,18,18
eng,6/1/07,19,19
eng,12/1/13,20,20
English,1/1/11,21,8
eng,12/1/14,22,21
eng,5/20/09,23,22
,1/1/12,24,23
eng,3/1/14,25,24
eng,12/1/08,26,25
English,1/1/86,27,26
eng,1/1/13,28,12
English,1/1/09,29,27
kor,12/1/08,30,28
eng,9/1/07,31,29
English,1/1/74,32,30
eng,5/1/00,33,31
eng,2/1/15,34,32
,1/1/08,35,33
English,1/1/14,36,34
eng,2/1/09,37,35
English,1/1/95,38,36
eng,6/1/08,39,37
,,40,38
eng,10/1/14,41,39
,1/1/97,42,40
eng,1/1/14,43,41
,1/1/10,44,42
eng,5/15/11,45,43
,,46,38
eng,1/1/13,47,12
eng,11/1/10,48,44
,1/1/10,49,42
English,1/1/99,50,45
English; ABSTRACT LANGUAGE:English,1/1/94,51,46
eng,11/1/12,52,47
eng,11/1/10,53,44
,1/1/07,54,48
ENG,12/4/14,55,49
eng,9/1/06,56,50
eng,1/1/12,57,16
,10/1/10,58,51
eng,12/1/14,59,21
eng,1/1/15,60,52
eng,4/1/02,61,53
English,1/1/11,62,8
,1/1/05,63,54
eng,1/1/09,64,5
eng,1/1/08,65,55
,1/1/08,66,33
,1/1/10,67,42
chi,6/1/12,68,56
eng,3/1/99,69,57
eng,7/15/03,70,58
eng,1/1/12,71,16
eng,11/15/13,72,59
English,1/1/15,73,11
eng,7/1/03,74,60
eng,1/1/13,75,12
,1/1/11,76,13
,1/1/06,77,9
eng,11/1/96,78,61
,1/1/08,79,33
eng,1/1/10,80,62
eng,2/1/07,81,63
,1/1/05,82,54
engspa,5/1/15,83,64
eng     por,1/1/14,84,65
,1/1/08,85,33
eng,12/1/06,86,2
eng,1/1/12,87,16
eng,1/1/99,88,66
,1/1/08,89,33
eng,3/1/09,90,67
fre,1/1/10,91,68
eng,1/1/99,92,66
English,1/1/11,93,8
eng,1/1/13,94,12
eng,1/1/07,95,69
,1/1/09,96,10
,1/1/92,97,70
eng,9/1/02,98,71
,1/1/92,99,70
,,100,38
English,1/1/14,101,34
English,1/1/15,102,11
eng,8/1/09,103,72
eng,4/1/14,104,73
eng,3/1/06,105,74
,1/1/12,106,23
eng,1/1/12,107,16
eng,4/1/03,108,75
eng,1/1/00,109,76
eng,9/1/14,110,77
English,1/1/13,111,78
eng,1/1/07,112,69
,1/1/11,113,13
eng,4/1/01,114,79
,,115,38
,1/1/76,116,80
,1/1/10,117,42
,,118,38
English,1/1/66,119,81
eng,11/1/96,120,61
eng,2/1/12,121,82
eng,1/1/13,122,12
eng,1/1/13,123,12
eng,1/1/11,124,14
spa,5/1/12,125,83
,1/1/11,126,13
,1/1/08,127,33
eng,4/1/99,128,84
,,129,38
,1/1/13,130,85
eng,6/1/03,131,86
,,132,38
,,133,38
,1/1/05,134,54
eng,12/1/00,135,87
