article_language,journal_title,original_index,unique_index
eng,Proc R Soc Med,0,0
ENG,The Journal of infectious diseases,1,1
eng,Indian journal of ophthalmology,2,2
pol,,3,3
eng,Dermatologic clinics,4,4
eng,,5,5
eng,Br Med Bull,6,6
English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,7,7
English,Clinical Neuropsychologist,8,8
,The British journal of radiology,9,9
,Transportation Research Part D-Transport and Environment,10,10
English,International journal of clinical and experimental medicine,11,11
eng,Acta Obstet Gynecol Scand,12,12
,Heart Rhythm,13,13
eng,,14,5
eng,British Journal of Dermatology.,15,14
eng,Clinical Interventions In Aging,16,15
eng,Cochrane Database Syst Rev,17,16
eng,Acta Neurochirurgica,18,17
eng,Medicine and science in sports and exercise,19,18
eng,"Cancer prevention research (Philadelphia, Pa.)",20,19
English,,21,20
eng,Cardiovascular and interventional radiology,22,21
eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,23,22
,Scandinavian Journal of Gastroenterology,24,23
eng,Global journal of health science,25,24
eng,The Journal of clinical psychiatry,26,25
English,Metabolism: Clinical and Experimental,27,26
eng,PLoS One,28,27
English,American Journal of Bioethics,29,28
kor,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,30,29
eng,Eur. Heart J.,31,30
English,,32,20
eng,Neuroprotective Agents,33,31
eng,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,34,32
,Vulnerable Children and Youth Studies,35,33
English,Respiration; international review of thoracic diseases,36,34
eng,Neurosurgery,37,35
English,Health Facilities Management,38,36
eng,European journal of emergency medicine : official journal of the European Society for Emergency Medicine,39,37
,Int. J. Radiat. Oncol. Biol. Phys.,40,38
eng,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,41,39
,Intensivmedizin und Notfallmedizin,42,40
eng,Journal of the American Board of Family Medicine : JABFM,43,41
,Energy and Buildings,44,42
eng,Cancer research,45,43
,,46,44
eng,Cochrane Database Syst. Rev.,47,45
eng,The Journal of clinical psychiatry,48,25
,Annals of Oncology,49,46
English,,50,20
English; ABSTRACT LANGUAGE:English,Annals of the Royal College of Surgeons of England,51,47
eng,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,52,48
eng,Journal of science and medicine in sport / Sports Medicine Australia,53,49
,,54,44
ENG,Computers & chemical engineering,55,50
eng,Journal of clinical anesthesia,56,51
eng,,57,5
,Teachers College Press,58,52
