jounral_abbreviation,article_jvolumn,original_index,unique_index
Proceedings of the Royal Society of Medicine,64.0,0,0
J. Infect. Dis.,,1,1
Indian J Ophthalmol,54.0,2,2
,84.0,3,3
Dermatol Clin,33.0,4,4
,10.0,5,5
British medical bulletin,29.0,6,6
,164.0,7,7
,25.0,8,8
,79.0,9,9
,14.0,10,10
Int J Clin Exp Med,8.0,11,11
Acta obstetricia et gynecologica Scandinavica,92.0,12,12
,8.0,13,13
,35.0,14,14
,140.0,15,15
Clin Interv Aging,7.0,16,16
,0.0,17,17
,139.0,18,18
Med Sci Sports Exerc,39.0,19,19
Cancer Prev Res (Phila),6.0,20,20
,40.0,21,21
Cardiovasc Intervent Radiol,37.0,22,22
J. Clin. Oncol.,27.0,23,23
,47.0,24,24
Glob J Health Sci,6.0,25,25
J Clin Psychiatry,69.0,26,26
,35.0,27,14
PloS one,8.0,28,27
,9.0,29,28
Korean J Gastroenterol,52.0,30,29
,28.0,31,30
,0.0,32,17
,904.0,33,31
J Stroke Cerebrovasc Dis,24.0,34,32
,3.0,35,33
Respiration,88.0,36,34
Neurosurgery,64.0,37,35
Health Facil Manage,8.0,38,36
Eur J Emerg Med,15.0,39,37
,90.0,40,38
J. Cereb. Blood Flow Metab.,34.0,41,39
,34.0,42,40
J Am Board Fam Med,27.0,43,41
,42.0,44,42
Cancer Res.,71.0,45,43
,0.0,46,17
,10.0,47,5
J Clin Psychiatry,71.0,48,44
,21.0,49,45
,70.0,50,46
Ann R Coll Surg Engl,76.0,51,47
Am J Phys Med Rehabil,91.0,52,48
J Sci Med Sport,13.0,53,49
,90.0,54,38
Comput Chem Eng,71.0,55,50
J Clin Anesth,18.0,56,51
,7.0,57,52
,0.0,58,17
Knee Surg Sports Traumatol Arthrosc,22.0,59,53
J Geriatr Oncol,6.0,60,54
Obes Surg,12.0,61,55
,26.0,62,56
,116.0,63,57
,28.0,64,30
Clin Evid (Online),2008.0,65,58
,18.0,66,59
,12.0,67,60
Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,29.0,68,61
Ophthalmic Surg Lasers,30.0,69,62
,98.0,70,63
Eur J Cardiovasc Nurs,11.0,71,64
J. Neurol. Sci.,334.0,72,65
Transplantation,99.0,73,66
,46.0,74,67
,309.0,75,68
,25.0,76,8
,13.0,77,69
Nepal Med Coll J,1.0,78,70
,48.0,79,71
European journal of cancer care,19.0,80,72
Stat Methods Med Res,16.0,81,73
,1.0,82,74
Actas Urol Esp,39.0,83,75
"Einstein (Sao Paulo, Brazil)",12.0,84,76
,3.0,85,33
Journal of medical toxicology : official journal of the American College of Medical Toxicology,2.0,86,77
,4.0,87,78
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,64.0,88,79
Rev.Neurol.,46.0,89,80
"Journal of cardiovascular medicine (Hagerstown, Md.)",10.0,90,81
,27.0,91,82
Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,1.0,92,83
,37.0,93,84
The American journal of managed care,19.0,94,85
Expert opinion on drug metabolism & toxicology,3.0,95,86
,64.0,96,87
Journal of dental research,71.0,97,88
American journal of physiology. Endocrinology and metabolism,283.0,98,89
J Am Diet Assoc,92.0,99,90
,0.0,100,17
,15.0,101,91
,24.0,102,92
Fertil. Steril.,92.0,103,93
Cancer Chemother. Pharmacol.,73.0,104,94
Psychooncology,15.0,105,95
,52.0,106,96
,39.0,107,97
Curr Opin Pharmacol,3.0,108,98
