journal_issn,article_jcreated_at,original_index,unique_index
0035-9157 (Print) 0035-9157,1/1/71,0,0
1537-6613,4/2/15,1,1
0301-4738,12/1/06,2,2
,1/1/13,3,3
1558-0520,10/1/15,4,4
,1/1/09,5,5
0007-1420,1/1/73,6,6
,7/1/01,7,7
1385-4046,1/1/11,8,8
,1/1/06,9,9
1361-9209,1/1/09,10,10
1940-5901,1/1/15,11,11
0001-6349 (Print) 0001-6349,1/1/13,12,12
1547-5271,1/1/11,13,13
,1/1/11,14,14
0007-0963,5/1/99,15,15
1178-1998,1/1/12,16,16
1469-493X,1/1/05,17,17
Jan-68,1/1/97,18,18
0195-9131,6/1/07,19,19
1940-6215,12/1/13,20,20
,1/1/11,21,14
1432-086X,12/1/14,22,21
1527-7755,5/20/09,23,22
,1/1/12,24,23
1916-9736,3/1/14,25,24
1555-2101,12/1/08,26,25
,1/1/86,27,26
1932-6203,1/1/13,28,27
15265161 (ISSN),1/1/09,29,28
1598-9992,12/1/08,30,29
0195-668X,9/1/07,31,30
,1/1/74,32,31
0077-8923,5/1/00,33,32
1532-8511,2/1/15,34,33
1745-0128 1745-0136,1/1/08,35,34
0025-7931,1/1/14,36,35
1524-4040,2/1/09,37,36
0899-6210,1/1/95,38,37
1473-5695,6/1/08,39,38
0360-3016,,40,39
1559-7016,10/1/14,41,40
0175-3851,1/1/97,42,41
1557-2625,1/1/14,43,42
0378-7788,1/1/10,44,43
1538-7445,5/15/11,45,44
,,46,45
1469-493X,1/1/13,47,46
1555-2101,11/1/10,48,47
,1/1/10,49,48
,1/1/99,50,49
0035-8843,1/1/94,51,50
1537-7385,11/1/12,52,51
1878-1861,11/1/10,53,52
,1/1/07,54,53
0098-1354,12/4/14,55,54
0952-8180,9/1/06,56,55
,1/1/12,57,23
0-8077-4913-3,10/1/10,58,56
1433-7347,12/1/14,59,57
1879-4076,1/1/15,60,58
0960-8923,4/1/02,61,59
-7977,1/1/11,62,60
0091-6749 (Print),1/1/05,63,61
1756-9966,1/1/09,64,62
1752-8526,1/1/08,65,63
,1/1/08,66,64
1139-6121,1/1/10,67,65
1001-5515,6/1/12,68,66
1082-3069,3/1/99,69,67
0008-543X,7/15/03,70,68
1474-5151,1/1/12,71,69
1878-5883,11/15/13,72,70
0041-1337,1/1/15,73,71
0377-4929,7/1/03,74,72
,1/1/13,75,3
,1/1/11,76,14
0929-693X,1/1/06,77,73
,11/1/96,78,74
0041-1132,1/1/08,79,75
0961-5423 (Print) 0961-5423,1/1/10,80,76
0962-2802,2/1/07,81,77
"1553-9318, 1553-9318",1/1/05,82,78
1699-7980,5/1/15,83,79
1679-4508,1/1/14,84,80
9788480000000,1/1/08,85,81
1556-9039,12/1/06,86,82
,1/1/12,87,23
0020-7292,1/1/99,88,83
0210-0010,1/1/08,89,84
1558-2027,3/1/09,90,85
1776-2588,1/1/10,91,86
1462-2203,1/1/99,92,87
1540-7314 0148-8376,1/1/11,93,88
1088-0224,1/1/13,94,89
1742-5255,1/1/07,95,90
,1/1/09,96,5
0022-0345,1/1/92,97,91
0193-1849,9/1/02,98,92
1878-3570,1/1/92,99,93
,,100,45
1612-4782     1612-4790,1/1/14,101,94
,1/1/15,102,95
1556-5653,8/1/09,103,96
1432-0843,4/1/14,104,97
1057-9249,3/1/06,105,98
,1/1/12,106,23
,1/1/12,107,23
1471-4892,4/1/03,108,99
1469-493X,1/1/00,109,100
1432-0851,9/1/14,110,101
2044-6055,1/1/13,111,102
,1/1/07,112,53
